* Atomic data for O I from Bhatia & Kastner 1995, ApJS, 96, 325
* Energy in cm**-1
n       E       g       label
1       0.0     5       
2     158.265   3       
3     226.977   1       
4   15867.862   5       
5   33792.583   1       
6   73768.200   5       
7   76794.987   3       
8   86628.7    15       
9   88630.7     9       
10  95476.4     5       
11  96225.5     3       
12  97420.3    25       
13  97488.1    15       
Transition probabilities and collision strengths
        n1      n2      A (s**-1)       omega(T=5000)   omega(T=10000)
        1       2       8.96e-05        4.52e-02        1.06e-01
        1       3       0.00e+00        1.53e-02        3.21e-02
        1       4       5.61e-03        6.47e-02        1.53e-01
        1       5       2.73e-04        8.50e-03        3.18e-02
        1       6       1.88e+04        8.53e-03        2.31e-02
        1       7       3.43e+08        1.26e-01        1.92e-01
        1       8       0.00e+00        1.87e-02        4.05e-02
        1       9       1.54e-03        4.99e-02        9.93e-02
        1       10      0.00e+00        4.56e-03        1.03e-02
        1       11      9.83e-07        3.58e-02        5.62e-02
        1       12      0.00e+00        4.83e-04        1.05e-03
        1       13      4.16e+07        7.74e-03        1.61e-02
        2       3       1.74e-05        9.12e-03        2.83e-02
        2       4       1.82e-03        3.88e-02        9.15e-02
        2       5       7.60e-02        1.06e-02        1.91e-02
        2       6       3.66e+03        5.12e-03        1.39e-02
        2       7       2.04e+08        7.55e-02        1.15e-01
        2       8       0.00e+00        1.12e-02        2.43e-02
        2       9       9.26e+02        2.99e-02        5.96e-02
        2       10      0.00e+00        2.73e-03        6.17e-03
        2       11      5.87e+07        2.15e-02        3.37e-02
        2       12      0.00e+00        2.90e-04        6.28e-04
        2       13      2.49e+07        1.25e-05        9.67e-03
        3       4       8.92e-07        1.29e-02        3.05e-02
        3       5       0.00e+00        3.54e-03        6.36e-03
        3       6       0.00e+00        1.71e-03        4.62e-03
        3       7       6.78e+07        2.52e-02        3.83e-02
        3       8       0.00e+00        3.75e-03        8.09e-03
        3       9       3.09e+02        9.97e-03        1.99e-02
        3       10      0.00e+00        9.11e-04        7.06e-03
        3       11      1.96e+07        7.15e-03        1.12e-02
        3       12      0.00e+00        9.66e-05        2.09e-04
        3       13      8.29e+06        1.55e-03        3.23e-03
        4       5       1.22e+00        7.32e-02        1.05e-01
        4       6       0.00e+00        0.00e+00        0.00e+00
        4       7       1.84e+03        1.02e-06        1.64e-06
        4       8       0.00e+00        0.00e+00        0.00e+00
        4       9       0.00e+00        2.09e-02        3.37e-02
        4       10      0.00e+00        0.00e+00        0.00e+00
        4       11      0.00e+00        0.00e+00        0.00e+00
        4       12      0.00e+00        0.00e+00        0.00e+00
        4       13      0.00e+00        1.47e-03        2.36e-03
        5       6       0.00e+00        0.00e+00        0.00e+00
        5       7       4.60e+00        0.00e+00        0.00e+00
        5       8       0.00e+00        0.00e+00        0.00e+00
        5       9       0.00e+00        2.51e-03        4.04e-03
        5       10      0.00e+00        0.00e+00        0.00e+00
        5       11      4.13e+00        0.00e+00        0.00e+00
        5       12      0.00e+00        0.00e+00        0.00e+00
        5       13      0.00e+00        0.00e+00        0.00e+00
        6       7       0.00e+00        2.51e-03        4.04e-03
        6       8       3.56e+07        2.51e+01        4.02e+01
        6       9       4.00e+02        2.90e-01        4.68e-01
        6       10      0.00e+00        1.90e+00        3.06e+00
        6       11      0.00e+00        6.68e-02        1.08e-01
        6       12      1.84e+02        2.91e+00        4.70e+00
        6       13      0.00e+00        1.99e-01        3.21e-01
        7       8       6.47e+01        2.89e-01        4.66e-01
        7       9       3.35e+07        1.90e+01        3.04e+01
        7       10      0.00e+00        6.04e-02        9.74e-02
        7       11      0.00e+00        2.92e-01        4.72e-01
        7       12      0.00e+00        1.95e-01        3.14e-01
        7       13      1.39e+02        3.01e+00        4.86e+00
        8       9       0.00e+00        8.24e+00        1.33e+01
        8       10      2.60e+07        2.41e+01        3.86e+01
        8       11      2.87e+02        1.56e+00        2.51e+00
        8       12      4.33e+07        9.80e+01        1.57e+02
        8       13      1.17e+02        8.15e+00        1.31e+01
        9       10      6.90e+01        1.08e-01        1.74e-01
        9       11      6.49e+07        6.24e+01        1.00e+02
        9       12      3.15e+01        8.63e-01        1.39e+00
        9       13      3.09e+07        8.43e+01        1.35e+02
        10      11      0.00e+00        3.76e-02        6.06e-02
        10      12      0.00e+00        2.02e+01        3.27e+01
        10      13      0.00e+00        1.90e-01        3.06e-01
        11      12      0.00e+00        2.23e-01        3.59e-01
        11      13      0.00e+00        1.03e+01        1.66e+01
        12      13      0.00e+00        1.51e+00        2.43e+00

