SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114332270.4   NPRNTI=10   NPRNTF=55
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)     1806.6 
     3          3S1 3P2             (4)1( 0.5)    98375.4 
     4          3S1 3P2             (4)1( 1.5)    99017.5 
     5          3S1 3P2             (4)1( 2.5)   100030.8 
     6          3S1 3P2             (2)2( 1.5)   132291.7 
     7          3S1 3P2             (2)2( 2.5)   132355.5 
     8          3S1 3P2             (2)0( 0.5)   166423.9 
     9          3S1 3P2             (2)1( 0.5)   179229.3 
    10          3S1 3P2             (2)1( 1.5)   180385.7 
    11          3S2 3D1             (2)2( 1.5)   227482.4*
    12          3S2 3D1             (2)2( 2.5)   227618.5*
    13          3P3                 (2)2( 1.5)   260631.5*
    14          3P3                 (2)2( 2.5)   260791.9*
    15          3P3                 (4)0( 1.5)   266037.6*
    16          3P3                 (2)1( 1.5)   292413.1*
    17          3P3                 (2)1( 0.5)   292425.5*
    18          3S1 3P1 3D1         (4)3( 1.5)   297790.8*
    19          3S1 3P1 3D1         (4)3( 2.5)   298171.5*
    20          3S1 3P1 3D1         (4)3( 3.5)   298710.4*
    21          3S1 3P1 3D1         (4)3( 4.5)   299413.9*
    22          3S1 3P1 3D1         (4)1( 2.5)   321480.5*
    23          3S1 3P1 3D1         (4)1( 1.5)   321930.2*
    24          3S1 3P1 3D1         (4)1( 0.5)   322283.0*
    25          3S1 3P1 3D1         (4)2( 0.5)   323732.1*
    26          3S1 3P1 3D1         (4)2( 1.5)   323957.2*
    27          3S1 3P1 3D1         (4)2( 2.5)   324178.4*
    28          3S1 3P1 3D1         (4)2( 3.5)   324337.6*
    29          3S1 3P1 3D1         (2)2( 2.5)   332450.0*
    30          3S1 3P1 3D1         (2)2( 1.5)   332457.6*
    31          3S1 3P1 3D1         (2)3( 2.5)   354208.0*
    32          3S1 3P1 3D1         (2)3( 3.5)   355651.1*
    33          3S1 3P1 3D1         (2)1( 1.5)   383049.3*
    34          3S1 3P1 3D1         (2)1( 0.5)   383683.3*
    35          3S1 3P1 3D1         (2)3( 3.5)   387316.4*
    36          3S1 3P1 3D1         (2)3( 2.5)   387692.4*
    37          3S1 3P1 3D1         (2)1( 0.5)   398731.5*
    38          3S1 3P1 3D1         (2)1( 1.5)   398960.3*
    39          3S1 3P1 3D1         (2)2( 1.5)   400489.5*
    40          3S1 3P1 3D1         (2)2( 2.5)   400798.7*
    41          3P2 3D1             (2)3( 2.5)   444501.9*
    42          3P2 3D1             (2)3( 3.5)   445239.2*
    43          3P2 3D1             (4)3( 1.5)   450833.6*
    44          3P2 3D1             (4)3( 2.5)   451221.2*
    45          3P2 3D1             (4)3( 3.5)   451761.3*
    46          3P2 3D1             (4)3( 4.5)   452448.9*
    47          3P2 3D1             (2)1( 1.5)   456816.9*
    48          3P2 3D1             (2)1( 0.5)   457889.5*
    49          3P2 3D1             (4)2( 1.5)   459791.0*
    50          3P2 3D1             (4)2( 0.5)   459833.1*
    51          3P2 3D1             (4)2( 2.5)   459952.9*
    52          3P2 3D1             (4)2( 3.5)   460324.9*
    53          3P2 3D1             (2)4( 3.5)   472520.2*
    54          3P2 3D1             (2)4( 4.5)   472684.9*
    55          3P2 3D1             (2)2( 2.5)   484321.4*

   IC RESOLVED LEVEL INDEXING           BWNR= 114956661.7   NLVL=2278
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P2             (3)1( 0.0)        0.0 
     2  9999    3S2 3P2             (3)1( 1.0)      677.4 
     3  9999    3S2 3P2             (3)1( 2.0)     1829.9 
     4  9999    3S2 3P2             (1)2( 2.0)    17311.6 
     5  9999    3S2 3P2             (1)0( 0.0)    37883.3 
     6  9999    3S1 3P3             (5)0( 2.0)    79702.7 
     7  9999    3S1 3P3             (3)2( 1.0)   119461.5 
     8  9999    3S1 3P3             (3)2( 2.0)   119481.7 
     9  9999    3S1 3P3             (3)2( 3.0)   119578.3 
    10  9999    3S1 3P3             (3)1( 0.0)   138951.1 
    11  9999    3S1 3P3             (3)1( 1.0)   138958.3 
    12  9999    3S1 3P3             (3)1( 2.0)   138959.0 
    13  9999    3S1 3P3             (1)2( 2.0)   160049.3 
    14  9999    3S1 3P3             (3)0( 1.0)   187939.7 
    15  9999    3S1 3P3             (1)1( 1.0)   195795.5 
    16  9999    3S2 3P1 3D1         (3)3( 2.0)   207731.1 
    17  9999    3S2 3P1 3D1         (3)3( 3.0)   208399.1 
    18  9999    3S2 3P1 3D1         (3)3( 4.0)   209304.7 
    19  9999    3S2 3P1 3D1         (1)2( 2.0)   232990.5 
    20  9999    3S2 3P1 3D1         (3)1( 2.0)   236776.4 
    21  9999    3S2 3P1 3D1         (3)1( 1.0)   237159.1 
    22  9999    3S2 3P1 3D1         (3)1( 0.0)   237443.0 
    23  9999    3S2 3P1 3D1         (3)2( 1.0)   243240.0 
    24  9999    3S2 3P1 3D1         (3)2( 2.0)   243518.1 
    25  9999    3S2 3P1 3D1         (3)2( 3.0)   243782.4 
    26  9999    3P4                 (3)1( 2.0)   264343.0 
    27  9999    3P4                 (3)1( 1.0)   265462.5 
    28  9999    3P4                 (3)1( 0.0)   265935.0 
    29  9999    3S2 3P1 3D1         (1)3( 3.0)   270563.6 
    30  9999    3P4                 (1)2( 2.0)   271432.2 
    31  9999    3S2 3P1 3D1         (1)1( 1.0)   274911.0 
    32  9999    3S1 3P2 3D1         (5)3( 1.0)   285543.3 
    33  9999    3S1 3P2 3D1         (5)3( 2.0)   285767.9 
    34  9999    3S1 3P2 3D1         (5)3( 3.0)   286109.2 
    35  9999    3S1 3P2 3D1         (5)3( 4.0)   286572.3 
    36  9999    3S1 3P2 3D1         (5)3( 5.0)   287163.6 
    37  9999    3S1 3P2 3D1         (5)2( 0.0)   294154.5 
    38  9999    3S1 3P2 3D1         (5)2( 1.0)   294219.6 
    39  9999    3S1 3P2 3D1         (5)2( 2.0)   294349.5 
    40  9999    3S1 3P2 3D1         (5)2( 3.0)   294544.3 
    41  9999    3S1 3P2 3D1         (5)2( 4.0)   294805.7 
    42  9999    3S1 3P2 3D1         (3)3( 2.0)   308550.8 
    43  9999    3S1 3P2 3D1         (3)3( 3.0)   308959.2 
    44  9999    3S1 3P2 3D1         (3)3( 4.0)   309522.5 
    45  9999    3P4                 (1)0( 0.0)   312467.2 
    46  9999    3S1 3P2 3D1         (5)1( 3.0)   318111.9 
    47  9999    3S1 3P2 3D1         (5)1( 2.0)   318500.4 
    48  9999    3S1 3P2 3D1         (5)1( 1.0)   318751.9 
    49     1    3S2 3P1 4S1         (3)1( 0.0)   318901.7 
    50     1    3S2 3P1 4S1         (3)1( 1.0)   319396.8 
    51     2    3S2 3P1 4S1         (3)1( 2.0)   320708.2 
    52     2    3S2 3P1 4S1         (1)1( 1.0)   326278.8 
    53  9999    3S1 3P2 3D1         (3)1( 2.0)   326688.2 
    54  9999    3S1 3P2 3D1         (3)1( 1.0)   327615.7 
    55  9999    3S1 3P2 3D1         (3)1( 0.0)   328108.7 
    56  9999    3S1 3P2 3D1         (3)4( 3.0)   344566.5 
    57  9999    3S1 3P2 3D1         (3)4( 4.0)   344648.0 
    58  9999    3S1 3P2 3D1         (3)4( 5.0)   344749.0 
    59  9999    3S1 3P2 3D1         (3)2( 1.0)   348504.9 
    60  9999    3S1 3P2 3D1         (3)2( 2.0)   348590.0 
    61  9999    3S1 3P2 3D1         (3)2( 3.0)   348698.4 
    62  9999    3S1 3P2 3D1         (1)4( 4.0)   356783.7 
    63  9999    3S1 3P2 3D1         (1)3( 3.0)   356792.2 
    64     1    3S2 3P1 4P1         (1)1( 1.0)   357291.9 
    65     1    3S2 3P1 4P1         (3)2( 1.0)   360722.3 
    66     1    3S2 3P1 4P1         (3)2( 2.0)   361322.5 
    67     2    3S2 3P1 4P1         (3)2( 3.0)   362555.3 
    68     1    3S2 3P1 4P1         (3)1( 0.0)   364633.9 
    69     2    3S2 3P1 4P1         (3)1( 1.0)   365024.8 
    70     2    3S2 3P1 4P1         (3)1( 2.0)   365861.4 
    71  9999    3S1 3P2 3D1         (3)3( 2.0)   366533.7 
    72  9999    3S1 3P2 3D1         (3)2( 1.0)   366726.4 
    73  9999    3S1 3P2 3D1         (3)3( 3.0)   366948.7 
    74  9999    3S1 3P2 3D1         (3)2( 2.0)   367188.1 
    75     2    3S2 3P1 4P1         (3)0( 1.0)   367351.6 
    76  9999    3S1 3P2 3D1         (3)2( 3.0)   367689.6 
    77  9999    3S1 3P2 3D1         (3)3( 4.0)   367914.7 
    78  9999    3S1 3P2 3D1         (1)1( 1.0)   368911.8 
    79  9999    3S1 3P2 3D1         (3)1( 0.0)   372754.4 
    80  9999    3S1 3P2 3D1         (3)1( 1.0)   372938.4 
    81     2    3S2 3P1 4P1         (1)2( 2.0)   373013.7 
