SEQ='SI'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 114452481.1   NPRNTI= 5   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)     1779.1 
     3          3S1 3P2             (4)1( 0.5)    82605.2 
     4          3S1 3P2             (4)1( 1.5)    83239.9 
     5          3S1 3P2             (4)1( 2.5)    84253.4 
     6          3S1 3P2             (2)2( 1.5)   132335.5*
     7          3S1 3P2             (2)2( 2.5)   132366.2*
     8          3S1 3P2             (2)0( 0.5)   167201.9*
     9          3S1 3P2             (2)1( 0.5)   184742.3*
    10          3S1 3P2             (2)1( 1.5)   185919.4*

   IC RESOLVED LEVEL INDEXING           BWNR= 114637446.0   NLVL= 352
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    3S2 3P1 4S1         (3)1( 0.0)        0.0 
     2     2    3S2 3P1 4S1         (3)1( 1.0)      491.0 
     3     2    3S2 3P1 4S1         (3)1( 2.0)     1903.8 
     4     2    3S2 3P1 4S1         (1)1( 1.0)     6174.8 
     5     2    3S2 3P1 4P1         (1)1( 1.0)    33500.6 
     6     2    3S2 3P1 4P1         (3)2( 1.0)    36450.9 
     7     2    3S2 3P1 4P1         (3)2( 2.0)    37016.4 
     8     2    3S2 3P1 4P1         (3)2( 3.0)    38184.1 
     9     2    3S2 3P1 4P1         (3)0( 1.0)    41772.6 
    10     2    3S2 3P1 4P1         (3)1( 0.0)    49419.1 
    11     2    3S2 3P1 4P1         (3)1( 1.0)    49916.5 
    12     2    3S2 3P1 4P1         (3)1( 2.0)    50623.7 
    13     2    3S2 3P1 4P1         (1)2( 2.0)    59064.4 
    14     2    3S2 3P1 4P1         (1)0( 0.0)    71014.5 
    15    10    3S1 3P2 4S1         (5)1( 1.0)    89596.7 
    16    10    3S1 3P2 4S1         (5)1( 2.0)    90253.0 
    17     7    3S1 3P2 4S1         (5)1( 3.0)    91203.1 
    18     2    3S2 3P1 4D1         (1)2( 2.0)   108052.1 
    19     2    3S2 3P1 4D1         (3)2( 1.0)   109182.6 
    20     2    3S2 3P1 4D1         (3)2( 2.0)   109370.7 
    21     2    3S2 3P1 4D1         (3)2( 3.0)   109684.7 
    22     2    3S2 3P1 4D1         (3)3( 2.0)   112283.7 
    23     2    3S2 3P1 4D1         (3)3( 3.0)   112777.1 
    24     2    3S2 3P1 4D1         (3)3( 4.0)   113595.0 
    25     9    3S1 3P2 4S1         (3)1( 0.0)   114669.5 
    26    10    3S1 3P2 4S1         (3)1( 1.0)   115161.1 
    27    10    3S1 3P2 4S1         (3)1( 2.0)   116124.9 
    28     2    3S2 3P1 4D1         (3)1( 2.0)   116661.5 
    29     2    3S2 3P1 4D1         (3)1( 1.0)   117143.7 
    30     2    3S2 3P1 4D1         (1)3( 3.0)   117441.4 
    31     2    3S2 3P1 4D1         (3)1( 0.0)   117448.5 
    32     2    3S2 3P1 4D1         (1)1( 1.0)   121251.9 
    33    10    3S1 3P2 4P1         (5)2( 0.0)   125788.5 
    34    10    3S1 3P2 4P1         (5)2( 1.0)   125970.8 
    35    10    3S1 3P2 4S1         (3)2( 1.0)   126210.0 
    36    10    3S1 3P2 4S1         (3)2( 2.0)   126251.7 
    37     7    3S1 3P2 4S1         (3)2( 3.0)   126281.0 
    38    10    3S1 3P2 4P1         (5)2( 2.0)   126346.4 
    39    10    3S1 3P2 4P1         (5)2( 3.0)   126926.6 
    40     7    3S1 3P2 4P1         (5)2( 4.0)   127727.5 
