SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113539305.5   NPRNTI= 4   NPRNTF=18
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S2             (1)0( 0.0)        0.0 
     2          2P6 3S1 3P1         (3)1( 0.0)   113302.7 
     3          2P6 3S1 3P1         (3)1( 1.0)   114048.6 
     4          2P6 3S1 3P1         (3)1( 2.0)   115598.5 
     5          2P6 3S1 3P1         (1)1( 1.0)   173991.6*
     6          2P6 3P2             (1)2( 2.0)   265075.3*
     7          2P6 3P2             (3)1( 0.0)   270825.9*
     8          2P6 3P2             (3)1( 1.0)   271680.9*
     9          2P6 3P2             (3)1( 2.0)   273323.7*
    10          2P6 3P2             (1)0( 0.0)   320941.0*
    11          2P6 3S1 3D1         (3)2( 1.0)   328092.8*
    12          2P6 3S1 3D1         (3)2( 2.0)   328220.4*
    13          2P6 3S1 3D1         (3)2( 3.0)   328412.4*
    14          2P6 3S1 3D1         (1)2( 2.0)   381123.3*
    15          2P6 3P1 3D1         (3)3( 2.0)   450468.9*
    16          2P6 3P1 3D1         (3)3( 3.0)   451460.0*
    17          2P6 3P1 3D1         (3)3( 4.0)   452676.0*
    18          2P6 3P1 3D1         (1)2( 2.0)   456589.5*

   IC RESOLVED LEVEL INDEXING           BWNR= 114254238.0   NLVL= 666
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2P6 3S2 3P1         (2)1( 0.5)        0.0 
     2     1    2P6 3S2 3P1         (2)1( 1.5)     1892.1 
     3     1    2P6 3S1 3P2         (4)1( 0.5)    99091.3 
     4     1    2P6 3S1 3P2         (4)1( 1.5)    99764.5 
     5     3    2P6 3S1 3P2         (4)1( 2.5)   100827.6 
     6     1    2P6 3S1 3P2         (2)2( 1.5)   133715.6 
     7     3    2P6 3S1 3P2         (2)2( 2.5)   133797.0 
     8     2    2P6 3S1 3P2         (2)0( 0.5)   172119.7 
     9     2    2P6 3S1 3P2         (2)1( 0.5)   184929.0 
