SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112580517.2   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   139182.0 
     3          3P1                 (2)1( 1.5)   141357.6 
     4          3D1                 (2)2( 1.5)   332144.3*
     5          3D1                 (2)2( 2.5)   332333.0*

   IC RESOLVED LEVEL INDEXING           BWNR= 113581641.6   NLVL= 453
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     2    3S2                 (1)0( 0.0)        0.0 
     2     1    3S1 3P1             (3)1( 0.0)   111073.9 
     3     1    3S1 3P1             (3)1( 1.0)   111777.1 
     4     1    3S1 3P1             (3)1( 2.0)   113233.4 
     5     1    3S1 3P1             (1)1( 1.0)   173228.9 
     6     2    3P2                 (1)2( 2.0)   261972.9 
     7     2    3P2                 (3)1( 0.0)   268551.1 
     8     2    3P2                 (3)1( 1.0)   269347.8 
     9     2    3P2                 (3)1( 2.0)   270878.8 
    10     2    3P2                 (1)0( 0.0)   319977.1 
    11     1    3S1 3D1             (3)2( 1.0)   326058.3 
    12     1    3S1 3D1             (3)2( 2.0)   326133.7 
    13     1    3S1 3D1             (3)2( 3.0)   326247.0 
    14     1    3S1 3D1             (1)2( 2.0)   381730.3 
    15     2    3P1 3D1             (3)3( 2.0)   443039.5 
    16     2    3P1 3D1             (3)3( 3.0)   443917.2 
    17     3    3P1 3D1             (3)3( 4.0)   445004.3 
    18     2    3P1 3D1             (1)2( 2.0)   449229.8 
    19     2    3P1 3D1             (3)1( 2.0)   474676.2 
    20     2    3P1 3D1             (3)1( 1.0)   475282.5 
    21     3    3P1 3D1             (3)1( 0.0)   475766.5 
    22     2    3P1 3D1             (3)2( 1.0)   477511.5 
    23     2    3P1 3D1             (3)2( 2.0)   477873.1 
    24     2    3P1 3D1             (3)2( 3.0)   478114.9 
    25     3    3P1 3D1             (1)3( 3.0)   524522.8 
    26     3    3P1 3D1             (1)1( 1.0)   533173.1 
    27     4    3D2                 (3)3( 2.0)   656824.7 
    28     4    3D2                 (3)3( 3.0)   656938.6 
    29     4    3D2                 (3)3( 4.0)   657089.3 
    30     2    3P1 4S1             (3)1( 0.0)   659662.0 
    31     2    3P1 4S1             (3)1( 1.0)   660245.5 
    32     3    3P1 4S1             (3)1( 2.0)   661837.2 
    33     3    3P1 4S1             (1)1( 1.0)   667796.9 
    34     4    3D2                 (3)1( 0.0)   675460.3 
    35     4    3D2                 (3)1( 1.0)   675503.1 
    36     4    3D2                 (3)1( 2.0)   675575.8 
    37     4    3D2                 (1)2( 2.0)   676766.8 
    38     4    3D2                 (1)4( 4.0)   678197.6 
    39     2    3P1 4P1             (1)1( 1.0)   701904.1 
    40     2    3P1 4P1             (3)2( 1.0)   705668.5 
    41     2    3P1 4P1             (3)2( 2.0)   706368.2 
    42     3    3P1 4P1             (3)2( 3.0)   707816.1 
    43     2    3P1 4P1             (3)1( 0.0)   711545.3 
    44     3    3P1 4P1             (3)1( 1.0)   712279.6 
    45     3    3P1 4P1             (3)1( 2.0)   713337.0 
    46     3    3P1 4P1             (3)0( 1.0)   714201.0 
    47     3    3P1 4P1             (1)2( 2.0)   723052.8 
    48     5    3D2                 (1)0( 0.0)   725637.0 
    49     3    3P1 4P1             (1)0( 0.0)   748150.0 
    50     2    3P1 4D1             (1)2( 2.0)   772958.2 
    51     2    3P1 4D1             (3)2( 1.0)   774406.0 
    52     2    3P1 4D1             (3)2( 2.0)   774544.0 
    53     2    3P1 4D1             (3)2( 3.0)   774909.3 
    54     3    3P1 4D1             (3)3( 2.0)   776889.3 
    55     3    3P1 4D1             (3)3( 3.0)   777459.5 
    56     3    3P1 4D1             (3)3( 4.0)   778316.9 
    57     3    3P1 4D1             (3)1( 2.0)   781733.5 
    58     3    3P1 4D1             (3)1( 1.0)   782282.6 
    59     3    3P1 4D1             (3)1( 0.0)   782619.9 
    60     3    3P1 4D1             (1)3( 3.0)   784240.7 
    61     3    3P1 4D1             (1)1( 1.0)   787577.5 
    62     2    3P1 4F1             (1)3( 3.0)   794301.0 
    63     2    3P1 4F1             (3)3( 3.0)   797497.7 
    64     2    3P1 4F1             (3)3( 4.0)   797842.6 
    65     2    3P1 4F1             (3)3( 2.0)   797849.9 
    66     3    3P1 4F1             (3)4( 3.0)   798808.5 
    67     3    3P1 4F1             (3)4( 4.0)   799351.3 
    68     3    3P1 4F1             (3)4( 5.0)   799772.0 
    69     3    3P1 4F1             (3)2( 3.0)   805366.8 
    70     3    3P1 4F1             (3)2( 2.0)   805975.9 
    71     3    3P1 4F1             (3)2( 1.0)   806417.8 
    72     3    3P1 4F1             (1)2( 2.0)   816971.5 
    73     3    3P1 4F1             (1)4( 4.0)   818111.1 
    74     4    3D1 4S1             (3)2( 1.0)   853343.7 
    75     4    3D1 4S1             (3)2( 2.0)   853417.2 
    76     5    3D1 4S1             (3)2( 3.0)   853532.4 
    77     2    3P1 5S1             (3)1( 0.0)   856484.1 
    78     2    3P1 5S1             (3)1( 1.0)   856891.3 
    79     5    3D1 4S1             (1)2( 2.0)   857800.9 
    80     3    3P1 5S1             (3)1( 2.0)   858659.7 
    81     3    3P1 5S1             (1)1( 1.0)   860516.7 
    82     1    3S1 7S1             (3)0( 1.0)   867832.2 
    83     1    3S1 7S1             (1)0( 0.0)   869152.5 
    84     1    3S1 7P1             (3)1( 0.0)   875665.3 
    85     1    3S1 7P1             (3)1( 1.0)   875697.9 
    86     1    3S1 7P1             (3)1( 2.0)   875774.7 
    87     1    3S1 7P1             (1)1( 1.0)   876381.5 
    88     2    3P1 5P1             (1)1( 1.0)   877052.4 
    89     2    3P1 5P1             (3)2( 1.0)   878712.5 
    90     2    3P1 5P1             (3)2( 2.0)   879085.9 
    91     2    3P1 5P1             (3)1( 0.0)   880298.2 
    92     3    3P1 5P1             (3)2( 3.0)   880571.4 
    93     3    3P1 5P1             (3)1( 1.0)   880858.3 
    94     3    3P1 5P1             (3)1( 2.0)   881739.3 
    95     3    3P1 5P1             (3)0( 1.0)   883286.1 
    96     3    3P1 5P1             (1)2( 2.0)   885426.4 
    97     1    3S1 7D1             (3)2( 1.0)   886337.2 
    98     1    3S1 7D1             (3)2( 2.0)   886342.0 
    99     1    3S1 7D1             (3)2( 3.0)   886349.5 
   100     1    3S1 7D1             (1)2( 2.0)   886714.2 
   101     1    3S1 7F1             (3)3( 2.0)   890277.1 
   102     1    3S1 7F1             (3)3( 3.0)   890279.0 
   103     1    3S1 7F1             (3)3( 4.0)   890281.5 
   104     1    3S1 7G1             (3)4( 3.0)   891210.3 
   105     1    3S1 7G1             (3)4( 4.0)   891211.4 
   106     1    3S1 7G1             (3)4( 5.0)   891212.7 
   107     1    3S1 7H1             (3)5( 4.0)   891372.3 
   108     1    3S1 7H1             (3)5( 5.0)   891372.9 
   109     1    3S1 7H1             (3)5( 6.0)   891373.8 
   110     1    3S1 7F1             (1)3( 3.0)   891378.4 
   111     1    3S1 7I1             (3)6( 5.0)   891384.0 
   112     1    3S1 7I1             (3)6( 6.0)   891384.1 
   113     1    3S1 7I1             (3)6( 7.0)   891385.1 
   114     1    3S1 7I1             (1)6( 6.0)   891385.2 
   115     1    3S1 7H1             (1)5( 5.0)   891386.0 
   116     1    3S1 7G1             (1)4( 4.0)   891439.0 
   117     3    3P1 5P1             (1)0( 0.0)   891585.5 
   118     4    3D1 4P1             (1)2( 2.0)   897494.4 
   119     4    3D1 4P1             (3)2( 1.0)   899392.1 
   120     4    3D1 4P1             (3)2( 2.0)   899519.3 
   121     4    3D1 4P1             (3)2( 3.0)   899713.1 
   122     1    3S1 8S1             (3)0( 1.0)   901666.9 
   123     5    3D1 4P1             (3)3( 2.0)   901866.1 
   124     5    3D1 4P1             (3)3( 3.0)   902132.7 
   125     1    3S1 8S1             (1)0( 0.0)   902489.0 
   126     5    3D1 4P1             (3)3( 4.0)   902496.4 
   127     1    3S1 8P1             (3)1( 0.0)   906749.3 
   128     1    3S1 8P1             (3)1( 1.0)   906770.6 
   129     1    3S1 8P1             (3)1( 2.0)   906821.3 
   130     5    3D1 4P1             (3)1( 2.0)   907184.7 
   131     1    3S1 8P1             (1)1( 1.0)   907202.8 
   132     4    3D1 4P1             (3)1( 1.0)   907260.0 
   133     4    3D1 4P1             (3)1( 0.0)   907309.2 
   134     2    3P1 5D1             (1)2( 2.0)   909920.0 
   135     5    3D1 4P1             (1)3( 3.0)   910021.8 
   136     2    3P1 5D1             (3)2( 1.0)   910379.0 
   137     2    3P1 5D1             (3)2( 2.0)   910422.1 
   138     2    3P1 5D1             (3)2( 3.0)   910728.5 
   139     3    3P1 5D1             (3)3( 2.0)   912207.6 
   140     3    3P1 5D1             (3)3( 3.0)   912569.5 
   141     3    3P1 5D1             (3)3( 4.0)   913304.2 
   142     1    3S1 8D1             (3)2( 1.0)   913733.1 
   143     1    3S1 8D1             (3)2( 2.0)   913736.3 
   144     1    3S1 8D1             (3)2( 3.0)   913741.4 
   145     1    3S1 8D1             (1)2( 2.0)   913975.4 
   146     5    3D1 4P1             (1)1( 1.0)   914098.5 
   147     3    3P1 5D1             (3)1( 2.0)   914398.9 
   148     3    3P1 5D1             (3)1( 1.0)   914819.1 
   149     3    3P1 5D1             (3)1( 0.0)   915161.3 
   150     3    3P1 5D1             (1)3( 3.0)   915247.7 
   151     1    3S1 8F1             (3)3( 2.0)   916351.0 
   152     1    3S1 8F1             (3)3( 3.0)   916352.3 
   153     1    3S1 8F1             (3)3( 4.0)   916353.9 
   154     3    3P1 5D1             (1)1( 1.0)   916758.8 
   155     1    3S1 8G1             (3)4( 3.0)   916976.7 
   156     1    3S1 8G1             (3)4( 4.0)   916977.5 
   157     1    3S1 8G1             (3)4( 5.0)   916978.3 
   158     1    3S1 8F1             (1)3( 3.0)   917055.7 
   159     1    3S1 8H1             (3)5( 4.0)   917094.3 
   160     1    3S1 8H1             (3)5( 5.0)   917094.7 
   161     1    3S1 8H1             (3)5( 6.0)   917095.3 
   162     1    3S1 8I1             (3)6( 5.0)   917104.2 
   163     1    3S1 8I1             (3)6( 6.0)   917104.3 
   164     1    3S1 8I1             (3)6( 7.0)   917104.9 
   165     1    3S1 8I1             (1)6( 6.0)   917105.2 
   166     1    3S1 8J1             (3)7( 6.0)   917105.2 
   167     1    3S1 8J1             (3)7( 7.0)   917105.2 
   168     1    3S1 8J1             (3)7( 8.0)   917105.8 
   169     1    3S1 8J1             (1)7( 7.0)   917105.8 
   170     1    3S1 8H1             (1)5( 5.0)   917106.3 
   171     1    3S1 8G1             (1)4( 4.0)   917139.5 
   172     2    3P1 5F1             (1)3( 3.0)   920624.7 
   173     2    3P1 5F1             (3)3( 3.0)   921619.9 
   174     2    3P1 5F1             (3)3( 4.0)   921911.2 
   175     2    3P1 5F1             (3)3( 2.0)   922030.2 
   176     3    3P1 5F1             (3)4( 3.0)   923032.7 
   177     3    3P1 5F1             (3)4( 4.0)   923432.9 
   178     3    3P1 5F1             (3)4( 5.0)   923697.0 
   179     2    3P1 5G1             (1)4( 4.0)   923802.5 
   180     2    3P1 5G1             (3)4( 3.0)   923874.4 
   181     2    3P1 5G1             (3)4( 4.0)   924010.8 
   182     2    3P1 5G1             (3)4( 5.0)   924108.8 
   183     3    3P1 5F1             (3)2( 3.0)   925665.8 
   184     3    3P1 5F1             (3)2( 2.0)   926156.3 
