SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108038846.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    18303.3 
     3          2S1 2P6             (2)0( 0.5)   622608.3*

   IC RESOLVED LEVEL INDEXING           BWNR= 111415705.7   NLVL= 329
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2S2 2P6             (1)0( 0.0)        0.0 
     2     2    2S2 2P5 3S1         (3)1( 0.0)  2020480.2 
     3     2    2S2 2P5 3S1         (1)1( 1.0)  2027129.7 
     4     2    2S2 2P5 3P1         (1)1( 1.0)  2163399.4 
     5     2    2S2 2P5 3P1         (1)2( 2.0)  2168700.5 
     6     2    2S2 2P5 3P1         (3)1( 1.0)  2169588.9 
     7     2    2S2 2P5 3P1         (1)0( 0.0)  2259459.0 
     8     2    2S2 2P5 3D1         (1)2( 2.0)  2356482.5 
     9     2    2S2 2P5 3D1         (1)3( 3.0)  2359203.9 
    10     2    2S2 2P5 3D1         (3)2( 2.0)  2359541.7 
    11     2    2S2 2P5 3D1         (1)1( 1.0)  2390844.4 
    12     3    2S1 2P6 3S1         (3)0( 1.0)  2627877.0 
    13     3    2S1 2P6 3S1         (1)0( 0.0)  2660564.6 
    14     2    2S2 2P5 4S1         (3)1( 0.0)  2691354.6 
    15     2    2S2 2P5 4S1         (3)1( 1.0)  2693057.8 
    16     2    2S2 2P5 4P1         (3)2( 1.0)  2745486.8 
    17     2    2S2 2P5 4P1         (3)1( 1.0)  2747382.3 
    18     2    2S2 2P5 4P1         (1)2( 2.0)  2747730.2 
    19     3    2S1 2P6 3P1         (3)1( 0.0)  2770023.9 
    20     3    2S1 2P6 3P1         (3)1( 1.0)  2770795.4 
    21     2    2S2 2P5 4P1         (1)0( 0.0)  2770997.9 
    22     3    2S1 2P6 3P1         (3)1( 2.0)  2772791.7 
    23     3    2S1 2P6 3P1         (1)1( 1.0)  2782212.0 
    24     1    2S2 2P5 4D1         (3)1( 0.0)  2792201.8 
    25     1    2S2 2P5 4D1         (3)1( 1.0)  2793459.2 
    26     1    2S2 2P5 4D1         (3)3( 4.0)  2795430.3 
    27     1    2S2 2P5 4D1         (3)1( 2.0)  2795675.6 
    28     1    2S2 2P5 4D1         (3)3( 3.0)  2796852.2 
    29     1    2S2 2P5 4D1         (1)2( 2.0)  2799060.7 
    30     1    2S2 2P5 4D1         (3)2( 3.0)  2800229.4 
    31     1    2S2 2P5 4D1         (3)2( 1.0)  2807039.5 
    32     2    2S2 2P5 4D1         (3)3( 2.0)  2814989.9 
    33     2    2S2 2P5 4D1         (3)2( 2.0)  2815814.5 
    34     2    2S2 2P5 4D1         (1)3( 3.0)  2816497.1 
    35     1    2S2 2P5 4F1         (3)2( 1.0)  2818699.9 
    36     1    2S2 2P5 4F1         (3)2( 2.0)  2819051.7 
    37     1    2S2 2P5 4F1         (3)4( 5.0)  2819654.2 
    38     1    2S2 2P5 4F1         (1)4( 4.0)  2819688.1 
