Ion	c 1	c 2	c 3	c 4	c 5	c 6
Si+	3.463E-8	1.934E-7	1.652E-7	6.273E-6	5.465E-5	4.103E-3
P2+	1.399E-7	1.809E-6	2.659E-6	1.362E-5	4.795E-4	1.202E-2
S3+	5.817E-7	1.391E-6	1.123E-5	1.521E-4	1.875E-3	2.097E-2
Cl4+	1.399E-6	1.371E-5	1.215E-4	1.183E-3	4.048E-2	0.000e00
Ar5+	1.136E-5	1.302E-4	8.017E-4	4.318E-2	7.582E-3	7.582E-3
K6+	2.674E-4	4.405E-4	2.397E-3	6.775E-2	4.313E-3	4.313E-3
Ca7+	2.978E-4	7.585E-4	5.973E-3	8.950E-2	2.076E-3	2.078E-3
Sc8+	2.469E-4	1.117E-3	4.082E-3	6.220E-2	5.721E-2	0.000e00
Ti9+	3.790E-4	1.098E-3	7.060E-3	9.301E-2	5.030E-2	0.000e00
V10+	1.890E-3	4.228E-3	9.756E-3	1.225E-1	4.594E-2	0.000e00
Cr11+	5.673E-4	4.535E-3	1.811E-2	1.522E-1	4.117E-2	0.000e00
Mn12+	3.619E-3	8.488E-3	2.212E-2	1.824E-1	3.920E-2	0.000e00
Fe13+	2.305E-3	1.072E-2	3.512E-2	2.105E-1	3.622E-2	0.000e00
Ion	E 1	E 2	E 3	E 4	E 5	E 6
Si+	2.411E+1	1.289E+2	4.201E+2	1.009E+4	5.042E+4	1.291E+5
P2+	1.997E+2	5.684E+2	2.420E+3	1.511E+4	7.690E+4	1.606E+5
S3+	3.628E+2	1.058E+3	7.160E+3	3.260E+4	1.235E+5	2.070E+5
Cl4+	5.776E+2	2.707E+3	1.065E+4	6.346E+4	2.407E+5	0.000e00
Ar5+	7.953E+2	7.596E+3	3.505E+4	2.299E+5	4.576E+5	4.576E+5
K6+	2.667E+3	8.588E+3	5.812E+4	2.807E+5	6.088E+5	6.088E+5
Ca7+	3.540E+3	1.530E+4	7.536E+4	3.313E+5	8.562E+5	8.562E+5
Sc8+	6.596E+2	6.965E+3	4.220E+4	2.481E+5	5.378E+5	0.000e00
Ti9+	8.123E+2	8.315E+3	4.990E+4	3.000E+5	6.558E+5	0.000e00
V10+	1.324E+3	9.205E+3	6.872E+4	3.450E+5	8.177E+5	0.000e00
Cr11+	3.088E+3	1.472E+4	7.630E+4	3.956E+5	9.864E+5	0.000e00
Mn12+	2.073E+3	1.548E+4	9.187E+4	4.434E+5	1.265E+6	0.000e00
Fe13+	4.747E+3	1.877E+4	1.190E+5	5.090E+5	1.595E+6	0.000e00
