Ion	c_1        c_2        c_3        c_4        c_5        c_6      
Al1+   4.495E-7  2.610E-6  3.816E-3  5.803E-4   0.000    0.000	
Si2+   2.930E-6  2.803E-6  9.023E-5  6.909E-3  2.582E-5  0.000	
P3+   6.763E-6  3.864E-6  3.456E-5  2.562E-4  1.430E-2  2.623E-4  
S4+   9.571E-6  6.268E-5  3.807E-4  1.874E-2  5.526E-3  0.000     
Cl5+   1.298E-5  6.784E-5  2.295E-4  3.446E-3  3.153E-2  2.824E-3  
Ar6+   5.219E-5  3.268E-4  1.514E-3  5.551E-3  4.596E-2  7.266E-3  
K7+   9.176E-5  1.519E-4  2.585E-3  1.364E-2  5.097E-2  1.478E-2  
Ca8+   1.697E-4  7.725E-4  5.140E-3  3.397E-2  4.806E-2  2.745E-2  
Sc9+   1.474E-4  2.209E-3  7.660E-3  8.018E-2  1.978E-2  4.575E-2  
Ti10+  8.273E-4  2.017E-3  1.378E-2  1.013E-1  1.471E-2  7.139E-2  
V11+  2.311E-4  2.759E-3  1.129E-2  5.990E-2  8.430E-2  1.084E-1  
Cr12+  5.905E-5  9.600E-4  6.084E-3  1.501E-1  3.658E-2  1.516E-1  
Mn13+  2.366E-3  5.896E-3  3.070E-2  1.583E-1  3.571E-2  1.973E-1  
Fe14+  5.636E-4  7.860E-3  5.063E-2  1.753E-1  1.209E-1  1.934E-1  
            E_1         E_2      E_3      E_4      E_5      E_6   
Al1+   4.937E+3  1.395E+4  8.258E+4  1.103E+5  0.000     0.000   
Si2+   1.162E+2  5.721E+3  3.477E+4  1.176E+5  3.505E+6  0.000  
P3+   1.532E+3  2.588E+3  7.095E+3  4.171E+4  1.477E+5  1.083E+6 
S4+   1.180E+3  6.443E+3  2.264E+4  1.530E+5  3.564E+5  0.000  
Cl5+   1.010E+3  3.305E+3  1.717E+4  8.541E+4  2.098E+5  2.381E+6 
Ar6+   1.469E+3  5.106E+3  2.347E+4  1.104E+5  2.415E+5  2.713E+6 
K7+   1.915E+3  6.277E+3  3.614E+4  1.467E+5  2.860E+5  3.142E+6 
Ca8+   1.590E+3  7.651E+3  4.282E+4  2.047E+5  3.459E+5  3.715E+6 
Sc9+   3.767E+3  1.589E+4  5.182E+4  2.698E+5  5.686E+5  4.220E+6 
Ti10+  2.485E+3  1.024E+4  7.455E+4  3.173E+5  9.210E+5  4.932E+6 
V11+  3.489E+3  1.748E+4  8.329E+4  3.717E+5  7.715E+5  5.480E+6 
Cr12+  3.264E+3  1.786E+4  1.155E+5  5.017E+5  1.482E+6  6.212E+6  
Mn13+  3.889E+3  1.914E+4  1.155E+5  4.511E+5  3.366E+6  7.114E+6 
Fe14+  3.628E+3  2.489E+4  1.405E+5  5.133E+5  5.018E+6  8.689E+6    
