Ion            c_1         c_2        c_3         c_4         c_5         c_6         c_7          
Mg1+   3.871E-8  4.732E-7  1.599E-3  2.628E-5  0.0000   0.0000   0.0000  
Al2+   1.629E-6  3.584E-6  1.244E-5  4.155E-3  2.904E-4  0.0000   0.0000   
Si3+   3.819E-6  2.421E-5  2.283E-4  8.604E-3  2.617E-3  0.0000   0.0000  
P4+    2.722E-7  7.538E-5  1.466E-4  1.402E-2  5.283E-4  3.280E-3  0.0000  
S5+    2.816E-6  3.172E-5  1.832E-4  4.360E-3  1.618E-2  7.707E-3  0.0000  
Cl6+   2.041E-5  2.386E-4  8.413E-4  2.724E-2  8.375E-3  1.595E-2  0.0000  
Ar7+   1.016E-4  7.473E-4  3.394E-2  2.398E-3  2.530E-2  0.0000   0.0000
K8+   1.030E-6  3.755E-4  1.354E-3  4.108E-2  4.373E-3  4.094E-2  0.0000  
Ca9+   6.508E-5  8.795E-4  6.576E-3  4.780E-2  5.167E-2  1.859E-2  0.0000  
Sc10+  1.120E-4   1.532E-3   2.899E-3   5.815E-2   9.603E-3   1.027E-1   6.511E-4  
Ti11+  1.264E-4  8.031E-4  4.274E-3  6.761E-2  1.252E-2  1.583E-1  1.625E-3  
V12+  3.510E-5   1.137E-3   8.161E-3   7.833E-2   2.057E-2   5.152E-2   1.922E-1  
Cr13+  1.437E-4  2.295E-3  1.174E-2  8.706E-2  3.242E-2  1.170E-1  2.616E-1  
Mn14+  1.050E-3   5.850E-3   1.115E-2   9.993E-2   6.156E-2   5.521E-1   0.0000  
Fe15+  7.676E-4  5.587E-3  1.152E-1  4.929E-2  7.274E-1  7.347E-3  0.0000  
Co16+  1.243E-3   8.226E-3   1.223E-1   4.428E-2   3.794E-1   5.032E-1   0.0000  
Ni17+  3.419E-4  4.806E-3  3.420E-2  1.305E-1  1.145E-1  9.603E-1  1.076E-2  
            E_1         E_2         E_3        E_4         E_5         E_6         E_7            
Mg1+   8.415E+3  1.682E+4 5.0000E+4  2.759E+5   0.0000  0.0000   0.0000  
Al2+   3.809E+3  5.120E+3  2.166E+4  7.635E+4  8.477E+5  0.0000   0.0000   
Si3+   3.802E+3  1.280E+4  5.953E+4  1.026E+5  1.154E+6  0.0000   0.0000   
P4+    3.732E+3  2.407E+4  5.213E+4  1.247E+5  8.053E+5  1.513E+6  0.0000  
S5+    7.590E+3  1.558E+4  4.013E+4  1.156E+5  1.601E+5  1.839E+6  0.0000  
Cl6+   1.279E+4  2.238E+4  6.587E+4  1.786E+5  1.782E+6  2.767E+6  0.0000  
Ar7+   1.513E+4  4.784E+4  1.926E+5  6.904E+5  2.715E+6  0.0000   0.0000  
K8+  2.685E+3   1.684E+4   5.729E+4   2.141E+5   8.556E+5   3.198E+6   0.0000  
Ca9+   3.711E+3  4.421E+4  1.189E+5  2.603E+5  3.099E+6  5.016E+6  0.0000  
Sc10+  2.655E+3   1.861E+4   5.316E+4   2.604E+5   1.186E+6   4.210E+6   1.896E+7 
Ti11+  4.550E+3  1.434E+4  9.989E+4  2.879E+5  1.331E+6  4.770E+6  3.999E+7 
V12+  1.209E+4   4.097E+4   1.163E+5   3.182E+5   1.659E+6   4.589E+6   5.804E+6 
Cr13+  8.994E+3  2.734E+4  1.091E+5  3.430E+5  1.913E+6  5.724E+6  6.593E+6  
Mn14+  9.125E+3   2.730E+4   1.065E+5   3.718E+5   2.640E+6   7.225E+6   0.0000  
Fe15+  2.935E+4  8.158E+4  3.591E+5  1.735E+6  7.545E+6  4.634E+7  0.0000  
Co16+  1.105E+4   8.003E+4   3.613E+5   1.193E+6   6.235E+6   9.861E+6   0.0000  
Ni17+  1.531E+4  4.515E+4  1.905E+5  4.703E+5  3.115E+6  9.270E+6  3.490E+7 

