Ion	c1	c2	c3	c4	c5	c6	c7
S+	7.300E-8	2.577E-7	4.961E-8	9.520E-7	9.586E-7	6.849E-4	6.539E-4
Cl2+	4.339E-7	6.917E-7	4.733E-6	6.045E-6	2.290E-4	2.081E-2	0.000e+0
Ar3+	1.688E-6	4.430E-6	2.567E-5	1.028E-4	1.413E-3	4.267E-2	0.000e+0
K4+	8.509E-7	4.814E-5	1.335E-4	4.253E-4	4.086E-3	6.825E-2	0.000e+0
Ca5+	9.288E-6	5.118E-5	4.784E-4	1.906E-3	1.046E-1	3.473E-3	0.000e+0
Sc6+	7.711E-5	3.320E-4	1.322E-3	6.995E-3	1.417E-1	0.000e+0	0.000e+0
Ti7+	5.405E-5	2.938E-4	2.543E-3	2.147E-2	1.698E-1	0.000e+0	0.000e+0
V8+	1.550E-4	1.069E-3	9.840E-3	2.304E-1	3.549E-4	4.431E-3	0.000e+0
Cr9+	1.836E-4	2.525E-3	1.026E-2	9.320E-2	1.963E-1	0.000e+0	0.000e+0
Mn10+	4.937E-4	4.683E-3	1.905E-2	1.474E-1	1.959E-1	0.000e+0	0.000e+0
Fe11+	1.791E-3	5.627E-3	2.131E-2	2.097E-1	1.936E-1	0.000e+0	0.000e+0
Co12+	1.168E-3	8.046E-3	3.228E-2	2.754E-1	1.900E-1	0.000e+0	0.000e+0
Ni13+	2.770E-3	1.016E-2	4.107E-2	3.391E-1	1.841E-1	0.000e+0	0.000e+0
Ion	E1	E2	E3	E4	E5	E6	E7
S+	5.077E+2	6.007E+2	2.342E+3	7.269E+3	2.190E+4	1.483E+5	1.906E+5
Cl2+	5.980E+2	8.234E+2	5.893E+3	2.674E+4	1.132E+5	2.632E+5	0.000e+0
Ar3+	1.013E+3	1.620E+3	8.418E+3	2.451E+4	1.525E+5	3.233E+5	0.000e+0
K4+	1.967E+2	2.907E+3	9.067E+3	4.852E+4	2.033E+5	3.790E+5	0.000e+0
Ca5+	9.012E+2	3.985E+3	1.738E+4	8.190E+4	4.066E+5	1.009E+6	0.000e+0
Sc6+	7.290E+2	4.815E+3	2.168E+4	1.278E+5	4.754E+5	0.000e+0	0.000e+0
Ti7+	9.445E+2	6.113E+3	3.383E+4	1.928E+5	5.478E+5	0.000e+0	0.000e+0
V8+	9.354E+2	8.093E+3	5.226E+4	5.312E+5	1.649E+4	2.620E+6	0.000e+0
Cr9	1.568E+3	1.232E+4	4.546E+4	3.202E+5	7.469E+5	0.000e+0	0.000e+0
Mn10+	1.560E+3	1.424E+4	5.667E+4	3.897E+5	8.806E+5	0.000e+0	0.000e+0
Fe11+	1.463E+3	1.289E+4	7.234E+4	4.470E+5	1.042E+6	0.000e+0	0.000e+0
Co12+	1.301E+3	1.831E+4	8.266E+4	5.081E+5	1.227E+6	0.000e+0	0.000e+0
Ni13+	2.830E+3	2.062E+4	1.013E+5	5.743E+5	1.464E+6	0.000e+0	0.000e+0

