Ion	c1	c2	c3	c4	c5	c6	c7	c8
P+	5.128E-08	2.744E-08	2.647E-08	3.652E-08	2.286E-06	9.048E-04	5.975E-04	4.853E-05
S2+	3.040E-07	4.393E-07	1.609E-06	4.980E-06	3.457E-05	8.617E-03	9.284E-04	0.000e00
Cl3+	6.019E-07	3.244E-06	2.686E-05	8.945E-04	2.095E-02	0.000e00	0.000e00	0.000e00
Ar4+	1.590E-05	1.636E-05	7.566E-05	3.805E-04	5.247E-03	3.272E-02	1.060E-04	0.000e00
K5+	8.624E-05	8.801E-05	1.934E-04	1.878E-03	4.936E-02	3.667E-03	0.000e00	0.000e00
Ca6+	4.836E-04	3.208E-04	9.281E-04	5.307E-02	2.175E-02	0.000e00	0.000e00	0.000e00
Sc7+	1.651E-04	2.659E-04	2.517E-03	7.847E-02	1.681E-02	0.000e00	0.000e00	0.000e00
Ti8+	4.657E-04	1.194E-03	2.720E-03	3.812E-02	8.260E-02	0.000e00	0.000e00	0.000e00
V9+	1.903E-03	2.573E-03	5.861E-03	5.971E-02	8.198E-02	0.000e00	0.000e00	0.000e00
Cr10+	2.687E-03	4.814E-03	6.995E-03	9.119E-02	8.006E-02	0.000e00	0.000e00	0.000e00
Mn11+	1.040E-03	4.548E-03	1.134E-02	1.253E-01	8.492E-02	0.000e00	0.000e00	0.000e00
Fe12+	4.469E-03	8.538E-03	1.741E-02	1.630E-01	8.680E-02	0.000e00	0.000e00	0.000e00
Co13+	3.163E-03	1.128E-02	2.548E-02	1.987E-01	9.730E-02	0.000e00	0.000e00	0.000e00
Ni14+	3.306E-03	1.699E-02	3.525E-02	2.401E-01	1.102E-01	0.000e00	0.000e00	0.000e00
Ion	E1	E2	E3	E4	E5	E6	E7	E8
P+	1.684E+01	1.053E+02	4.273E+02	7.150E+03	5.600E+04	1.399E+05	1.676E+05	3.120E+07
S2+	5.016E+01	3.266E+02	3.102E+03	1.210E+04	4.969E+04	2.010E+05	2.575E+05	0.000e00
Cl3+	1.077E+02	8.933E+02	9.908E+03	8.465E+04	2.657E+05	0.000e00	0.000e00	0.000e00
Ar4+	2.879E+02	1.717E+03	9.917E+03	5.769E+04	2.178E+05	3.191E+05	1.250E+06	0.000e00
K5+	1.876E+02	2.406E+03	1.482E+04	9.215E+04	3.473E+05	4.806E+05	0.000e00	0.000e00
Ca6+	3.497E+02	2.664E+03	3.433E+04	3.149E+05	6.358E+05	0.000e00	0.000e00	0.000e00
Sc7+	3.808E+02	4.268E+03	5.687E+04	3.742E+05	8.285E+05	0.000e00	0.000e00	0.000e00
Ti8+	8.056E+02	6.038E+03	3.964E+04	2.517E+05	6.006E+05	0.000e00	0.000e00	0.000e00
V9+	1.360E+03	7.173E+03	5.168E+04	3.081E+05	7.209E+05	0.000e00	0.000e00	0.000e00
Cr10+	1.403E+03	8.418E+03	6.683E+04	3.746E+05	8.827E+05	0.000e00	0.000e00	0.000e00
Mn11+	1.521E+03	1.177E+04	7.406E+04	4.268E+05	1.058E+06	0.000e00	0.000e00	0.000e00
Fe12+	2.462E+03	1.261E+04	9.330E+04	4.887E+05	1.312E+06	0.000e00	0.000e00	0.000e00
Co13+	3.776E+03	1.896E+04	1.067E+05	5.476E+05	1.588E+06	0.000e00	0.000e00	0.000e00
Ni14+	2.329E+03	1.982E+04	1.156E+05	6.074E+05	1.911E+06	0.000e00	0.000e00	0.000e00

