  1   2          0.000   
  2   3       1051.500   
  3   4       2331.500   
  4   2      17475.500   
  5   0      20040.300   
  6   1      20430.100   
  7   2      21278.600   
  8   4      28927.300   
  9   0      67078.300   
%filename: fe_7.elvlc
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%theoretical energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
    1    2      95102.235      0.000e+00      3.250e-02 
    2    3      78125.000      0.000e+00      4.660e-02 
    1    4       5722.297      0.000e+00      3.720e-01 
    2    4       6088.651      0.000e+00      6.030e-01 
    3    4       6603.275      0.000e+00      1.390e-03 
    1    5       4989.945      0.000e+00      1.350e-01 
    1    6       4894.739      0.000e+00      5.020e-02 
    2    6       5160.332      0.000e+00      7.620e-02 
    4    6      33845.533      0.000e+00      5.720e-02 
    5    6     256542.588      0.000e+00      1.150e-03 
    1    7       4699.557      0.000e+00      1.500e-02 
    2    7       4943.863      0.000e+00      6.970e-02  
    3    7       5277.853      0.000e+00      7.350e-02  
    4    7      26294.342      0.000e+00      1.820e-01  
    6    7     117855.038      0.000e+00      7.430e-03  
    1    8       3456.942      0.000e+00      9.590e-04  
    2    8       3587.341      0.000e+00      3.430e-01  
    3    8       3759.992      0.000e+00      5.030e-01  
    4    8       8732.251      0.000e+00      4.140e-03  
    7    8      13074.115      0.000e+00      4.540e-05  
    1    9       1490.795      0.000e+00      1.810e-01  
    4    9       2016.015      0.000e+00      2.670e+01  
    6    9       2143.706      0.000e+00      6.880e+00  
    7    9       2183.421      0.000e+00      1.110e+00  
%filename: fe_7.wgfa
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%A-values: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
The following A-values bekow incorrect in the Berrington et al. (2000)
paper and have been corrected (K.A. Berrington, 2004, private communication)
	 	4.3 	4.5 	4.75 	5.0 	5.25 	5.5 	5.75 	6.0
1 2 	.325e-1 3.71 	3.35 	2.98 	2.69 	2.48 	2.20 	1.79 	1.35
1 3 	.167e-8 1.30 	1.17 	1.02 	.926 	.862 	.776 	.634 	.469
1 4 	3.25 	1.01 	.959 	.918 	.873 	.813 	.721 	.593 	.455
1 5 	.135 	.295 	.299 	.299 	.302 	.305 	.292 	.259 	.217
1 6 	.502e-1 .619 	.633 	.628 	.623 	.619 	.585 	.504 	.403
1 7 	.174 	.516 	.549 	.548 	.534 	.518 	.473 	.387 	.288
1 8 	.959e-3 1.14 	1.24 	1.26 	1.20 	1.11 	.971 	.786 	.595
1 9 	.181 	.134 	.115 	.097 	.087 	.080 	.071 	.057 	.043
2 3 	.466e-1 4.55 	4.11 	3.64 	3.30 	3.04 	2.71 	2.21 	1.66
2 4 	.603 	1.38 	1.29 	1.23 	1.16 	1.08 	.952 	.780 	.596
2 5 	0.  	.228 	.235 	.231 	.226 	.222 	.207 	.174 	.133
2 6 	.762e-1 .807 	.833 	.837 	.837 	.837 	.794 	.693 	.564
2 7 	.697e-1 1.02 	1.06 	1.06 	1.05 	1.03 	.964 	.818 	.637
2 8 	.343 	1.59 	1.74 	1.76 	1.68 	1.56 	1.36 	1.11 	.837
2 9 	0.  	.190 	.162 	.138 	.123 	.113 	.100 	.081 	.061
3 4 	.139e-2 1.72 	1.60 	1.51 	1.42 	1.32 	1.16 	.943 	.716
3 5 	0.  	.171 	.187 	.191 	.186 	.181 	.167 	.139 	.104
3 6 	0.  	.649 	.690 	.692 	.677 	.663 	.616 	.516 	.390
3 7 	.735e-1 1.89 	1.94 	1.95 	1.94 	1.93 	1.84 	1.60 	1.30
3 8 	.503 	2.06 	2.25 	2.28 	2.18 	2.02 	1.77 	1.43 	1.09
3 9 	0.  	.249 	.213 	.181 	.162 	.149 	.132 	.107 	.080
4 5 	.472e-6 .159 	.172 	.179 	.178 	.170 	.154 	.128 	.099
4 6 	.572e-1 .490 	.531 	.553 	.544 	.515 	.462 	.382 	.292
4 7 	.191 	1.022 	1.06 	1.07 	1.03 	.952 	.833 	.668 	.495
4 8 	.414e-2 2.01 	2.02 	1.91 	1.76 	1.62 	1.43 	1.16 	.889
4 9 	26.7 	.509 	.473 	.468 	.483 	.492 	.480 	.439 	.384
5 6 	.115e-2 .350 	.370 	.380 	.380 	.389 	.402 	.375 	.306
5 7 	.139e-7 .315 	.324 	.324 	.329 	.347 	.363 	.342 	.287
5 8 	0.  	.155 	.164 	.178 	.186 	.183 	.166 	.138 	.106
5 9 	0.  	.030 	.035 	.040 	.041 	.039 	.034 	.028 	.021
6 7 	.743e-2 1.13 	1.17 	1.18 	1.20 	1.25 	1.31 	1.23 	1.03
6 8 	0.  	.466 	.495 	.536 	.558 	.549 	.500 	.416 	.320
6 9 	6.88 	.088 	.105 	.120 	.123 	.116 	.103 	.084 	.064
7 8 	.454e-4 .857 	.903 	.961 	.988 	.965 	.875 	.726 	.558
7 9 	1.11 	.173 	.197 	.220 	.225 	.215 	.192 	.159 	.122
8 9 	0.  	.255 	.310 	.346 	.345 	.320 	.273 	.209 	.146
qqqq

 itime, time, te  1  1000.  5785606.13
 itime, time, te  1  1000.  15000.
 itime, time, te  1  1000.  15000.
