 Fe II levels
  n      E(n)       g    label
  1        0.00    9.0 3d  5D4   
  2      436.20    7.0 3d  5D3   
  3      738.90    5.0 3d  5D2   
  4      932.40    3.0 3d  5D1   
  5     1027.30    1.0 3d  5D0   
  6    19404.80    5.0 3d a3P2   
  7    20051.10   13.0 3d a3H6   
  8    20300.80   11.0 3d a3H5   
  9    20481.90    9.0 3d a3H4   
 10    20688.40    3.0 3d a3P1   
 11    21208.50    1.0 3d a3P0   
 12    21462.20    9.0 3d a3F4   
 13    21699.90    7.0 3d a3F3   
 14    21857.20    5.0 3d a3F2   
 15    24558.80   11.0 3d a3G5   
 16    24940.90    9.0 3d a3G4   
 17    25142.40    7.0 3d a3G3   
 18    30088.80    7.0 3d a7S3   
 19    30356.20   13.0 3d a1I6   
 20    30716.20    5.0 3d a3D2   
 21    30725.80    3.0 3d a3D1   
 22    30857.80    7.0 3d a3D3   
 23    30886.40    9.0 3d a1G4   
 24    34812.40    1.0 3d a1S0   
 25    35803.70    5.0 3d a1D2   
 26    40999.90    5.0 3d a5S2   
 27    42896.90    7.0 3d a1F3   
 28    49148.00    1.0 3d b3P0   
 29    49576.90    3.0 3d b3P1   
 30    50412.30    5.0 3d b3P2   
 Transition probabilities
       n1     n2   lambda       A             omega
       2       1   229190.2  2.8000E-02       0.002
       3       1   135299.4  0.0000E+00       1.012
       3       2   330270.1  1.8000E-02       0.002
       4       1   107220.9  0.0000E+00       0.607
       4       2   201476.7  0.0000E+00       0.472
       4       3   516655.0  6.7000E-04       0.337
       5       1    97316.0  0.0000E+00       0.034
       5       2   169130.0  0.0000E+00       0.157
       5       3   346646.2  0.0000E+00       0.112
       5       4  1053453.7  1.4000E-04       0.003
       6       1     5151.9  0.0000E+00       0.169
       6       2     5270.4  4.0000E-01       0.131
       6       3     5355.9  0.0000E+00       0.094
       6       4     5412.0  3.8000E-02       0.001
       6       5     5439.9  0.0000E+00       0.019
       7       1     4985.9  0.0000E+00       0.439
       7       2     5096.7  0.0000E+00       0.341
       7       3     5176.6  0.0000E+00       0.244
       7       4     5229.0  0.0000E+00       0.146
       7       5     5255.1  0.0000E+00       0.049
       7       6   154684.7  0.0000E+00       1.462
       8       1     4924.5  0.0000E+00       0.371
       8       2     5032.7  0.0000E+00       0.289
       8       3     5110.6  0.0000E+00       0.206
       8       4     5161.6  0.0000E+00       0.124
       8       5     5187.0  0.0000E+00       0.041
       8       6   111576.7  0.0000E+00       1.237
       8       7   400371.5  0.0000E+00       3.217
       9       1     4881.0  0.0000E+00       0.304
       9       2     4987.2  0.0000E+00       0.236
       9       3     5063.7  0.0000E+00       0.169
       9       4     5113.8  0.0000E+00       0.101
       9       5     5138.7  0.0000E+00       0.034
       9       6    92816.6  0.0000E+00       0.169
       9       7   232063.0  0.0000E+00       2.632
       9       8   552030.7  0.0000E+00       2.227
      10       1     4832.3  0.0000E+00       0.101
      10       2     4936.4  0.0000E+00       0.079
      10       3     5011.3  5.3000E-01       0.056
      10       4     5060.3  0.0000E+00       0.034
      10       5     5084.8  9.1000E-02       0.001
      10       6    77884.7  0.0000E+00       0.056
      10       7   156869.2  0.0000E+00       0.877
      10       8   257927.6  0.0000E+00       0.742
      10       9   484129.5  0.0000E+00       0.607
      11       1     4713.8  0.0000E+00       0.034
      11       2     4812.8  0.0000E+00       0.026
      11       3     4883.9  0.0000E+00       0.019
      11       4     4930.5  6.7000E-01       0.011
      11       5     4953.7  0.0000E+00       0.004
      11       6    55426.5  0.0000E+00       0.019
      11       7    86377.0  0.0000E+00       0.049
      11       8   110138.5  0.0000E+00       0.247
      11       9   137589.8  0.0000E+00       0.202
      11      10   192218.3  0.0000E+00       0.067
      12       1     4658.1  4.4000E-01       0.304
      12       2     4754.7  8.1000E-02       0.001
      12       3     4824.1  0.0000E+00       0.169
      12       4     4869.6  0.0000E+00       0.101
      12       5     4892.2  0.0000E+00       0.034
      12       6    48591.8  0.0000E+00       0.169
      12       7    70847.4  0.0000E+00       0.439
      12       8    86079.5  0.0000E+00       0.371
      12       9   101981.8  0.0000E+00       1.822
      12      10   129197.1  0.0000E+00       0.607
      12      11   394058.9  0.0000E+00       0.202
      13       1     4607.0  3.8000E-02       0.001
      13       2     4701.5  2.7000E-01       0.184
      13       3     4769.4  8.7000E-02       0.001
      13       4     4813.9  0.0000E+00       0.079
      13       5     4836.0  0.0000E+00       0.026
      13       6    43559.2  0.0000E+00       0.131
      13       7    60633.6  0.0000E+00       0.341
      13       8    71455.0  0.0000E+00       0.289
      13       9    82079.4  0.0000E+00       0.236
      13      10    98836.1  0.0000E+00       0.079
      13      11   203444.8  0.0000E+00       0.157
      13      12   420583.7  0.0000E+00       1.417
      14       1     4573.9  0.0000E+00       0.169
      14       2     4667.0  2.6000E-02       0.001
      14       3     4733.9  1.0000E-01       0.094
      14       4     4777.7  4.9000E-02       0.001
      14       5     4799.4  0.0000E+00       0.019
      14       6    40765.3  0.0000E+00       0.094
      14       7    55352.8  0.0000E+00       0.244
      14       8    64233.3  0.0000E+00       0.206
      14       9    72691.6  0.0000E+00       0.169
      14      10    85534.5  0.0000E+00       0.056
      14      11   154112.5  0.0000E+00       0.112
      14      12   253095.6  0.0000E+00       1.012
      14      13   635554.7  0.0000E+00       0.787
      15       1     4070.7  0.0000E+00       0.371
      15       2     4144.3  0.0000E+00       0.289
      15       3     4197.0  0.0000E+00       0.206
      15       4     4231.4  0.0000E+00       0.124
      15       5     4248.4  0.0000E+00       0.041
      15       6    19397.1  0.0000E+00       0.206
      15       7    22178.2  0.0000E+00       0.536
      15       8    23478.8  0.0000E+00       0.454
      15       9    24521.8  0.0000E+00       0.371
      15      10    25830.1  0.0000E+00       0.124
      15      11    29839.9  0.0000E+00       0.041
      15      12    32284.7  0.0000E+00       0.371
      15      13    34969.0  0.0000E+00       0.289
      15      14    37005.0  0.0000E+00       0.206
      16       1     4008.3  1.9000E-01       0.001
      16       2     4079.7  0.0000E+00       0.236
      16       3     4130.7  0.0000E+00       0.169
      16       4     4164.0  0.0000E+00       0.101
      16       5     4180.5  0.0000E+00       0.034
