 Fe II levels
  n      E(n)       g    label
  1        0.00    6.0 3d  6S5/2 
  2    32213.00    6.0 3d  4G5/2 
  3    32254.00   12.0 3d  4G11/2
  4    32310.00   10.0 3d  4G9/2 
  5    32314.00    8.0 3d  4G7/2 
  6    35095.00    6.0 3d  4P5/2 
  7    35172.00    4.0 3d  4P3/2 
  8    35259.00    2.0 3d  4P1/2 
  9    38789.00    8.0 3d  4D7/2 
 10    38873.00    2.0 3d  4D1/2 
 11    38937.00    4.0 3d  4D3/2 
 12    38952.00    6.0 3d  4D5/2 
 13    47218.00   12.0 3d  2I11/2
 14    47296.00   14.0 3d  2I13/2
 15    49104.00    6.0 3d  2D5/2 
 16    49589.00    4.0 3d  2D3/2 
 17    51238.00    8.0 3d  2F7/2 
 18    51864.00    6.0 3d  2F5/2 
 19    52634.00   10.0 3d  4F9/2 
 20    52709.00    8.0 3d  4F7/2 
 21    52853.00    6.0 3d  4F5/2 
 22    52896.00    4.0 3d  4F3/2 
 Transition probabilities
       n1     n2   lambda       A             omega
       2       1     3103.4  1.0000E-01       0.004
       3       1     3099.5  0.0000E+00       0.270
       3       2  2438359.8  0.0000E+00       1.620
       4       1     3094.1  0.0000E+00       0.225
       4       2  1030646.9  0.0000E+00       1.350
       4       3  1785227.7  2.6000E-01       0.007
       5       1     3093.7  0.0000E+00       0.180
       5       2   989829.2  1.1000E-01       0.005
       5       3  1666212.5  0.0000E+00       2.160
       5       4 24993188.0  3.7000E-01       0.006
       6       1     2848.6  1.4000E-01       0.001
       6       2    34688.7  6.8000E-01       0.004
       6       3    35189.3  0.0000E+00       0.270
       6       4    35896.9  0.0000E+00       0.225
       6       5    35948.5  1.5000E-01       0.004
       7       1     2842.3  8.8000E-01       0.090
       7       2    33786.0  8.6000E-01       0.005
       7       3    34260.7  0.0000E+00       0.180
       7       4    34931.1  0.0000E+00       0.150
       7       5    34980.0  0.0000E+00       0.120
       7       6  1298347.4  1.1000E-01       0.004
       8       1     2835.3  0.0000E+00       0.045
       8       2    32821.0  0.0000E+00       0.045
       8       3    33268.8  0.0000E+00       0.090
       8       4    33900.6  0.0000E+00       0.075
       8       5    33946.6  0.0000E+00       0.060
       8       6   609590.0  0.0000E+00       0.270
       8       7  1149112.1  3.7000E-01       0.004
       9       1     2577.3  1.1000E-01       0.002
       9       2    15202.7  7.6000E-01       0.004
       9       3    15298.0  0.0000E+00       0.360
       9       4    15430.3  6.3000E-01       0.003
       9       5    15439.8  7.6000E-01       0.003
       9       6    27063.5  3.8000E-01       0.001
       9       7    27639.7  0.0000E+00       0.120
       9       8    28320.9  0.0000E+00       0.060
      10       1     2571.7  1.8000E-01       0.003
      10       2    15010.9  0.0000E+00       0.045
      10       3    15103.9  0.0000E+00       0.090
      10       4    15232.8  0.0000E+00       0.075
      10       5    15242.1  0.0000E+00       0.060
      10       6    26461.8  0.0000E+00       0.045
      10       7    27012.4  3.4000E-01       0.001
      10       8    27662.6  5.8000E-01       0.001
      10       9  1190151.8  0.0000E+00       0.360
      11       1     2567.5  3.8000E-01       0.001
      11       2    14868.0  2.8000E-01       0.003
      11       3    14959.3  0.0000E+00       0.180
      11       4    15085.7  0.0000E+00       0.150
      11       5    15094.8  0.0000E+00       0.120
      11       6    26021.0  1.8000E-01       0.001
      11       7    26553.2  3.9000E-01       0.001
      11       8    27181.3  1.4000E-01       0.002
