TOTAL RECOMBINATION RATE COEFFICIENTS OF Fe IONS: Fe I - Fe V
--------------------------------------------------------------

 THESE RATE COEFFICIENTS HAVE BEEN COMPUTED USING A UNIFIED FORMULATION
INCLUDING THE RADIATIVE AND DI-ELECTRONIC RECOMBINATION (RR AND DR)
PROCESSES. THE CALCULATIONS ARE CARRIED OUT IN THE CLOSE COUPLING 
APPROXIMATION USING THE R-MATRIX METHOD. THE EXPECTED UNCERTAINTIES ARE
10-30 %, AS FOR THE CLOSE COUPLING DATA FOR EXCITATION AND
PHOTOIONIZATION. FOR HIGHER TEMPERATURES, T > 100,000 K, THE
UNCERTAINITIES MAY BE HIGHER (SEE REFERENCES BELOW).
_______________________________________________________________
References:

1. "Rlectron-ion recombination of neutral iron", S. N. Nahar, M. A. 
   Bautista, and A. K. Pradhan, Astrophys. J. 479, 497 (1997)
2. "Electron-ion recombination of Fe II", S. N. Nahar, Phys. Rev. A 55, 
   1980 (1997)
3. "Total electron-ion recombination for Fe III", S. N. Nahar, Phys. Rev. 
   A 53, 2417 (1996)
4. "Electron-ion recombination of Fe IV", S. N. Nahar, M. A. Bautista, 
   and A. K. Pradhan, Phys. Rev. A (in press, 1998)
5. "Electron-ion recombination of Fe V", S. N. Nahar and M. A. Bautista, 
   Astrophys. J. Suppl. (in press, 1999)

---------------------------------------------------------------------


 Total Recombination Rate Coefficients (rrc) in cm3s-1
 No of Temperature=  81

 --------------------------------------------------

 logT  Fe I      Fe II   Fe III   Fe IV    Fe V 

 --------------------------------------------------

 1.0  3.48E-11 1.23E-10 4.20E-10 5.57E-10 1.80E-09
 1.1  3.14E-11 1.07E-10 3.67E-10 4.88E-10 1.58E-09
 1.2  2.84E-11 9.34E-11 3.22E-10 4.28E-10 1.39E-09
 1.3  2.58E-11 8.13E-11 2.82E-10 3.74E-10 1.22E-09
 1.4  2.33E-11 7.06E-11 2.47E-10 3.27E-10 1.07E-09
 1.5  2.09E-11 6.13E-11 2.16E-10 2.86E-10 9.34E-10
 1.6  1.87E-11 5.32E-11 1.89E-10 2.49E-10 8.12E-10
 1.7  1.67E-11 4.61E-11 1.65E-10 2.17E-10 7.03E-10
 1.8  1.48E-11 3.98E-11 1.44E-10 1.89E-10 6.05E-10
 1.9  1.31E-11 3.45E-11 1.25E-10 1.65E-10 5.18E-10
 2.0  1.16E-11 2.97E-11 1.08E-10 1.43E-10 4.40E-10
 2.1  1.02E-11 2.56E-11 9.30E-11 1.24E-10 3.72E-10
 2.2  9.02E-12 2.21E-11 7.99E-11 1.08E-10 3.13E-10
 2.3  7.97E-12 1.90E-11 6.84E-11 9.38E-11 2.63E-10
 2.4  7.04E-12 1.63E-11 5.83E-11 8.13E-11 2.21E-10
 2.5  6.27E-12 1.40E-11 4.95E-11 7.06E-11 1.86E-10
 2.6  5.65E-12 1.21E-11 4.19E-11 6.11E-11 1.57E-10
 2.7  5.15E-12 1.04E-11 3.54E-11 5.29E-11 1.32E-10
 2.8  4.73E-12 9.03E-12 2.98E-11 4.57E-11 1.12E-10
 2.9  4.34E-12 7.91E-12 2.50E-11 3.95E-11 9.40E-11
