    2    0    0    2  :(2S+1) L pi n
 -2.50000E-01    1000
  2.5000E-01  0.0000E+00  1.4779E+01
  2.5250E-01  2.5000E-03  1.4476E+01
  2.5500E-01  5.0000E-03  1.4181E+01
  2.5750E-01  7.5000E-03  1.3895E+01
  2.6000E-01  1.0000E-02  1.3616E+01
  2.6250E-01  1.2500E-02  1.3345E+01
  2.6500E-01  1.5000E-02  1.3082E+01
  2.6750E-01  1.7500E-02  1.2826E+01
  2.7000E-01  2.0000E-02  1.2577E+01
  2.7250E-01  2.2500E-02  1.2335E+01
  2.7500E-01  2.5000E-02  1.2099E+01
  2.7750E-01  2.7500E-02  1.1869E+01
  2.8000E-01  3.0000E-02  1.1645E+01
  2.8250E-01  3.2500E-02  1.1428E+01
  2.8500E-01  3.5000E-02  1.1215E+01
  2.8750E-01  3.7500E-02  1.1009E+01
  2.9000E-01  4.0000E-02  1.0807E+01
  2.9250E-01  4.2500E-02  1.0611E+01
  2.9500E-01  4.5000E-02  1.0420E+01
  2.9750E-01  4.7500E-02  1.0233E+01
  3.0000E-01  5.0000E-02  1.0051E+01
  3.0250E-01  5.2500E-02  9.8734E+00
  3.0500E-01  5.5000E-02  9.7002E+00
  3.0750E-01  5.7500E-02  9.5312E+00
  3.1000E-01  6.0000E-02  9.3662E+00
  3.1250E-01  6.2500E-02  9.2052E+00
  3.1500E-01  6.5000E-02  9.0481E+00
  3.1750E-01  6.7500E-02  8.8946E+00
  3.2000E-01  7.0000E-02  8.7447E+00
  3.2250E-01  7.2500E-02  8.5983E+00
  3.2500E-01  7.5000E-02  8.4553E+00
  3.2750E-01  7.7500E-02  8.3156E+00
  3.3000E-01  8.0000E-02  8.1790E+00
  3.3250E-01  8.2500E-02  8.0456E+00
  3.3500E-01  8.5000E-02  7.9151E+00
  3.3750E-01  8.7500E-02  7.7876E+00
  3.4000E-01  9.0000E-02  7.6629E+00
  3.4250E-01  9.2500E-02  7.5409E+00
  3.4500E-01  9.5000E-02  7.4217E+00
  3.4750E-01  9.7500E-02  7.3050E+00
  3.5000E-01  1.0000E-01  7.1908E+00
  3.5250E-01  1.0250E-01  7.0791E+00
  3.5500E-01  1.0500E-01  6.9698E+00
  3.5750E-01  1.0750E-01  6.8628E+00
  3.6000E-01  1.1000E-01  6.7581E+00
  3.6250E-01  1.1250E-01  6.6556E+00
  3.6500E-01  1.1500E-01  6.5552E+00
  3.6750E-01  1.1750E-01  6.4569E+00
  3.7000E-01  1.2000E-01  6.3606E+00
  3.7250E-01  1.2250E-01  6.2663E+00
  3.7500E-01  1.2500E-01  6.1739E+00
  3.7750E-01  1.2750E-01  6.0834E+00
  3.8000E-01  1.3000E-01  5.9947E+00
  3.8250E-01  1.3250E-01  5.9078E+00
  3.8500E-01  1.3500E-01  5.8226E+00
  3.8750E-01  1.3750E-01  5.7391E+00
  3.9000E-01  1.4000E-01  5.6572E+00
  3.9250E-01  1.4250E-01  5.5770E+00
  3.9500E-01  1.4500E-01  5.4983E+00
  3.9750E-01  1.4750E-01  5.4212E+00
  4.0000E-01  1.5000E-01  5.3455E+00
  4.0250E-01  1.5250E-01  5.2713E+00
  4.0500E-01  1.5500E-01  5.1984E+00
  4.0750E-01  1.5750E-01  5.1270E+00
  4.1000E-01  1.6000E-01  5.0569E+00
  4.1250E-01  1.6250E-01  4.9882E+00
  4.1500E-01  1.6500E-01  4.9207E+00
  4.1750E-01  1.6750E-01  4.8544E+00
  4.2000E-01  1.7000E-01  4.7894E+00
  4.2250E-01  1.7250E-01  4.7256E+00
  4.2500E-01  1.7500E-01  4.6629E+00
  4.2750E-01  1.7750E-01  4.6014E+00
  4.3000E-01  1.8000E-01  4.5410E+00
  4.3250E-01  1.8250E-01  4.4817E+00
  4.3500E-01  1.8500E-01  4.4234E+00
  4.3750E-01  1.8750E-01  4.3662E+00
  4.4000E-01  1.9000E-01  4.3100E+00
  4.4250E-01  1.9250E-01  4.2548E+00
  4.4500E-01  1.9500E-01  4.2005E+00
  4.4750E-01  1.9750E-01  4.1473E+00
  4.5000E-01  2.0000E-01  4.0949E+00
  4.5250E-01  2.0250E-01  4.0434E+00
  4.5500E-01  2.0500E-01  3.9928E+00
  4.5750E-01  2.0750E-01  3.9431E+00
  4.6000E-01  2.1000E-01  3.8942E+00
  4.6250E-01  2.1250E-01  3.8462E+00
  4.6500E-01  2.1500E-01  3.7989E+00
  4.6750E-01  2.1750E-01  3.7525E+00
  4.7000E-01  2.2000E-01  3.7069E+00
  4.7250E-01  2.2250E-01  3.6619E+00
  4.7500E-01  2.2500E-01  3.6178E+00
  4.7750E-01  2.2750E-01  3.5743E+00
  4.8000E-01  2.3000E-01  3.5316E+00
