  statistical weighted cross sections of He II  to n=10 from Nahar
    1    2 1000     0.04000    54.41777
   54.422771453857422        1.5760000722023990E-018
   54.966999168395994        1.5347000703102929E-018
   55.511226882934572        1.4949000684869074E-018
   56.055454597473144        1.4564000667230799E-018
   56.599682312011723        1.4192000650188101E-018
   57.143910026550294        1.3833000633740980E-018
   57.688137741088873        1.3486000617843625E-018
   58.232365455627445        1.3151000602496033E-018
   58.776593170166016        1.2826000587606580E-018
   59.320820884704595        1.2512000573221077E-018
   59.865048599243167        1.2208000559293712E-018
   60.409276313781746        1.1914000545824480E-018
   60.953504028320317        1.1630000532813389E-018
   61.497731742858882        1.1354000520168806E-018
   62.041959457397454        1.1087000507936547E-018
   62.586187171936032        1.0828000496070798E-018
   63.130414886474604        1.0578000484617371E-018
   63.674642601013183        1.0335000473484641E-018
   64.218870315551754        1.0099000462672607E-018
   64.763098030090333        9.8705004522041743E-019
   65.307325744628898        9.6488004420472765E-019
   65.851553459167476        9.4337004321927497E-019
   66.395781173706055        9.2249004226268467E-019
   66.940008888244634        9.0223004133449903E-019
   67.484236602783199        8.8255004043288521E-019
   68.028464317321777        8.6343003955692729E-019
   68.572692031860356        8.4487003870662496E-019
   69.116919746398921        8.2683003788014559E-019
   69.661147460937499        8.0930003707703147E-019
   70.205375175476078        7.9226003629636587E-019
   70.749602890014657        7.7569003553723277E-019
   71.293830604553222        7.5958003479917406E-019
   71.838058319091800        7.4392003408173143E-019
   72.382286033630379        7.2867003338307244E-019
   72.926513748168944        7.1385003270411331E-019
   73.470741462707522        6.9942003204302159E-019
   74.014969177246101        6.8537003139933899E-019
   74.559196891784680        6.7170003077306559E-019
   75.103424606323230        6.5838003016282706E-019
   75.647652320861809        6.4542002956908142E-019
   76.191880035400388        6.3279002899045433E-019
   76.736107749938967        6.2049002842694579E-019
   77.280335464477531        6.0850002787763948E-019
   77.824563179016110        5.9682002734253540E-019
   78.368790893554689        5.8544002682117535E-019
   78.913018608093253        5.7434002631264329E-019
   79.457246322631832        5.6351002581648082E-019
   80.001474037170411        5.5296002533314635E-019
   80.545701751708989        5.4267002486172326E-019
   81.089929466247554        5.3263002440175373E-019
   81.634157180786133        5.2284002395323748E-019
   82.178384895324712        5.1328002351525847E-019
   82.722612609863276        5.0395002308781660E-019
   83.266840324401855        4.9485002267091188E-019
   83.811068038940434        4.8596002226362809E-019
   84.355295753479012        4.7729002186642323E-019
   84.899523468017577        4.6881002147792307E-019
   85.443751182556156        4.6054002109904373E-019
   85.987978897094735        4.5246002072886890E-019
   86.532206611633299        4.4456002036694066E-019
   87.076434326171878        4.3685002001371703E-019
   87.620662040710457        4.2931001966828172E-019
   88.164889755249035        4.2195001933109281E-019
   88.709117469787586        4.1475001900123412E-019
   89.253345184326164        4.0771001867870565E-019
   89.797572898864743        4.0083001836350740E-019
   90.341800613403322        3.9411001805563927E-019
   90.886028327941887        3.8753001775418505E-019
   91.430256042480465        3.8110001745960298E-019
   91.974483757019044        3.7481001717143471E-019
   92.518711471557609        3.6865001688922233E-019
   93.062939186096187        3.6263001661342385E-019
   93.607166900634766        3.5673001634312295E-019
   94.151394615173345        3.5097001607923604E-019
   94.695622329711910        3.4532001582038861E-019
   95.239850044250488        3.3980001556749696E-019
   95.784077758789067        3.3439001531964483E-019
   96.328305473327632        3.2910001507729028E-019
   96.872533187866210        3.2391001483951714E-019
   97.416760902404789        3.1884001460724172E-019
   97.960988616943368        3.1387001437954757E-019
   98.505216331481932        3.0900001415643481E-019
   99.049444046020511        3.0423001393790347E-019
   99.593671760559090        2.9955001372349532E-019
   100.13789947509765        2.9498001351412669E-019
   100.68212718963623        2.9049001330842319E-019
   101.22635490417481        2.8609001310684284E-019
   101.77058261871339        2.8179001290984390E-019
   102.31481033325194        2.7756001271605193E-019
   102.85903804779052        2.7342001252638321E-019
   103.40326576232910        2.6936001234037957E-019
   103.94749347686768        2.6538001215804102E-019
   104.49172119140624        2.6148001197936755E-019
   105.03594890594482        2.5766001180435922E-019
   105.58017662048340        2.5390001163209971E-019
   106.12440433502196        2.5022001146350528E-019
   106.66863204956054        2.4661001129811777E-019
   107.21285976409912        2.4307001113593729E-019
   107.75708747863770        2.3960001097696373E-019
   108.30131519317626        2.3619001082073899E-019
   108.84554290771484        2.3284001066726306E-019
   109.38977062225341        2.2956001051699411E-019
   109.93399833679199        2.2634001036947402E-019
   110.47822605133055        2.2317001022424453E-019
   111.02245376586914        2.2007001008222202E-019
   111.56668148040771        2.1702000994249026E-019
   112.11090919494629        2.1403000980550727E-019
   112.65513690948485        2.1109000967081498E-019
   113.19936462402345        2.0821000953887153E-019
   113.74359233856201        2.0537000940876059E-019
   114.28782005310059        2.0259000928139848E-019
   114.83204776763915        1.9986000915632708E-019
   115.37627548217775        1.9718000903354635E-019
   115.92050319671630        1.9454000891259815E-019
   116.46473091125489        1.9195000879394068E-019
   117.00895862579345        1.8940000867711574E-019
   117.55318634033203        1.8690000856258146E-019
   118.09741405487060        1.8445000845033787E-019
   118.64164176940919        1.8203000833946871E-019
   119.18586948394776        1.7966000823089023E-019
   119.73009719848633        1.7733000812414429E-019
   120.27432491302490        1.7504000801923092E-019
   120.81855262756349        1.7278000791569193E-019
   121.36278034210206        1.7057000781444365E-019
   121.90700805664063        1.6839000771456979E-019
   122.45123577117920        1.6625000761652846E-019
   122.99546348571776        1.6414000751986155E-019
   123.53969120025634        1.6207000742502717E-019
   124.08391891479491        1.6004000733202532E-019
   124.62814662933350        1.5803000723993980E-019
   125.17237434387206        1.5607000715014491E-019
   125.71660205841064        1.5413000706126634E-019
   126.26082977294921        1.5222000697376217E-019
   126.80505748748780        1.5035000688809055E-019
   127.34928520202637        1.4850000680333517E-019
   127.89351291656494        1.4669000672041236E-019
   128.43774063110351        1.4490000663840585E-019
   128.98196834564209        1.4315000655823186E-019
   129.52619606018067        1.4142000647897414E-019
   130.07042377471925        1.3972000640109087E-019
   130.61465148925780        1.3804000632412382E-019
   131.15887920379640        1.3640000624898935E-019
   131.70310691833495        1.3477000617431301E-019
   132.24733463287353        1.3318000610146921E-019
   132.79156234741211        1.3161000602954171E-019
   133.33579006195069        1.3006000595853048E-019
   133.88001777648927        1.2854000588889363E-019
   134.42424549102785        1.2704000582017307E-019
   134.96847320556640        1.2556000575236879E-019
   135.51270092010500        1.2411000568593892E-019
   136.05692863464355        1.2267000561996718E-019
   136.60115634918211        1.2126000555536988E-019
   137.14538406372071        1.1987000549168882E-019
   137.68961177825926        1.1851000542938219E-019
   138.23383949279784        1.1716000536753367E-019
   138.77806720733642        1.1583000530660145E-019
   139.32229492187500        1.1452000524658550E-019
   139.86652263641358        1.1323000518748580E-019
   140.41075035095216        1.1197000512976055E-019
   140.95497806549071        1.1071000507203528E-019
   141.49920578002931        1.0948000501568442E-019
   142.04343349456786        1.0827000496024984E-019
   142.58766120910644        1.0707000490527339E-019
   143.13188892364502        1.0589000485121322E-019
   143.67611663818360        1.0473000479806932E-019
   144.22034435272215        1.0359000474584170E-019
   144.76457206726076        1.0246000469407221E-019
   145.30879978179931        1.0134000464276086E-019
   145.85302749633789        1.0025000459282393E-019
   146.39725521087647        9.9167004543207687E-020
   146.94148292541504        9.8101004494370268E-020
   147.48571063995362        9.7050004446220066E-020
   148.02993835449220        9.6014004398757066E-020
   148.57416606903075        9.4993004351981271E-020
   149.11839378356936        9.3986004305846873E-020
   149.66262149810791        9.2993004260353872E-020
   150.20684921264646        9.2013004215456438E-020
   150.75107692718507        9.1048004171246219E-020
   151.29530464172362        9.0095004127585749E-020
   151.83953235626220        8.9156004084566676E-020
   152.38376007080078        8.8230004042143194E-020
   152.92798778533935        8.7316004000269473E-020
   153.47221549987793        8.6414003958945512E-020
   154.01644321441651        8.5525003918217117E-020
   154.56067092895506        8.4648003878038496E-020
   155.10489864349367        8.3783003838409634E-020
   155.64912635803222        8.2929003799284739E-020
   156.19335407257080        8.2087003760709593E-020
   156.73758178710938        8.1256003722638400E-020
   157.28180950164796        8.0436003685071162E-020
   157.82603721618651        7.9627003648007890E-020
   158.37026493072511        7.8829003611448547E-020
   158.91449264526366        7.8041003575347353E-020
   159.45872035980224        7.7263003539704282E-020
   160.00294807434082        7.6496003504565166E-020
   160.54717578887940        7.5739003469884197E-020
   161.09140350341798        7.4991003435615545E-020
   161.63563121795656        7.4253003401805030E-020
   162.17985893249511        7.3525003368452650E-020
   162.72408664703372        7.2806003335512599E-020
   163.26831436157227        7.2097003303030684E-020
   163.81254207611082        7.1396003270915280E-020
   164.35676979064942        7.0705003239258012E-020
   164.90099750518797        7.0022003207967255E-020
   165.44522521972655        6.9348003177088815E-020
   165.98945293426513        6.8682003146576886E-020
   166.53368064880371        6.8025003116477287E-020
   167.07790836334229        6.7376003086744186E-020
   167.62213607788087        6.6735003057377609E-020
   168.16636379241942        6.6102003028377518E-020
   168.71059150695802        6.5477002999743951E-020
   169.25481922149658        6.4860002971476906E-020
   169.79904693603515        6.4250002943530542E-020
   170.34327465057373        6.3648002915950689E-020
   170.88750236511231        6.3054002888737347E-020
