He I levels a la Almog & Netzer
n     E           g    label
1     0.00        1    1.59e-13    -0.488      3.07e-9     0.57   1s1S         
2     159850.318  3    1.46e-14    -0.395      8.3e-8      0.35   2s3S         
3     166271.70   1    1.92e-14    -0.890      1.17e-7     0.56   2s1S         
4     169081.189  9    5.68e-14    -0.704      1.39e-7     0.37   2p3P         
5     171129.148  3    4.35e-14    -0.890      1.59e-7     0.32   2p1P         
6     183231.08   3    3.73e-15    -0.35       4.68e-7     0.23   3s3S         
7     185559.085  9    1.95e-14    -0.681      6.3e-7      0.21   3p3P         
8     186095.90   15   1.30e-14    -0.932      6.79e-7     0.20   3d3D         
9     190292.46   3    1.53e-15    -0.331      1.40e-6     0.14   4s3S         
10    191211.42   9    8.86e-15    -0.675      1.72e-6     0.12   4p3P         
11    191438.83   15   8.14e-15    -0.935      1.82e-6     0.12   4d3D         
12    191446.61   21   4.16e-15    -1.114      1.82e-6     0.11   4f3F         
13    195261.56  330   3.49e-14    -0.915      6.68e-6     -0.02  53L - 73L    
14    197070.64 1530   2.16e-14    -0.750      2.49e-5     -0.15  83L - 123L   
15    197972.3 14625   1.52e-14    -1.72       1.34e-4     -0.29  133L - 253L  
16    198281. 998474   7.91e-15    -1.27       2.06e-3     -0.46  263L - 1003L 
Transition probabilities
     n1    n2     lambda       A           omega
     1     2      625.59        1.27e-12    7.25e-2 
     1     3      601.43        5.1e-7      3.83e-2 
     1     4      591.43        1.6e-6      2.44e-2 
     1     5      584.35       17.99        1.63e-2 
     1     6      545.76        0.00        1.80e-2
     1     7      538.91        0.00        8.4e-3
     1     8      537.36        0.00        2.6e-3
     1     9      525.51        0.00        0.00
     1    10      522.98        0.00        0.00
     1    11      522.36        0.00        0.00
     1    12      522.34        0.00        0.00
     1    13        0.          0.          0.
     1    14        0.          0.          0.
     1    15        0.          0.          0.
     1    16        0.          0.          0.
     2     3    15568.72        0.00        2.32    
     2     4    10830.25        0.1022     26.2  
     2     5     8863.73        0.00        0.97
     2     6     4275.82        0.00        2.47
     2     7     3888.62        0.09478     1.83    
     2     8     3809.08        0.00        2.14    
     2     9     3283.97        0.00        0.00
     2    10     3187.74        0.0505      7.2e-2    
     2    11     3164.79        0.00        0.261   
     2    12     3164.01        0.00        0.00
     2    13        0.          4.287e-3    5.6e-2
     2    14        0.          1.97e-4     0.00
     2    15        0.          8.64e-6     0.00
     2    16        0.          3.71e-8     0.00
     3     4    35583.96        0.00        1.76
     3     5    20581.32        0.01976    18.1    
     3     6     5894.81        0.00        0.59
     3     7     5183.29        0.00        0.56
     3     8     5042.93        0.00        0.35
     3     9     4161.89        0.00        0.00
     3    10     4008.54        0.00        0.00
     3    11     3972.31        0.00        0.00
     3    12     3971.09        0.00        0.00
     3    13        0.          0.          0.
     3    14        0.          0.          0.
     3    15        0.          0.          0.
     3    16        0.          0.          0.
     4     5    48815.79        0.00        4.38    
     4     6     7065.24        0.2786      5.93    
     4     7     6067.06        0.00       13.7    
     4     8     5875.64        0.7053     15.4     
     4     9     4713.16        0.0955      1.96
     4    10     4517.44        0.00        0.00
     4    11     4471.49        0.246       3.76    
     4    12     4469.93        0.00        0.00
     4    13        0.          1.069e-2    2.9
     4    14        0.          5.93e-4     0.00
     4    15        0.          2.6e-5      0.00
     4    16        0.          11.1e-8     0.00
     5     6     8260.87        0.00        1.16
     5     7     6928.13        0.00        1.76
     5     8     6679.63        0.00        1.52
     5     9     5216.85        0.00        0.00
     5    10     4978.13        0.00        0.00
     5    11     4922.39        0.00        0.00
     5    12     4920.50        0.00        0.00
     5    13        0.          0.          0.
     5    14        0.          0.          0.
     5    15        0.          0.          0.
     5    16        0.          0.          0.
     6     7    42943.53        0.0108     26.2    
     6     8    34896.69        0.00        2.8
     6     9    14157.67        0.00        0.40
     6    10    12527.37        0.00608     1.5
     6    11    12180.27        0.00        0.2
     6    12    12168.74        0.00        0.2
     6    13        0.          2.6e-4      0.6
     6    14        0.          6.44e-5     0.00
     6    15        0.          2.71e-6     0.00
     6    16        0.          1.14e-8     0.00
     7     8   186233.16        1.28e-4     2.3e3   
     7     9    21120.81        0.0652      3.3e2   
     7    10    17686.97        0.00        2.6
     7    11    17002.90        0.0668      1.5e2    
     7    12    16980.43        0.00        0.00
     7    13        0.          2.5e-3     39.0
     7    14        0.          1.93e-4     0.00
     7    15        0.          8.13e-6     0.00
     7    16        0.          3.44e-8     0.00
     8     9    23822.54        0.00        0.00
     8    10    19543.02        0.00597    38.0    
     8    11    18711.21        0.00        0.00
     8    12    18684.01        0.139       7.5e2
     8    13        0.          5.9e-4      1.4e2
     8    14        0.          3.22e-4     0.1
     8    15        0.          1.35e-5     0.00
     8    16        0.          5.74e-8     0.00
     9    10   108789.01        0.00227     1.8e3
     9    11    87208.10        0.00        0.00
     9    12    86620.24        0.00        0.00
     9    13        0.          2.1e-3     62.
     9    14        0.          3.03e-5    20.
     9    15        0.          1.2e-6      0.00
     9    16        0.          0.49e-8     0.00
    10    11   439614.58        4.15e-5     1.9e4
    10    12   425072.29        0.00        0.00
    10    13        0.          1.0e-3      2.1e2
    10    14        0.          9.11e-5     2.0e1
    10    15        0.          3.6e-6      0.00
    10    16        0.          1.49e-8     0.00
    11    12 12849968.11        8.15e-10    1.9e5
    11    13        0.          3.2e-3      3.1e2
    11    14        0.          1.51e-4     2.0e1
    11    15        0.          5.98e-6     0.00
    11    16        0.          2.48e-8     0.00
    12    13        0.          7.5e-3      4.4e2
    12    14        0.          2.12e-4     2.0e1
    12    15        0.          8.35e-6     0.00
    12    16        0.          3.47e-8     0.00
    13    14        0.          1.5e-3      3.0e5
    13    15        0.          4.32e-5     1.0e-4
    13    16        0.          1.67e-7     2.0e3
    14    15        0.          6.81e-5     4.0e6
    14    16        0.          1.8e-7      1.0e5
    15    16        0.          3.69e-7     4.0e8
