  1     1 2s2.2p          2  1 P  0.5  2          0.000       0.000000          0.000       0.000000
  2     1 2s2.2p          2  1 P  1.5  4       3302.000       0.030090       3301.996       0.030090
  3     2 2s.2p2          4  1 P  0.5  2     129979.000       1.184456     129890.022       1.183645
  4     2 2s.2p2          4  1 P  1.5  4     131120.000       1.194853     131029.975       1.194033
  5     2 2s.2p2          4  1 P  2.5  6     132792.000       1.210090     132710.045       1.209343
  6     2 2s.2p2          2  2 D  1.5  4     232313.000       2.116992     232306.968       2.116937
  7     2 2s.2p2          2  2 D  2.5  6     232275.000       2.116646     232274.054       2.116637
  8     2 2s.2p2          2  0 S  0.5  2     298302.000       2.718328     298282.045       2.718146
  9     2 2s.2p2          2  1 P  0.5  2     318732.000       2.904500     318721.061       2.904400
 10     2 2s.2p2          2  1 P  1.5  4     320747.000       2.922862     320722.981       2.922643
 11     3 2p3             4  0 S  1.5  4     413700.000       3.769120     413610.034       3.769092
 12     3 2p3             2  2 D  1.5  4     465839.000       4.245038     465817.975       4.244846
 13     3 2p3             2  2 D  2.5  6     465750.000       4.244227     465745.032       4.244181
 14     3 2p3             2  1 P  0.5  2     524669.000       4.781136     524652.011       4.780981
 15     3 2p3             2  1 P  1.5  4     524862.000       4.782895     524840.963       4.782703
 16     4 2s2.3s          2  0 S  0.5  2    1210690.000      11.032619    1199033.750      10.926400     G1 
 17     5 2s.2p(3P).3p    2  1 P  0.5  2    1408370.000      12.834012    1398503.250      12.744100     G2 
 18     5 2s.2p(3P).3p    4  2 D  0.5  2          0.000       0.000000    1400785.875      12.764900     G3 
 19     5 2s.2p(3P).3p    4  1 P  0.5  2          0.000       0.000000    1420703.125      12.946400     G4 
 20     5 2s.2p(3P).3p    2  0 S  0.5  2    1460910.000      13.312792    1452318.500      13.234500     G5 
 21     5 2s.2p(1P).3p    2  1 P  0.5  2    1549990.000      14.124549    1549227.500      14.117600     G6 
 22     5 2s.2p(1P).3p    2  0 S  0.5  2    1556590.000      14.184692    1566247.750      14.272700     G7 
 23     6 2p2(3P).3s      4  1 P  0.5  2    1587970.000      14.470648    1581896.250      14.415300     G8 
 24     6 2p2(3P).3s      2  1 P  0.5  2          0.000       0.000000    1615816.125      14.724400     G9 
 25     7 2p2(3P).3d      4  2 D  0.5  2          0.000       0.000000    1694607.500      15.442400     G10
 26     7 2p2(3P).3d      2  1 P  0.5  2          0.000       0.000000    1696791.250      15.462300     G11
 27     7 2p2(3P).3d      4  1 P  0.5  2    1717150.000      15.647823    1708697.750      15.570800     G12
 28     6 2p2(1S).3s      2  0 S  0.5  2          0.000       0.000000    1731106.125      15.775000     G13
