SEQ='NE'     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  28083692.7   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)      813.8 

   IC RESOLVED LEVEL INDEXING           BWNR=  28232121.9   NLVL= 300
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 2.0)   116560.1 
     3     2    2S2 2P5 3S1         (3)1( 1.0)   117059.7 
     4     2    2S2 2P5 3S1         (3)1( 0.0)   117370.8 
     5     2    2S2 2P5 3S1         (1)1( 1.0)   120678.4 
     6     2    2S2 2P5 3P1         (3)0( 1.0)   125797.7 
     7     1    2S2 2P5 4S1         (3)1( 2.0)   126146.4 
     8     1    2S2 2P5 4S1         (3)1( 1.0)   126552.9 
     9     2    2S2 2P5 4S1         (3)1( 0.0)   126957.2 
    10     2    2S2 2P5 4S1         (1)1( 1.0)   127744.7 
    11     1    2S2 2P5 3P1         (3)2( 3.0)   129062.7 
    12     2    2S2 2P5 3P1         (3)2( 2.0)   129337.0 
    13     2    2S2 2P5 3P1         (3)2( 1.0)   129644.5 
    14     2    2S2 2P5 3P1         (1)2( 2.0)   130668.1 
    15     2    2S2 2P5 3P1         (1)1( 1.0)   131134.6 
    16     2    2S2 2P5 3P1         (3)1( 2.0)   131212.8 
    17     2    2S2 2P5 3P1         (3)1( 0.0)   131436.6 
    18     2    2S2 2P5 3P1         (3)1( 1.0)   131507.3 
    19     1    2S2 2P5 4P1         (3)2( 3.0)   136665.6 
    20     1    2S2 2P5 4P1         (3)2( 2.0)   136769.7 
    21     1    2S2 2P5 4P1         (1)1( 1.0)   136865.8 
    22     1    2S2 2P5 4P1         (3)1( 2.0)   136908.8 
    23     1    2S2 2P5 4P1         (1)0( 0.0)   136971.5 
    24     1    2S2 2P5 4P1         (3)0( 1.0)   137055.0 
    25     2    2S2 2P5 4P1         (3)2( 1.0)   137513.5 
    26     2    2S2 2P5 4P1         (1)2( 2.0)   137593.0 
    27     2    2S2 2P5 4P1         (3)1( 0.0)   137750.9 
    28     2    2S2 2P5 4P1         (3)1( 1.0)   137781.2 
    29     1    2S2 2P5 5S1         (3)1( 2.0)   137840.0 
    30     1    2S2 2P5 5S1         (3)1( 1.0)   138052.8 
    31     1    2S2 2P5 3D1         (3)1( 0.0)   138054.5 
    32     2    2S2 2P5 3D1         (3)1( 1.0)   138117.1 
    33     2    2S2 2P5 3D1         (3)1( 2.0)   138270.1 
    34     1    2S2 2P5 3D1         (3)3( 4.0)   138318.5 
    35     2    2S2 2P5 3D1         (1)3( 3.0)   138346.5 
    36     2    2S2 2P5 3D1         (1)2( 2.0)   138593.1 
    37     2    2S2 2P5 3D1         (3)2( 3.0)   138608.4 
    38     2    2S2 2P5 5S1         (3)1( 0.0)   138650.8 
    39     2    2S2 2P5 3D1         (1)1( 1.0)   138684.3 
    40     2    2S2 2P5 5S1         (1)1( 1.0)   138824.6 
    41     2    2S2 2P5 3D1         (3)3( 2.0)   139270.9 
    42     2    2S2 2P5 3D1         (3)3( 3.0)   139286.9 
    43     2    2S2 2P5 3D1         (3)2( 2.0)   139331.7 
    44     2    2S2 2P5 3D1         (3)2( 1.0)   139455.5 
    45     1    2S2 2P5 4D1         (3)1( 0.0)   141531.5 
    46     1    2S2 2P5 4D1         (3)1( 1.0)   141539.7 
    47     1    2S2 2P5 4F1         (3)2( 2.0)   141555.0 
    48     1    2S2 2P5 4F1         (3)2( 1.0)   141558.6 
    49     1    2S2 2P5 4D1         (3)3( 4.0)   141559.4 
    50     1    2S2 2P5 4F1         (1)4( 4.0)   141565.0 
    51     1    2S2 2P5 4F1         (3)4( 5.0)   141565.0 
    52     1    2S2 2P5 4D1         (1)3( 3.0)   141567.6 
    53     1    2S2 2P5 4D1         (3)1( 2.0)   141571.6 
    54     1    2S2 2P5 4F1         (3)3( 2.0)   141573.6 
    55     1    2S2 2P5 4F1         (3)3( 3.0)   141573.8 
    56     1    2S2 2P5 4F1         (1)3( 3.0)   141581.5 
    57     1    2S2 2P5 4F1         (3)3( 4.0)   141581.6 
    58     1    2S2 2P5 4D1         (1)1( 1.0)   141586.2 
    59     1    2S2 2P5 4D1         (1)2( 2.0)   141601.9 
    60     1    2S2 2P5 4D1         (3)2( 3.0)   141604.7 
    61     1    2S2 2P5 5P1         (1)0( 0.0)   141999.8 
