SEQ='O '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  27265597.8   NPRNTI= 5   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 1.5)    44469.7 
     3          2S2 2P3             (2)2( 2.5)    44502.6 
     4          2S2 2P3             (2)1( 0.5)    62269.9 
     5          2S2 2P3             (2)1( 1.5)    62282.9 
     6          2S1 2P4             (4)1( 2.5)   184214.0*
     7          2S1 2P4             (4)1( 1.5)   184793.4*
     8          2S1 2P4             (4)1( 0.5)   185135.5*
     9          2S1 2P4             (2)2( 1.5)   265416.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  27752397.9   NLVL=1068
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2S2 2P4             (3)1( 2.0)        0.0 
     2     1    2S2 2P4             (3)1( 1.0)      700.5 
     3     1    2S2 2P4             (3)1( 0.0)     1030.7 
     4     1    2S2 2P4             (1)2( 2.0)    30460.7 
     5     1    2S2 2P4             (1)0( 0.0)    58563.0 
     6     6    2S1 2P5             (3)1( 2.0)   224051.6 
     7     6    2S1 2P5             (3)1( 1.0)   224737.8 
     8     5    2S1 2P5             (3)1( 0.0)   225084.4 
     9     1    2S2 2P3 3S1         (5)0( 2.0)   289763.1 
    10     1    2S2 2P3 3S1         (3)0( 1.0)   297910.8 
    11     9    2S1 2P5             (1)1( 1.0)   322202.9 
    12     1    2S2 2P3 3P1         (5)1( 1.0)   327213.4 
    13     1    2S2 2P3 3P1         (5)1( 2.0)   327235.8 
    14     1    2S2 2P3 3P1         (5)1( 3.0)   327269.7 
    15     1    2S2 2P3 3P1         (3)1( 0.0)   336126.9 
    16     1    2S2 2P3 3P1         (3)1( 1.0)   336134.8 
    17     1    2S2 2P3 3P1         (3)1( 2.0)   336166.7 
    18     2    2S2 2P3 3S1         (3)2( 1.0)   336282.0 
    19     2    2S2 2P3 3S1         (3)2( 2.0)   336283.8 
    20     3    2S2 2P3 3S1         (3)2( 3.0)   336302.4 
    21     3    2S2 2P3 3S1         (1)2( 2.0)   340361.2 
    22     4    2S2 2P3 3S1         (3)1( 0.0)   355080.2 
    23     4    2S2 2P3 3S1         (3)1( 1.0)   355082.1 
    24     5    2S2 2P3 3S1         (3)1( 2.0)   355088.2 
    25     5    2S2 2P3 3S1         (1)1( 1.0)   362882.2 
    26     2    2S2 2P3 3P1         (1)1( 1.0)   371229.8 
    27     2    2S2 2P3 3P1         (3)2( 2.0)   371716.5 
    28     2    2S2 2P3 3P1         (3)2( 1.0)   371727.7 
    29     2    2S2 2P3 3P1         (3)2( 3.0)   371808.0 
    30     1    2S2 2P3 3D1         (5)2( 0.0)   371971.0 
    31     1    2S2 2P3 3D1         (5)2( 1.0)   371971.9 
    32     1    2S2 2P3 3D1         (5)2( 2.0)   371973.8 
    33     1    2S2 2P3 3D1         (5)2( 3.0)   371976.7 
    34     1    2S2 2P3 3D1         (5)2( 4.0)   371980.6 
    35     2    2S2 2P3 3P1         (3)3( 2.0)   372849.6 
    36     3    2S2 2P3 3P1         (3)3( 3.0)   372883.7 
    37     3    2S2 2P3 3P1         (3)3( 4.0)   372924.6 
    38     3    2S2 2P3 3P1         (1)3( 3.0)   374041.2 
    39     1    2S2 2P3 3D1         (3)2( 1.0)   375576.4 
    40     1    2S2 2P3 3D1         (3)2( 2.0)   375584.3 
    41     1    2S2 2P3 3D1         (3)2( 3.0)   375599.1 
    42     2    2S2 2P3 3P1         (3)1( 0.0)   382794.2 
    43     3    2S2 2P3 3P1         (3)1( 1.0)   382845.5 
    44     3    2S2 2P3 3P1         (3)1( 2.0)   382998.8 
    45     3    2S2 2P3 3P1         (1)2( 2.0)   388073.6 
    46     4    2S2 2P3 3P1         (3)0( 1.0)   389470.4 
    47     5    2S2 2P3 3P1         (3)2( 3.0)   390678.7 
    48     4    2S2 2P3 3P1         (3)2( 1.0)   390722.2 
    49     4    2S2 2P3 3P1         (3)2( 2.0)   390723.0 
    50     5    2S2 2P3 3P1         (1)1( 1.0)   392373.4 
    51     1    2S2 2P3 4S1         (5)0( 2.0)   393418.1 
    52     5    2S2 2P3 3P1         (3)1( 2.0)   396064.3 
    53     1    2S2 2P3 4S1         (3)0( 1.0)   396069.8 
    54     5    2S2 2P3 3P1         (3)1( 1.0)   396247.0 
    55     4    2S2 2P3 3P1         (3)1( 0.0)   396337.2 
    56     5    2S2 2P3 3P1         (1)2( 2.0)   401839.1 
    57     1    2S2 2P3 4P1         (5)1( 1.0)   406398.6 
