SEQ='B '     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  24217863.3   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2             (1)0( 0.0)        0.0 
     2          1S2 2S1 2P1         (3)1( 0.0)   110748.3 
     3          1S2 2S1 2P1         (3)1( 1.0)   111350.9 
     4          1S2 2S1 2P1         (3)1( 2.0)   112575.5 
     5          1S2 2S1 2P1         (1)1( 1.0)   225244.3*
     6          1S2 2P2             (3)1( 0.0)   288192.4*
     7          1S2 2P2             (3)1( 1.0)   288825.0*
     8          1S2 2P2             (3)1( 2.0)   290021.8*
     9          1S2 2P2             (1)2( 2.0)   324901.0*
    10          1S2 2P2             (1)0( 0.0)   403247.4*

   IC RESOLVED LEVEL INDEXING           BWNR=  25479571.4   NLVL= 584
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    1S2 2S2 2P1         (2)1( 0.5)        0.0 
     2     1    1S2 2S2 2P1         (2)1( 1.5)     2036.4 
     3     1    1S2 2S1 2P2         (4)1( 0.5)    98478.5 
     4     1    1S2 2S1 2P2         (4)1( 1.5)    99197.3 
     5     3    1S2 2S1 2P2         (4)1( 2.5)   100362.1 
     6     2    1S2 2S1 2P2         (2)2( 1.5)   191606.3 
     7     3    1S2 2S1 2P2         (2)2( 2.5)   191626.1 
     8     4    1S2 2S1 2P2         (2)0( 0.5)   244980.4 
     9     4    1S2 2S1 2P2         (2)1( 0.5)   267118.1 
    10     4    1S2 2S1 2P2         (2)1( 1.5)   268477.2 
    11     5    1S2 2P3             (4)0( 1.5)   329704.8 
    12     6    1S2 2P3             (2)2( 1.5)   383609.5 
    13     5    1S2 2P3             (2)2( 2.5)   383656.2 
    14     9    1S2 2P3             (2)1( 0.5)   434390.2 
    15     9    1S2 2P3             (2)1( 1.5)   434528.6 
    16     1    1S2 2S2 3S1         (2)0( 0.5)   716903.9 
    17     1    1S2 2S2 3P1         (2)1( 0.5)   765758.6 
    18     1    1S2 2S2 3P1         (2)1( 1.5)   766204.3 
    19     1    1S2 2S2 3D1         (2)2( 1.5)   808243.5 
    20     1    1S2 2S2 3D1         (2)2( 2.5)   808339.0 
    21     2    1S2 2S1 2P1 3S1     (4)1( 0.5)   824041.4 
    22     3    1S2 2S1 2P1 3S1     (4)1( 1.5)   824641.6 
    23     4    1S2 2S1 2P1 3S1     (4)1( 2.5)   825671.4 
    24     3    1S2 2S1 2P1 3S1     (2)1( 0.5)   848621.1 
    25     4    1S2 2S1 2P1 3S1     (2)1( 1.5)   849721.2 
    26     2    1S2 2S1 2P1 3P1     (4)2( 0.5)   866977.7 
    27     2    1S2 2S1 2P1 3P1     (4)2( 1.5)   867373.1 
    28     3    1S2 2S1 2P1 3P1     (4)2( 2.5)   868023.2 
    29     4    1S2 2S1 2P1 3P1     (4)2( 3.5)   868916.1 
    30     3    1S2 2S1 2P1 3P1     (2)1( 0.5)   873142.9 
    31     3    1S2 2S1 2P1 3P1     (2)1( 1.5)   873419.2 
    32     3    1S2 2S1 2P1 3P1     (4)0( 1.5)   875495.0 
    33     3    1S2 2S1 2P1 3P1     (4)1( 0.5)   884769.6 
    34     4    1S2 2S1 2P1 3P1     (4)1( 1.5)   885188.1 
    35     4    1S2 2S1 2P1 3P1     (4)1( 2.5)   885784.8 
    36     4    1S2 2S1 2P1 3P1     (2)2( 1.5)   894960.1 
    37     4    1S2 2S1 2P1 3P1     (2)2( 2.5)   896026.3 
    38     2    1S2 2S1 2P1 3D1     (4)3( 1.5)   906934.2 
    39     2    1S2 2S1 2P1 3D1     (4)3( 2.5)   907286.7 
    40     3    1S2 2S1 2P1 3D1     (4)3( 3.5)   907792.9 
    41     4    1S2 2S1 2P1 3D1     (4)3( 4.5)   908469.1 
    42     4    1S2 2S1 2P1 3P1     (2)0( 0.5)   910874.9 
    43     3    1S2 2S1 2P1 3D1     (4)2( 0.5)   916980.8 
    44     3    1S2 2S1 2P1 3D1     (4)2( 1.5)   917058.5 
    45     3    1S2 2S1 2P1 3D1     (4)2( 2.5)   917223.6 
    46     4    1S2 2S1 2P1 3D1     (4)2( 3.5)   917618.3 
    47     3    1S2 2S1 2P1 3D1     (4)1( 2.5)   920283.3 
    48     3    1S2 2S1 2P1 3D1     (2)2( 1.5)   920427.7 
    49     4    1S2 2S1 2P1 3D1     (2)2( 2.5)   921055.8 
    50     4    1S2 2S1 2P1 3D1     (4)1( 1.5)   921084.3 
    51     4    1S2 2S1 2P1 3D1     (4)1( 0.5)   921275.9 
