SEQ='BE'     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  22551270.0   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S1             (2)0( 0.5)        0.0 
     2          1S2 2P1             (2)1( 0.5)   127738.1 
     3          1S2 2P1             (2)1( 1.5)   129773.8 

   IC RESOLVED LEVEL INDEXING           BWNR=  24220021.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    1S2 2S2             (1)0( 0.0)        0.0 
     2     1    1S2 2S1 2P1         (3)1( 0.0)   114019.3 
     3     1    1S2 2S1 2P1         (3)1( 1.0)   114775.1 
     4     1    1S2 2S1 2P1         (3)1( 2.0)   116316.9 
     5     1    1S2 2S1 2P1         (1)1( 1.0)   231260.5 
     6     2    1S2 2P2             (3)1( 0.0)   297877.0 
     7     2    1S2 2P2             (3)1( 1.0)   298678.2 
     8     2    1S2 2P2             (3)1( 2.0)   300178.4 
     9     3    1S2 2P2             (1)2( 2.0)   337406.7 
    10     3    1S2 2P2             (1)0( 0.0)   419402.5 
    11     1    1S2 2S1 3S1         (3)0( 1.0)   980424.4 
    12     1    1S2 2S1 3S1         (1)0( 0.0)  1006610.8 
    13     1    1S2 2S1 3P1         (3)1( 0.0)  1028993.3 
    14     1    1S2 2S1 3P1         (3)1( 1.0)  1029171.4 
    15     1    1S2 2S1 3P1         (3)1( 2.0)  1029550.3 
    16     1    1S2 2S1 3P1         (1)1( 1.0)  1038217.8 
    17     1    1S2 2S1 3D1         (3)2( 1.0)  1054971.5 
    18     1    1S2 2S1 3D1         (3)2( 2.0)  1055027.6 
    19     1    1S2 2S1 3D1         (3)2( 3.0)  1055112.4 
    20     1    1S2 2S1 3D1         (1)2( 2.0)  1075941.0 
    21     2    1S2 2P1 3S1         (3)1( 0.0)  1118186.0 
    22     2    1S2 2P1 3S1         (3)1( 1.0)  1118791.2 
    23     3    1S2 2P1 3S1         (3)1( 2.0)  1120221.7 
    24     3    1S2 2P1 3S1         (1)1( 1.0)  1131404.7 
    25     2    1S2 2P1 3P1         (1)1( 1.0)  1146210.7 
    26     2    1S2 2P1 3P1         (3)2( 1.0)  1150798.9 
    27     2    1S2 2P1 3P1         (3)2( 2.0)  1151511.5 
    28     3    1S2 2P1 3P1         (3)2( 3.0)  1152826.3 
    29     3    1S2 2P1 3P1         (3)0( 1.0)  1160363.2 
    30     2    1S2 2P1 3P1         (3)1( 0.0)  1171690.8 
    31     3    1S2 2P1 3P1         (3)1( 1.0)  1172197.4 
    32     3    1S2 2P1 3P1         (3)1( 2.0)  1173010.4 
    33     2    1S2 2P1 3D1         (1)2( 2.0)  1176579.0 
    34     2    1S2 2P1 3D1         (3)3( 2.0)  1177925.4 
    35     2    1S2 2P1 3D1         (3)3( 3.0)  1177977.8 
    36     3    1S2 2P1 3D1         (3)3( 4.0)  1178997.7 
    37     3    1S2 2P1 3P1         (1)2( 2.0)  1187756.5 
    38     2    1S2 2P1 3D1         (3)2( 1.0)  1191510.1 
    39     3    1S2 2P1 3D1         (3)2( 2.0)  1191755.1 
    40     3    1S2 2P1 3D1         (3)2( 3.0)  1192309.6 
    41     3    1S2 2P1 3D1         (3)1( 2.0)  1195541.0 
    42     3    1S2 2P1 3D1         (3)1( 1.0)  1196020.7 
    43     3    1S2 2P1 3D1         (3)1( 0.0)  1196253.0 
    44     3    1S2 2P1 3P1         (1)0( 0.0)  1211231.5 
    45     3    1S2 2P1 3D1         (1)3( 3.0)  1218288.9 
    46     3    1S2 2P1 3D1         (1)1( 1.0)  1220194.6 
    47     1    1S2 2S1 4S1         (3)0( 1.0)  1296904.1 
    48     1    1S2 2S1 4S1         (1)0( 0.0)  1304935.8 
    49     1    1S2 2S1 4P1         (3)1( 0.0)  1315774.9 
    50     1    1S2 2S1 4P1         (3)1( 1.0)  1315848.0 
    51     1    1S2 2S1 4P1         (3)1( 2.0)  1316006.0 
    52     1    1S2 2S1 4P1         (1)1( 1.0)  1318860.5 
    53     1    1S2 2S1 4D1         (3)2( 1.0)  1325981.3 
    54     1    1S2 2S1 4D1         (3)2( 2.0)  1326005.1 
    55     1    1S2 2S1 4D1         (3)2( 3.0)  1326041.2 
    56     1    1S2 2S1 4F1         (3)3( 2.0)  1331985.9 
    57     1    1S2 2S1 4F1         (3)3( 3.0)  1331997.1 
    58     1    1S2 2S1 4F1         (3)3( 4.0)  1332012.3 
    59     1    1S2 2S1 4F1         (1)3( 3.0)  1332850.2 
    60     1    1S2 2S1 4D1         (1)2( 2.0)  1333153.7 
