SEQ='HE'     NUCCHG=10                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  10988357.9   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  20625968.1   NLVL= 103
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    1S2                 (1)0( 0.0)        0.0 
     2     1    1S1 2S1             (3)0( 1.0)  7289931.7 
     3     1    1S1 2P1             (3)1( 0.0)  7371867.4 
     4     1    1S1 2P1             (3)1( 1.0)  7372763.8 
     5     1    1S1 2P1             (3)1( 2.0)  7374643.7 
     6     1    1S1 2S1             (1)0( 0.0)  7382781.0 
     7     1    1S1 2P1             (1)1( 1.0)  7431723.3 
     8     1    1S1 3S1             (3)0( 1.0)  8614941.0 
     9     1    1S1 3P1             (3)1( 0.0)  8637204.8 
    10     1    1S1 3P1             (3)1( 1.0)  8637469.7 
    11     1    1S1 3P1             (3)1( 2.0)  8638027.2 
    12     1    1S1 3S1             (1)0( 0.0)  8639201.1 
    13     1    1S1 3D1             (3)2( 1.0)  8649157.4 
    14     1    1S1 3D1             (3)2( 2.0)  8649240.1 
    15     1    1S1 3D1             (3)2( 3.0)  8649420.9 
    16     1    1S1 3D1             (1)2( 2.0)  8649996.1 
    17     1    1S1 3P1             (1)1( 1.0)  8653766.9 
    18     1    1S1 4S1             (3)0( 1.0)  9067580.2 
    19     1    1S1 4P1             (3)1( 0.0)  9076693.0 
    20     1    1S1 4P1             (3)1( 1.0)  9076804.6 
    21     1    1S1 4P1             (3)1( 2.0)  9077039.7 
    22     1    1S1 4S1             (1)0( 0.0)  9077376.1 
    23     1    1S1 4D1             (3)2( 1.0)  9081629.0 
    24     1    1S1 4D1             (3)2( 2.0)  9081665.8 
    25     1    1S1 4D1             (3)2( 3.0)  9081740.2 
    26     1    1S1 4F1             (3)3( 2.0)  9081971.3 
    27     1    1S1 4F1             (3)3( 3.0)  9081973.0 
    28     1    1S1 4F1             (3)3( 4.0)  9082026.7 
    29     1    1S1 4F1             (1)3( 3.0)  9082029.3 
    30     1    1S1 4D1             (1)2( 2.0)  9082059.1 
    31     1    1S1 4P1             (1)1( 1.0)  9083508.3 
    32     1    1S1 5S1             (3)0( 1.0)  9274714.2 
    33     1    1S1 5P1             (3)1( 0.0)  9279311.8 
    34     1    1S1 5P1             (3)1( 1.0)  9279368.9 
    35     1    1S1 5P1             (3)1( 2.0)  9279489.2 
    36     1    1S1 5S1             (1)0( 0.0)  9279625.3 
    37     1    1S1 5D1             (3)2( 1.0)  9281814.2 
    38     1    1S1 5D1             (3)2( 2.0)  9281833.4 
    39     1    1S1 5D1             (3)2( 3.0)  9281871.2 
    40     1    1S1 5F1             (3)3( 2.0)  9282000.9 
    41     1    1S1 5F1             (3)3( 3.0)  9282002.3 
    42     1    1S1 5F1             (3)3( 4.0)  9282029.3 
    43     1    1S1 5G1             (3)4( 3.0)  9282029.4 
    44     1    1S1 5G1             (3)4( 4.0)  9282029.4 
    45     1    1S1 5F1             (1)3( 3.0)  9282031.4 
    46     1    1S1 5G1             (3)4( 5.0)  9282046.4 
    47     1    1S1 5G1             (1)4( 4.0)  9282046.5 
    48     1    1S1 5D1             (1)2( 2.0)  9282051.4 
    49     1    1S1 5P1             (1)1( 1.0)  9282761.0 
    50     1    1S1 6S1             (3)0( 1.0)  9386471.5 
    51     1    1S1 6P1             (3)1( 0.0)  9389109.7 
    52     1    1S1 6P1             (3)1( 1.0)  9389142.7 
    53     1    1S1 6P1             (3)1( 2.0)  9389212.3 
    54     1    1S1 6S1             (1)0( 0.0)  9389279.9 
    55     1    1S1 6D1             (3)2( 1.0)  9390550.0 
    56     1    1S1 6D1             (3)2( 2.0)  9390561.2 
    57     1    1S1 6D1             (3)2( 3.0)  9390583.0 
    58     1    1S1 6F1             (3)3( 2.0)  9390661.5 
    59     1    1S1 6F1             (3)3( 3.0)  9390662.5 
    60     1    1S1 6F1             (3)3( 4.0)  9390678.0 
    61     1    1S1 6G1             (3)4( 3.0)  9390678.3 
    62     1    1S1 6G1             (3)4( 4.0)  9390678.3 
    63     1    1S1 6F1             (1)3( 3.0)  9390679.5 
    64     1    1S1 6G1             (3)4( 5.0)  9390688.2 
    65     1    1S1 6G1             (1)4( 4.0)  9390688.2 
    66     1    1S1 6D1             (1)2( 2.0)  9390692.5 
    67     1    1S1 6P1             (1)1( 1.0)  9391093.0 
    68     1    1S1 7S1             (3)0( 1.0)  9453552.6 
