SEQ='C '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15626082.5   NPRNTI= 5   NPRNTF= 8
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)      345.6 
     3          2S1 2P2             (4)1( 0.5)    66324.9 
     4          2S1 2P2             (4)1( 1.5)    66445.7 
     5          2S1 2P2             (4)1( 2.5)    66645.8 
     6          2S1 2P2             (2)2( 1.5)   130918.0*
     7          2S1 2P2             (2)2( 2.5)   130919.1*
     8          2S1 2P2             (2)1( 0.5)   168711.6*

   IC RESOLVED LEVEL INDEXING           BWNR=  15798840.8   NLVL= 941
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2S2 2P1 3S1         (3)1( 0.0)        0.0 
     2     1    2S2 2P1 3S1         (3)1( 1.0)      110.9 
     3     2    2S2 2P1 3S1         (3)1( 2.0)      344.5 
     4     2    2S2 2P1 3S1         (1)1( 1.0)     6749.7 
     5     1    2S2 2P1 3P1         (1)1( 1.0)    24027.8 
     6     1    2S2 2P1 3P1         (3)2( 1.0)    27090.0 
     7     1    2S2 2P1 3P1         (3)2( 2.0)    27217.5 
     8     2    2S2 2P1 3P1         (3)2( 3.0)    27419.7 
     9     1    2S2 2P1 3P1         (3)0( 1.0)    31062.4 
    10     1    2S2 2P1 3P1         (3)1( 0.0)    34139.6 
    11     1    2S2 2P1 3P1         (3)1( 1.0)    34214.8 
    12     1    2S2 2P1 3P1         (3)1( 2.0)    34347.5 
    13     2    2S2 2P1 3P1         (1)2( 2.0)    43993.5 
    14     2    2S2 2P1 3P1         (1)0( 0.0)    54912.1 
    15     1    2S2 2P1 3D1         (1)2( 2.0)    57992.0 
    16     2    2S2 2P1 3D1         (3)3( 2.0)    59199.8 
    17     2    2S2 2P1 3D1         (3)3( 3.0)    59307.3 
    18     2    2S2 2P1 3D1         (3)3( 4.0)    59471.5 
    19     2    2S2 2P1 3D1         (3)2( 1.0)    63133.3 
    20     2    2S2 2P1 3D1         (3)2( 2.0)    63177.4 
    21     2    2S2 2P1 3D1         (3)2( 3.0)    63249.0 
    22     2    2S2 2P1 3D1         (3)1( 2.0)    65447.5 
    23     3    2S1 2P2 3S1         (5)1( 1.0)    65542.2 
    24     2    2S2 2P1 3D1         (3)1( 1.0)    65547.5 
    25     2    2S2 2P1 3D1         (3)1( 0.0)    65597.4 
    26     2    2S1 2P2 3S1         (5)1( 2.0)    65661.5 
    27     5    2S1 2P2 3S1         (5)1( 3.0)    65839.8 
    28     2    2S2 2P1 3D1         (1)1( 1.0)    73160.9 
    29     2    2S2 2P1 3D1         (1)3( 3.0)    73407.1 
    30     3    2S1 2P2 3S1         (3)1( 0.0)    84424.8 
    31     4    2S1 2P2 3S1         (3)1( 1.0)    84521.5 
    32     5    2S1 2P2 3S1         (3)1( 2.0)    84713.9 
    33     1    2S2 2P1 4S1         (3)1( 0.0)    87641.0 
    34     1    2S2 2P1 4S1         (3)1( 1.0)    87743.4 
    35     2    2S2 2P1 4S1         (3)1( 2.0)    87984.2 
    36     3    2S1 2P2 3P1         (3)0( 1.0)    89842.6 
    37     2    2S2 2P1 4S1         (1)1( 1.0)    89930.2 
    38     3    2S1 2P2 3P1         (5)2( 0.0)    92637.1 
    39     3    2S1 2P2 3P1         (5)2( 1.0)    92671.5 
    40     3    2S1 2P2 3P1         (5)2( 2.0)    92740.5 
    41     2    2S1 2P2 3P1         (5)2( 3.0)    92844.7 
    42     5    2S1 2P2 3P1         (5)2( 4.0)    92985.1 
    43     1    2S2 2P1 4P1         (1)1( 1.0)    95785.0 
    44     3    2S1 2P2 3P1         (5)1( 1.0)    95825.5 
    45     3    2S1 2P2 3P1         (5)1( 2.0)    95893.7 
    46     2    2S1 2P2 3P1         (5)1( 3.0)    95999.0 
    47     1    2S2 2P1 4P1         (3)2( 1.0)    96447.9 
    48     1    2S2 2P1 4P1         (3)2( 2.0)    96544.6 
    49     2    2S2 2P1 4P1         (3)2( 3.0)    96725.3 
    50     2    2S2 2P1 4P1         (3)0( 1.0)    97992.3 
    51     2    2S2 2P1 4P1         (1)2( 2.0)   102872.8 
    52     1    2S2 2P1 4P1         (3)1( 0.0)   103557.6 
    53     2    2S2 2P1 4P1         (3)1( 1.0)   103632.0 
    54     2    2S2 2P1 4P1         (3)1( 2.0)   103768.5 
    55     5    2S1 2P2 3P1         (3)2( 1.0)   105484.8 
    56     5    2S1 2P2 3P1         (3)2( 2.0)   105582.3 
    57     5    2S1 2P2 3P1         (3)2( 3.0)   105730.1 
    58     5    2S1 2P2 3P1         (5)0( 2.0)   106918.2 
    59     1    2S2 2P1 4D1         (1)2( 2.0)   107571.7 
    60     1    2S2 2P1 4D1         (3)3( 2.0)   107827.4 
