SEQ='B '     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  15009114.0   NPRNTI= 4   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2             (1)0( 0.0)        0.0 
     2          1S2 2S1 2P1         (3)1( 0.0)    81823.7 
     3          1S2 2S1 2P1         (3)1( 1.0)    82025.0 
     4          1S2 2S1 2P1         (3)1( 2.0)    82430.5 
     5          1S2 2S1 2P1         (1)1( 1.0)   168870.6*
     6          1S2 2P2             (3)1( 0.0)   212850.0*
     7          1S2 2P2             (3)1( 1.0)   213055.7*
     8          1S2 2P2             (3)1( 2.0)   213457.1*
     9          1S2 2P2             (1)2( 2.0)   239378.1*

   IC RESOLVED LEVEL INDEXING           BWNR=  15616952.7   NLVL= 528
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    1S2 2S2 2P1         (2)1( 0.5)        0.0 
     2     1    1S2 2S2 2P1         (2)1( 1.5)      724.1 
     3     1    1S2 2S1 2P2         (4)1( 0.5)    70372.8 
     4     1    1S2 2S1 2P2         (4)1( 1.5)    70626.3 
     5     3    1S2 2S1 2P2         (4)1( 2.5)    71043.1 
     6     2    1S2 2S1 2P2         (2)2( 1.5)   140566.8 
     7     3    1S2 2S1 2P2         (2)2( 2.5)   140570.0 
     8     4    1S2 2S1 2P2         (2)0( 0.5)   180350.2 
     9     5    1S2 2S1 2P2         (2)1( 0.5)   199609.1 
    10     5    1S2 2S1 2P2         (2)1( 1.5)   200104.1 
    11     5    1S2 2P3             (4)0( 1.5)   241248.6 
    12     6    1S2 2P3             (2)2( 1.5)   281489.8 
    13     5    1S2 2P3             (2)2( 2.5)   281497.6 
    14     9    1S2 2P3             (2)1( 0.5)   320151.6 
    15     9    1S2 2P3             (2)1( 1.5)   320190.8 
    16     1    1S2 2S2 3S1         (2)0( 0.5)   346209.8 
    17     1    1S2 2S2 3P1         (2)1( 0.5)   378388.1 
    18     1    1S2 2S2 3P1         (2)1( 1.5)   378520.6 
    19     1    1S2 2S2 3D1         (2)2( 1.5)   406170.0 
    20     1    1S2 2S2 3D1         (2)2( 2.5)   406192.8 
    21     2    1S2 2S1 2P1 3S1     (4)1( 0.5)   424523.0 
    22     3    1S2 2S1 2P1 3S1     (4)1( 1.5)   424723.9 
    23     4    1S2 2S1 2P1 3S1     (4)1( 2.5)   425063.3 
    24     3    1S2 2S1 2P1 3S1     (2)1( 0.5)   442453.4 
    25     4    1S2 2S1 2P1 3S1     (2)1( 1.5)   442814.5 
    26     2    1S2 2S1 2P1 3P1     (4)2( 0.5)   453213.6 
    27     2    1S2 2S1 2P1 3P1     (4)2( 1.5)   453338.7 
    28     3    1S2 2S1 2P1 3P1     (4)2( 2.5)   453546.2 
    29     4    1S2 2S1 2P1 3P1     (4)2( 3.5)   453834.7 
    30     3    1S2 2S1 2P1 3P1     (2)1( 0.5)   457610.0 
    31     3    1S2 2S1 2P1 3P1     (2)1( 1.5)   457718.5 
    32     3    1S2 2S1 2P1 3P1     (4)0( 1.5)   458479.4 
    33     3    1S2 2S1 2P1 3P1     (4)1( 0.5)   465123.3 
    34     4    1S2 2S1 2P1 3P1     (4)1( 1.5)   465253.0 
    35     4    1S2 2S1 2P1 3P1     (4)1( 2.5)   465452.4 
    36     1    1S2 2S2 4S1         (2)0( 0.5)   472240.9 
    37     4    1S2 2S1 2P1 3P1     (2)2( 1.5)   472521.6 
    38     4    1S2 2S1 2P1 3P1     (2)2( 2.5)   472872.5 
    39     2    1S2 2S1 2P1 3D1     (4)3( 1.5)   480846.7 
    40     2    1S2 2S1 2P1 3D1     (4)3( 2.5)   480962.4 
    41     3    1S2 2S1 2P1 3D1     (4)3( 3.5)   481127.3 
    42     4    1S2 2S1 2P1 3D1     (4)3( 4.5)   481345.3 
    43     4    1S2 2S1 2P1 3P1     (2)0( 0.5)   483658.3 
    44     1    1S2 2S2 4P1         (2)1( 0.5)   484652.0 
    45     1    1S2 2S2 4P1         (2)1( 1.5)   484705.1 
    46     3    1S2 2S1 2P1 3D1     (4)2( 0.5)   485733.8 
    47     3    1S2 2S1 2P1 3D1     (4)2( 1.5)   485766.6 
    48     3    1S2 2S1 2P1 3D1     (4)2( 2.5)   485827.6 
    49     4    1S2 2S1 2P1 3D1     (4)2( 3.5)   485931.3 
    50     3    1S2 2S1 2P1 3D1     (4)1( 2.5)   488442.9 
    51     3    1S2 2S1 2P1 3D1     (4)1( 1.5)   488610.7 
    52     4    1S2 2S1 2P1 3D1     (2)2( 1.5)   488720.0 
