SEQ='HE'     NUCCHG= 8                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=   7029179.8   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  12983851.5   NLVL= 103
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    1S2                 (1)0( 0.0)        0.0 
     2     1    1S1 2S1             (3)0( 1.0)  4514188.2 
     3     1    1S1 2P1             (3)1( 0.0)  4579328.8 
     4     1    1S1 2P1             (3)1( 1.0)  4579674.8 
     5     1    1S1 2P1             (3)1( 2.0)  4580383.8 
     6     1    1S1 2S1             (1)0( 0.0)  4587867.3 
     7     1    1S1 2P1             (1)1( 1.0)  4623218.3 
     8     1    1S1 3S1             (3)0( 1.0)  5330541.7 
     9     1    1S1 3P1             (3)1( 0.0)  5348126.7 
    10     1    1S1 3P1             (3)1( 1.0)  5348229.1 
    11     1    1S1 3P1             (3)1( 2.0)  5348439.3 
    12     1    1S1 3S1             (1)0( 0.0)  5349744.0 
    13     1    1S1 3D1             (3)2( 1.0)  5356763.2 
    14     1    1S1 3D1             (3)2( 2.0)  5356798.0 
    15     1    1S1 3D1             (3)2( 3.0)  5356862.4 
    16     1    1S1 3D1             (1)2( 2.0)  5357289.0 
    17     1    1S1 3P1             (1)1( 1.0)  5360371.3 
    18     1    1S1 4S1             (3)0( 1.0)  5607608.6 
    19     1    1S1 4P1             (3)1( 0.0)  5614788.0 
    20     1    1S1 4P1             (3)1( 1.0)  5614831.1 
    21     1    1S1 4P1             (3)1( 2.0)  5614919.7 
    22     1    1S1 4S1             (1)0( 0.0)  5615351.6 
    23     1    1S1 4D1             (3)2( 1.0)  5618360.1 
    24     1    1S1 4D1             (3)2( 2.0)  5618375.2 
    25     1    1S1 4D1             (3)2( 3.0)  5618402.0 
    26     1    1S1 4F1             (3)3( 2.0)  5618565.6 
    27     1    1S1 4F1             (3)3( 3.0)  5618566.7 
    28     1    1S1 4F1             (3)3( 4.0)  5618586.4 
    29     1    1S1 4F1             (1)3( 3.0)  5618588.2 
    30     1    1S1 4D1             (1)2( 2.0)  5618636.7 
    31     1    1S1 4P1             (1)1( 1.0)  5619837.1 
    32     1    1S1 5S1             (3)0( 1.0)  5734021.0 
    33     1    1S1 5P1             (3)1( 0.0)  5737638.2 
    34     1    1S1 5P1             (3)1( 1.0)  5737660.2 
    35     1    1S1 5P1             (3)1( 2.0)  5737705.6 
    36     1    1S1 5S1             (1)0( 0.0)  5737899.4 
    37     1    1S1 5D1             (3)2( 1.0)  5739450.3 
    38     1    1S1 5D1             (3)2( 2.0)  5739458.1 
    39     1    1S1 5D1             (3)2( 3.0)  5739471.7 
    40     1    1S1 5F1             (3)3( 2.0)  5739563.5 
    41     1    1S1 5F1             (3)3( 3.0)  5739564.4 
    42     1    1S1 5F1             (3)3( 4.0)  5739574.2 
    43     1    1S1 5G1             (3)4( 3.0)  5739574.7 
    44     1    1S1 5G1             (3)4( 4.0)  5739574.7 
    45     1    1S1 5F1             (1)3( 3.0)  5739575.6 
    46     1    1S1 5G1             (3)4( 5.0)  5739581.1 
    47     1    1S1 5G1             (1)4( 4.0)  5739581.1 
    48     1    1S1 5D1             (1)2( 2.0)  5739604.2 
    49     1    1S1 5P1             (1)1( 1.0)  5740195.7 
    50     1    1S1 6S1             (3)0( 1.0)  5802106.7 
    51     1    1S1 6P1             (3)1( 0.0)  5804180.5 
    52     1    1S1 6P1             (3)1( 1.0)  5804193.2 
    53     1    1S1 6P1             (3)1( 2.0)  5804219.5 
    54     1    1S1 6S1             (1)0( 0.0)  5804323.1 
    55     1    1S1 6D1             (3)2( 1.0)  5805223.8 
    56     1    1S1 6D1             (3)2( 2.0)  5805228.4 
    57     1    1S1 6D1             (3)2( 3.0)  5805236.2 
    58     1    1S1 6F1             (3)3( 2.0)  5805291.8 
    59     1    1S1 6F1             (3)3( 3.0)  5805292.4 
    60     1    1S1 6F1             (3)3( 4.0)  5805298.0 
    61     1    1S1 6G1             (3)4( 3.0)  5805298.5 
    62     1    1S1 6G1             (3)4( 4.0)  5805298.5 
    63     1    1S1 6F1             (1)3( 3.0)  5805299.1 
    64     1    1S1 6G1             (3)4( 5.0)  5805302.2 
    65     1    1S1 6G1             (1)4( 4.0)  5805302.2 
    66     1    1S1 6D1             (1)2( 2.0)  5805316.6 
    67     1    1S1 6P1             (1)1( 1.0)  5805651.7 
    68     1    1S1 7S1             (3)0( 1.0)  5842927.2 
