c Total recombination coeffincients to Fe I (Fe II -> Fe I) as calculated
c by Nahar in routine prcrrc.f, for all 81 temperatures. 970406
c
     T(K)       rrc(cm3s-1)
    1.000E+01   3.4763E-11
    1.260E+01   3.1446E-11
    1.580E+01   2.8447E-11
    2.000E+01   2.5789E-11
    2.510E+01   2.3260E-11
    3.160E+01   2.0917E-11
    3.980E+01   1.8731E-11
    5.010E+01   1.6699E-11
    6.310E+01   1.4831E-11
    7.940E+01   1.3131E-11
    1.000E+02   1.1604E-11
    1.260E+02   1.0242E-11
    1.580E+02   9.0228E-12
    2.000E+02   7.9661E-12
    2.510E+02   7.0409E-12
    3.160E+02   6.2728E-12
    3.980E+02   5.6531E-12
    5.010E+02   5.1543E-12
    6.310E+02   4.7322E-12
    7.940E+02   4.3406E-12
    1.000E+03   3.9500E-12
    1.260E+03   3.5494E-12
    1.580E+03   3.1422E-12
    2.000E+03   2.7452E-12
    2.510E+03   2.3675E-12
    3.160E+03   2.0228E-12
    3.980E+03   1.7189E-12
    5.010E+03   1.4725E-12
    6.310E+03   1.3474E-12
    7.940E+03   1.5240E-12
    1.000E+04   2.2977E-12
    1.260E+04   3.8908E-12
    1.580E+04   6.1943E-12
    2.000E+04   8.7237E-12
    2.510E+04   1.0852E-11
    3.160E+04   1.2115E-11
    3.980E+04   1.2363E-11
    5.010E+04   1.1726E-11
    6.310E+04   1.0487E-11
    7.940E+04   8.9478E-12
    1.000E+05   7.3507E-12
    1.260E+05   5.8610E-12
    1.580E+05   4.5618E-12
    2.000E+05   3.4844E-12
    2.510E+05   2.6209E-12
    3.160E+05   1.9479E-12
    3.980E+05   1.4344E-12
    5.010E+05   1.0481E-12
    6.310E+05   7.6150E-13
    7.940E+05   5.5076E-13
    1.000E+06   3.9484E-13
    1.260E+06   2.8348E-13
    1.580E+06   2.0305E-13
    2.000E+06   1.4518E-13
    2.510E+06   1.0352E-13
    3.160E+06   7.3814E-14
    3.980E+06   5.2589E-14
    5.010E+06   3.7443E-14
    6.310E+06   2.6648E-14
    7.940E+06   1.8959E-14
    1.000E+07   1.3487E-14
    1.260E+07   9.5943E-15
    1.580E+07   6.8259E-15
    2.000E+07   4.8576E-15
    2.510E+07   3.4583E-15
    3.160E+07   2.4635E-15
    3.980E+07   1.7561E-15
    5.010E+07   1.2531E-15
    6.310E+07   8.9535E-16
    7.940E+07   6.4074E-16
    1.000E+08   4.5945E-16
    1.260E+08   3.3025E-16
    1.580E+08   2.3811E-16
    2.000E+08   1.7232E-16
    2.510E+08   1.2526E-16
    3.160E+08   9.1545E-17
    3.980E+08   6.7330E-17
    5.010E+08   4.9889E-17
    6.310E+08   3.7285E-17
    7.940E+08   2.8137E-17
    1.000E+09   2.1463E-17
