c Total recombination coeffincients to Fe II (Fe III -> Fe II) as calculated
c by Nahar in routine prcrrc.f, for all 81 temperatures. 970406
c
     T(K)       rrc(cm3s-1)
    1.000E+01   1.2320E-10
    1.260E+01   1.0740E-10
    1.580E+01   9.3445E-11
    2.000E+01   8.1296E-11
    2.510E+01   7.0646E-11
    3.160E+01   6.1306E-11
    3.980E+01   5.3169E-11
    5.010E+01   4.6080E-11
    6.310E+01   3.9809E-11
    7.940E+01   3.4494E-11
    1.000E+02   2.9744E-11
    1.260E+02   2.5648E-11
    1.580E+02   2.2091E-11
    2.000E+02   1.8999E-11
    2.510E+02   1.6327E-11
    3.160E+02   1.4024E-11
    3.980E+02   1.2066E-11
    5.010E+02   1.0421E-11
    6.310E+02   9.0320E-12
    7.940E+02   7.9137E-12
    1.000E+03   6.9674E-12
    1.260E+03   6.1976E-12
    1.580E+03   5.5704E-12
    2.000E+03   5.0672E-12
    2.510E+03   4.6825E-12
    3.160E+03   4.4121E-12
    3.980E+03   4.2517E-12
    5.010E+03   4.1778E-12
    6.310E+03   4.1447E-12
    7.940E+03   4.1083E-12
    1.000E+04   4.0159E-12
    1.260E+04   3.8529E-12
    1.580E+04   3.6347E-12
    2.000E+04   3.4231E-12
    2.510E+04   3.3123E-12
    3.160E+04   3.3773E-12
    3.980E+04   3.6147E-12
    5.010E+04   3.9297E-12
    6.310E+04   4.1834E-12
    7.940E+04   4.2625E-12
    1.000E+05   4.1260E-12
    1.260E+05   3.7971E-12
    1.580E+05   3.3364E-12
    2.000E+05   2.8205E-12
    2.510E+05   2.3083E-12
    3.160E+05   1.8372E-12
    3.980E+05   1.4309E-12
    5.010E+05   1.0954E-12
    6.310E+05   8.2759E-13
    7.940E+05   6.1871E-13
    1.000E+06   4.5809E-13
    1.260E+06   3.3746E-13
    1.580E+06   2.4747E-13
    2.000E+06   1.7736E-13
    2.510E+06   1.2886E-13
    3.160E+06   9.3428E-14
    3.980E+06   6.7358E-14
    5.010E+06   4.8670E-14
    6.310E+06   3.5134E-14
    7.940E+06   2.5351E-14
    1.000E+07   1.8286E-14
    1.260E+07   1.3188E-14
    1.580E+07   9.5124E-15
    2.000E+07   6.8633E-15
    2.510E+07   4.9544E-15
    3.160E+07   3.5793E-15
    3.980E+07   2.5884E-15
    5.010E+07   1.8738E-15
    6.310E+07   1.3591E-15
    7.940E+07   9.8796E-16
    1.000E+08   7.2004E-16
    1.260E+08   5.2652E-16
    1.580E+08   3.8640E-16
    2.000E+08   2.8492E-16
    2.510E+08   2.1124E-16
    3.160E+08   1.5764E-16
    3.980E+08   1.1852E-16
    5.010E+08   8.9875E-17
    6.310E+08   6.8797E-17
    7.940E+08   5.3213E-17
    1.000E+09   4.1617E-17
