Ion	A	B	T 0	T 1	C	T 2
Si+	3.501E-11	0.6344	1.410E+1	4.343E+7	0.2248	5.831E+4
P2+	1.348E-10	0.6342	1.410E+1	2.213E+7	0.1784	4.692E+4
S3+	2.664E-10	0.6896	2.107E+1	2.028E+7	0.0840	6.752E+4
Cl4+	3.996E-10	0.7062	3.177E+1	2.018E+7	0.0467	8.299E+4
Ar5+	4.137E-10	0.7064	6.853E+1	2.108E+7	0.0316	1.020E+5
K6+	4.328E-10	0.6985	1.259E+2	2.237E+7	0.0271	1.033E+5
Ca7+	4.279E-10	0.6860	2.289E+2	2.459E+7	0.0262	9.582E+4
Sc8+	4.952E-10	0.6887	2.874E+2	2.679E+7	0.0192	1.075E+5
Ti9+	6.008E-10	0.6876	3.176E+2	2.946E+7	0.0162	8.938E+4
V10+	4.244E-10	0.6487	8.751E+2	3.451E+7	0.0285	8.744E+4
Cr11+	5.256E-10	0.6587	8.457E+2	3.709E+7	0.0217	9.474E+4
Mn12+	5.330E-10	0.6471	1.146E+3	4.169E+7	0.0236	1.013E+5
Fe13+	5.370E-10	0.6338	1.531E+3	4.632E+7	0.0278	9.070E+4
