Ion            A        B        T_0        T_1        C        T_2     
 Al1+     1.035E-09   0.6535   4.623E-2    1.564E+09   0.1261    1.533E+05  
 Si2+     1.964E-10   0.6287   7.712E+00   2.951E+07   0.1523    4.804E+05  
 P3+     1.933E-10   0.6235   3.527E+01   2.694E+07   0.1168    7.395E+05  
 S4+     2.615E-10   0.6343   6.238E+01   2.803E+07   0.0773    1.059E+06  
 Cl5+     2.841E-10   0.6367   1.244E+02   3.039E+07   0.0520    1.363E+06  
 Ar6+     3.370E-10   0.6409   1.836E+02   3.323E+07   0.0320    1.717E+06  
 K7+     3.856E-10   0.6423   2.598E+02   3.572E+07   0.0196    2.208E+06  
 Ca8+     4.641E-10   0.6469   3.097E+02   4.220E+07   0.0000    0.000e00    
 Sc9+     4.471E-10   0.6410   5.095E+02   4.349E+07   0.0000    0.000e00    
 Ti10+    4.441E-10   0.6360   7.614E+02   4.514E+07   0.0000    0.000e00    
 V11+    4.627E-10   0.6343   1.006E+03   4.695E+07   0.0000    0.000e00    
 Cr12+    5.026E-10   0.6344   1.204E+03   4.866E+07   0.0000    0.000e00    
 Mn13+    5.037E-10   0.6283   1.619E+03   5.222E+07   0.0000    0.000e00    
 Fe14+    5.398E-10   0.6295   1.881E+03   5.429E+07   0.0000    0.000e00    
 Co15+    5.382E-10   0.6247   2.441E+03   5.812E+07   0.0000  	 0.000e00    
 Ni16+    5.718E-10   0.6246   2.783E+03   6.091E+07   0.0000    0.000e00    
