Ion	A	B	T0	T1	C	T2
S+	7.438E-11	0.6530	3.138E0		1.944E+6	0.1730	1.675E+4
Cl2+	7.803E-11	0.6273	4.265E+1	2.469E+7	0.1604	4.217E+5
Ar3+	3.464E-10	0.6893	1.393E+1	1.187E+7	0.1555	4.430E+5
K4+	3.568E-10	0.6774	3.847E+1	2.695E+7	0.0404	4.488E+5
Ca5+	4.817E-10	0.6852	5.279E+1	2.706E+7	0.0239	4.049E+5
Sc6+	4.841E-10	0.6837	1.018E+2	2.769E+7	0.0174	3.352E+5
Ti7+	5.732E-10	0.6874	1.341E+2	2.892E+7	0.0101	3.140E+5
V8+	4.925E-10	0.6735	2.849E+2	3.130E+7	0.0111	1.496E+5
Cr9+	4.039E-10	0.6456	6.318E+2	3.455E+7	0.0201	7.459E+4
Mn10+	3.902E-10	0.6254	1.006E+3	3.737E+7	0.0281	6.397E+4
Fe11+	3.456E-10	0.5956	1.795E+3	4.097E+7	0.0405	6.769E+4
Co12+	3.007E-10	0.5590	3.215E+3	4.573E+7	0.0555	7.049E+4
Ni13+	3.087E-10	0.5452	4.160E+3	4.955E+7	0.0602	8.046E+4
