ion	A	B	T0	T1	C	T2
P+	1.505E-09	0.8452	1.707E-02	1.301E+06	0.2467	1.284E+06
S2+	2.478E-11	0.4642	3.294E+02	2.166E+07	0.3351	7.630E+05
Cl3+	1.602E-10	0.6129	5.154E+01	3.056E+07	0.1342	6.808E+05
Ar4+	3.939E-10	0.6607	3.207E+01	3.043E+07	0.0761	6.360E+05
K5+	6.034E-10	0.6803	3.503E+01	3.022E+07	0.0561	5.412E+05
Ca6+	1.427E-08	0.7285	3.790E-01	3.977E+07	0.0000	0.0000
Sc7+	9.729E-09	0.7294	1.219E+00	3.765E+07	0.0000	0.0000
Ti8+	7.528E-09	0.7276	3.009E+00	3.764E+07	0.0000	0.0000
V9+	8.439E-09	0.7289	3.806E+00	3.791E+07	0.0000	0.0000
Cr10+	4.834E-09	0.7238	1.384E+01	3.952E+07	0.0000	0.0000
Mn11+	2.598E-09	0.7163	5.391E+01	4.166E+07	0.0000	0.0000
Fe12+	1.984E-09	0.7101	1.158E+02	4.400E+07	0.0000	0.0000
Co13+	1.839E-09	0.7055	1.764E+02	4.654E+07	0.0000	0.0000
Ni14+	1.551E-09	0.6991	3.080E+02	4.948E+07	0.0000	0.0000
Cu15+	1.663E-09	0.6970	3.534E+02	5.214E+07	0.0000	0.0000
Zn16+	1.506E-09	0.6920	5.288E+02	5.548E+07	0.0000	0.0000
