SEQ='AL'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86586112.0   NPRNTI= 4   NPRNTF= 6
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 0.0)    82004.1 
     3          3S1 3P1             (3)1( 1.0)    82365.5 
     4          3S1 3P1             (3)1( 2.0)    83105.2 
     5          3S1 3P1             (1)1( 1.0)   129504.1*
     6          3P2                 (1)2( 2.0)   193415.4*

   IC RESOLVED LEVEL INDEXING           BWNR=  86966742.1   NLVL= 634
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 0.5)        0.0 
     2  9999    3S2 3P1             (2)1( 1.5)      992.5 
     3  9999    3S1 3P2             (4)1( 0.5)    69009.6 
     4  9999    3S1 3P2             (4)1( 1.5)    69360.4 
     5  9999    3S1 3P2             (4)1( 2.5)    69924.7 
     6  9999    3S1 3P2             (2)2( 1.5)    94687.5 
     7  9999    3S1 3P2             (2)2( 2.5)    94720.3 
     8  9999    3S1 3P2             (2)0( 0.5)   127796.2 
     9  9999    3S1 3P2             (2)1( 0.5)   137881.1 
    10  9999    3S1 3P2             (2)1( 1.5)   138527.1 
    11  9999    3S2 3D1             (2)2( 1.5)   160215.4 
    12  9999    3S2 3D1             (2)2( 2.5)   160235.0 
    13     1    3S2 4S1             (2)0( 0.5)   183425.7 
    14  9999    3P3                 (2)2( 1.5)   184541.7 
    15  9999    3P3                 (2)2( 2.5)   184644.3 
    16  9999    3P3                 (4)0( 1.5)   196494.4 
    17  9999    3S1 3P1 3D1         (4)3( 1.5)   204485.5 
    18  9999    3S1 3P1 3D1         (4)3( 2.5)   204685.5 
    19  9999    3S1 3P1 3D1         (4)3( 3.5)   204968.1 
    20  9999    3S1 3P1 3D1         (4)3( 4.5)   205336.0 
    21  9999    3P3                 (2)1( 1.5)   215038.2 
    22  9999    3P3                 (2)1( 0.5)   215116.3 
    23     1    3S2 4P1             (2)1( 0.5)   215443.9 
    24     1    3S2 4P1             (2)1( 1.5)   215715.4 
    25  9999    3S1 3P1 3D1         (4)1( 2.5)   224318.5 
    26  9999    3S1 3P1 3D1         (4)1( 1.5)   224593.1 
    27  9999    3S1 3P1 3D1         (4)1( 0.5)   224775.1 
    28  9999    3S1 3P1 3D1         (4)2( 0.5)   227335.4 
    29  9999    3S1 3P1 3D1         (4)2( 1.5)   227423.3 
    30  9999    3S1 3P1 3D1         (4)2( 2.5)   227537.4 
    31  9999    3S1 3P1 3D1         (4)2( 3.5)   227648.4 
    32  9999    3S1 3P1 3D1         (2)2( 2.5)   238113.8 
    33  9999    3S1 3P1 3D1         (2)2( 1.5)   238142.9 
    34  9999    3S1 3P1 3D1         (2)3( 2.5)   250569.0 
    35  9999    3S1 3P1 3D1         (2)3( 3.5)   251366.6 
    36     1    3S2 4D1             (2)2( 1.5)   256766.0 
    37     1    3S2 4D1             (2)2( 2.5)   256780.1 
    38     2    3S1 3P1 4S1         (4)1( 0.5)   262457.3 
    39     3    3S1 3P1 4S1         (4)1( 1.5)   262817.2 
    40     4    3S1 3P1 4S1         (4)1( 2.5)   263440.8 
    41     1    3S2 4F1             (2)3( 2.5)   269607.7 
    42     1    3S2 4F1             (2)3( 3.5)   269611.5 
    43     1    3S2 5S1             (2)0( 0.5)   271142.6 
    44     3    3S1 3P1 4S1         (2)1( 0.5)   274397.1 
    45     4    3S1 3P1 4S1         (2)1( 1.5)   275039.8 
    46  9999    3S1 3P1 3D1         (2)1( 1.5)   278347.9 
    47  9999    3S1 3P1 3D1         (2)1( 0.5)   278585.3 
    48  9999    3S1 3P1 3D1         (2)3( 3.5)   280398.1 
    49  9999    3S1 3P1 3D1         (2)3( 2.5)   280640.4 
    50     1    3S2 5P1             (2)1( 0.5)   284754.3 
    51     1    3S2 5P1             (2)1( 1.5)   284873.1 
    52     2    3S1 3P1 4P1         (4)2( 0.5)   291480.4 
    53     2    3S1 3P1 4P1         (4)2( 1.5)   291726.4 
    54  9999    3S1 3P1 3D1         (2)1( 0.5)   291764.3 
    55  9999    3S1 3P1 3D1         (2)1( 1.5)   291821.4 
    56     3    3S1 3P1 4P1         (4)2( 2.5)   292127.3 
    57     4    3S1 3P1 4P1         (4)2( 3.5)   292671.1 
    58     3    3S1 3P1 4P1         (2)1( 0.5)   293895.8 
    59     3    3S1 3P1 4P1         (2)1( 1.5)   294082.2 
    60  9999    3S1 3P1 3D1         (2)2( 1.5)   294441.7 
    61  9999    3S1 3P1 3D1         (2)2( 2.5)   294584.5 
    62     3    3S1 3P1 4P1         (4)0( 1.5)   296806.1 
