SEQ='AL'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86544137.0   NPRNTI= 4   NPRNTF= 9
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S2             (1)0( 0.0)        0.0 
     2          2P6 3S1 3P1         (3)1( 0.0)    82241.2 
     3          2P6 3S1 3P1         (3)1( 1.0)    82577.3 
     4          2P6 3S1 3P1         (3)1( 2.0)    83264.3 
     5          2P6 3S1 3P1         (1)1( 1.0)   129631.2*
     6          2P6 3P2             (1)2( 2.0)   193770.2*
     7          2P6 3P2             (3)1( 0.0)   201815.2*
     8          2P6 3P2             (3)1( 1.0)   202177.6*
     9          2P6 3P2             (3)1( 2.0)   202883.3*

   IC RESOLVED LEVEL INDEXING           BWNR=  86908506.6   NLVL= 517
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2P6 3S2 3P1         (2)1( 0.5)        0.0 
     2     1    2P6 3S2 3P1         (2)1( 1.5)      785.6 
     3     1    2P6 3S1 3P2         (4)1( 0.5)    69845.5 
     4     1    2P6 3S1 3P2         (4)1( 1.5)    70121.0 
     5     3    2P6 3S1 3P2         (4)1( 2.5)    70567.0 
     6     1    2P6 3S1 3P2         (2)2( 1.5)    95639.7 
     7     3    2P6 3S1 3P2         (2)2( 2.5)    95666.0 
     8     2    2P6 3S1 3P2         (2)0( 0.5)   125918.9 
     9     2    2P6 3S1 3P2         (2)1( 0.5)   136442.0 
    10     2    2P6 3S1 3P2         (2)1( 1.5)   136958.6 
    11     1    2P6 3S2 3D1         (2)2( 1.5)   158391.6 
    12     1    2P6 3S2 3D1         (2)2( 2.5)   158435.8 
    13     1    2P6 3S2 4S1         (2)0( 0.5)   171578.5 
    14     5    2P6 3P3             (2)2( 1.5)   188991.2 
    15     5    2P6 3P3             (2)2( 2.5)   189065.5 
    16     1    2P6 3S2 4P1         (2)1( 0.5)   199572.3 
    17     1    2P6 3S2 4P1         (2)1( 1.5)   199736.7 
    18     5    2P6 3P3             (4)0( 1.5)   201022.4 
    19     2    2P6 3S1 3P1 3D1     (4)3( 1.5)   209791.4 
    20     2    2P6 3S1 3P1 3D1     (4)3( 2.5)   209956.0 
    21     3    2P6 3S1 3P1 3D1     (4)3( 3.5)   210188.1 
    22     4    2P6 3S1 3P1 3D1     (4)3( 4.5)   210489.5 
    23     5    2P6 3P3             (2)1( 1.5)   219272.7 
    24     5    2P6 3P3             (2)1( 0.5)   219369.3 
    25     2    2P6 3S1 3P1 3D1     (4)1( 2.5)   227935.7 
    26     2    2P6 3S1 3P1 3D1     (4)1( 1.5)   228136.1 
    27     3    2P6 3S1 3P1 3D1     (4)1( 0.5)   228266.2 
    28     3    2P6 3S1 3P1 3D1     (4)2( 0.5)   231060.7 
    29     2    2P6 3S1 3P1 3D1     (4)2( 1.5)   231131.0 
    30     2    2P6 3S1 3P1 3D1     (4)2( 2.5)   231230.0 
    31     3    2P6 3S1 3P1 3D1     (4)2( 3.5)   231338.7 
    32     1    2P6 3S2 5S1         (2)0( 0.5)   237472.5 
    33     1    2P6 3S2 4D1         (2)2( 1.5)   241612.1 
    34     1    2P6 3S2 4D1         (2)2( 2.5)   241626.0 
    35     2    2P6 3S1 3P1 3D1     (2)2( 2.5)   245903.1 
    36     2    2P6 3S1 3P1 3D1     (2)2( 1.5)   245924.0 
    37     2    2P6 3S1 3P1 4S1     (4)1( 0.5)   250429.2 
    38     3    2P6 3S1 3P1 4S1     (4)1( 1.5)   250762.1 
    39     4    2P6 3S1 3P1 4S1     (4)1( 2.5)   251340.4 
    40     4    2P6 3S1 3P1 3D1     (2)3( 2.5)   252593.0 
    41     4    2P6 3S1 3P1 3D1     (2)3( 3.5)   253223.5 
    42     1    2P6 3S2 4F1         (2)3( 2.5)   253358.8 
    43     1    2P6 3S2 4F1         (2)3( 3.5)   253365.1 
    44     3    2P6 3S1 3P1 4S1     (2)1( 0.5)   259305.5 
    45     4    2P6 3S1 3P1 4S1     (2)1( 1.5)   259932.3 
    46     1    2P6 3S2 5P1         (2)1( 0.5)   268447.7 
    47     1    2P6 3S2 5P1         (2)1( 1.5)   268534.3 
    48     5    2P6 3S1 3P1 3D1     (2)1( 1.5)   276990.0 
    49     5    2P6 3S1 3P1 3D1     (2)1( 0.5)   277116.5 
    50     2    2P6 3S1 3P1 4P1     (4)2( 0.5)   278369.6 
    51     2    2P6 3S1 3P1 4P1     (4)2( 1.5)   278601.0 
    52     3    2P6 3S1 3P1 4P1     (4)2( 2.5)   278961.4 
    53     3    2P6 3S1 3P1 4P1     (2)1( 0.5)   279251.3 
