SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86001812.8   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   105564.9 
     3          3P1                 (2)1( 1.5)   106779.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  86586111.9   NLVL= 452
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2                 (1)0( 0.0)        0.0 
     2  9999    3S1 3P1             (3)1( 0.0)    82004.1 
     3  9999    3S1 3P1             (3)1( 1.0)    82365.5 
     4  9999    3S1 3P1             (3)1( 2.0)    83105.2 
     5  9999    3S1 3P1             (1)1( 1.0)   129504.1 
     6  9999    3P2                 (1)2( 2.0)   193415.4 
     7  9999    3P2                 (3)1( 0.0)   199797.3 
     8  9999    3P2                 (3)1( 1.0)   200190.9 
     9  9999    3P2                 (3)1( 2.0)   200952.6 
    10  9999    3S1 3D1             (3)2( 1.0)   238424.2 
    11  9999    3S1 3D1             (3)2( 2.0)   238443.7 
    12  9999    3S1 3D1             (3)2( 3.0)   238472.9 
    13  9999    3P2                 (1)0( 0.0)   238721.9 
    14  9999    3S1 3D1             (1)2( 2.0)   280886.8 
    15     1    3S1 4S1             (3)0( 1.0)   312031.2 
    16     1    3S1 4S1             (1)0( 0.0)   325313.8 
    17  9999    3P1 3D1             (3)3( 2.0)   326034.8 
    18  9999    3P1 3D1             (3)3( 3.0)   326449.9 
    19  9999    3P1 3D1             (3)3( 4.0)   326976.6 
    20  9999    3P1 3D1             (1)2( 2.0)   330543.1 
    21  9999    3P1 3D1             (3)1( 2.0)   349293.8 
    22  9999    3P1 3D1             (3)1( 1.0)   349639.6 
    23     1    3S1 4P1             (3)1( 0.0)   349831.1 
    24  9999    3P1 3D1             (3)1( 0.0)   349859.5 
    25     1    3S1 4P1             (3)1( 1.0)   349943.9 
    26     1    3S1 4P1             (3)1( 2.0)   350185.0 
    27  9999    3P1 3D1             (3)2( 1.0)   351642.2 
    28  9999    3P1 3D1             (3)2( 2.0)   351810.6 
    29  9999    3P1 3D1             (3)2( 3.0)   351947.4 
    30     1    3S1 4P1             (1)1( 1.0)   355350.8 
    31  9999    3P1 3D1             (1)3( 3.0)   385781.8 
    32  9999    3P1 3D1             (1)1( 1.0)   392176.5 
    33     1    3S1 4D1             (3)2( 1.0)   397680.6 
    34     1    3S1 4D1             (3)2( 2.0)   397688.4 
    35     1    3S1 4D1             (3)2( 3.0)   397700.0 
    36     1    3S1 4D1             (1)2( 2.0)   400975.3 
    37     1    3S1 4F1             (3)3( 2.0)   410519.4 
    38     1    3S1 4F1             (3)3( 3.0)   410522.1 
    39     1    3S1 4F1             (3)3( 4.0)   410525.7 
    40     1    3S1 4F1             (1)3( 3.0)   412924.5 
    41     2    3P1 4S1             (3)1( 0.0)   420882.7 
    42     2    3P1 4S1             (3)1( 1.0)   421229.4 
    43     3    3P1 4S1             (3)1( 2.0)   422097.1 
    44     3    3P1 4S1             (1)1( 1.0)   426933.8 
    45     1    3S1 5S1             (3)0( 1.0)   428220.0 
    46     1    3S1 5S1             (1)0( 0.0)   432486.4 
    47     1    3S1 5P1             (3)1( 0.0)   444859.5 
    48     1    3S1 5P1             (3)1( 1.0)   444910.7 
    49     1    3S1 5P1             (3)1( 2.0)   445022.0 
    50     1    3S1 5P1             (1)1( 1.0)   446880.5 
    51     2    3P1 4P1             (1)1( 1.0)   448443.3 
    52     2    3P1 4P1             (3)2( 1.0)   451265.2 
    53     2    3P1 4P1             (3)2( 2.0)   451695.1 
    54     3    3P1 4P1             (3)2( 3.0)   452495.3 
    55     3    3P1 4P1             (3)0( 1.0)   457085.8 
    56     2    3P1 4P1             (3)1( 0.0)   459271.1 
    57     3    3P1 4P1             (3)1( 1.0)   459612.5 
    58     3    3P1 4P1             (3)1( 2.0)   460073.7 
    59     3    3P1 4P1             (1)2( 2.0)   466924.2 
    60     1    3S1 5D1             (3)2( 1.0)   466979.1 
    61     1    3S1 5D1             (3)2( 2.0)   466983.0 
    62     1    3S1 5D1             (3)2( 3.0)   466989.0 
    63     1    3S1 5D1             (1)2( 2.0)   468208.9 
    64     1    3S1 5F1             (3)3( 2.0)   473145.4 
    65     1    3S1 5F1             (3)3( 3.0)   473146.8 
    66     1    3S1 5F1             (3)3( 4.0)   473148.6 
    67     1    3S1 5G1             (1)*( 3.0)   473857.4 
    68     1    3S1 5G1             (1)*( 4.0)   473857.4 
    69     1    3S1 5G1             (1)*( 4.0)   473857.4 
    70     1    3S1 5G1             (1)*( 5.0)   473857.4 
