SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85995131.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   104731.5 
     3          3P1                 (2)1( 1.5)   105692.4 
     4          3D1                 (2)2( 1.5)   245897.3*
     5          3D1                 (2)2( 2.5)   245954.9*

   IC RESOLVED LEVEL INDEXING           BWNR=  86577719.4   NLVL= 427
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     2    3S2                 (1)0( 0.0)        0.0 
     2     1    3S1 3P1             (3)1( 0.0)    80889.2 
     3     1    3S1 3P1             (3)1( 1.0)    81202.4 
     4     1    3S1 3P1             (3)1( 2.0)    81841.3 
     5     1    3S1 3P1             (1)1( 1.0)   129560.1 
     6     2    3P2                 (1)2( 2.0)   190663.7 
     7     2    3P2                 (3)1( 0.0)   198411.0 
     8     2    3P2                 (3)1( 1.0)   198747.5 
     9     2    3P2                 (3)1( 2.0)   199399.9 
    10     1    3S1 3D1             (3)2( 1.0)   236300.8 
    11     1    3S1 3D1             (3)2( 2.0)   236323.8 
    12     1    3S1 3D1             (3)2( 3.0)   236358.4 
    13     2    3P2                 (1)0( 0.0)   238645.2 
    14     1    3S1 3D1             (1)2( 2.0)   282285.4 
    15     2    3P1 3D1             (3)3( 2.0)   321824.8 
    16     2    3P1 3D1             (3)3( 3.0)   322186.6 
    17     3    3P1 3D1             (3)3( 4.0)   322649.3 
    18     2    3P1 3D1             (1)2( 2.0)   326628.9 
    19     2    3P1 3D1             (3)1( 2.0)   346939.8 
    20     2    3P1 3D1             (3)1( 1.0)   347229.1 
    21     3    3P1 3D1             (3)1( 0.0)   347403.7 
    22     2    3P1 3D1             (3)2( 1.0)   349431.2 
    23     2    3P1 3D1             (3)2( 2.0)   349578.9 
    24     2    3P1 3D1             (3)2( 3.0)   349717.3 
    25     3    3P1 3D1             (1)3( 3.0)   386330.7 
    26     3    3P1 3D1             (1)1( 1.0)   394058.9 
    27     2    3P1 4S1             (3)1( 0.0)   419465.7 
    28     2    3P1 4S1             (3)1( 1.0)   419750.9 
    29     3    3P1 4S1             (3)1( 2.0)   420425.8 
    30     3    3P1 4S1             (1)1( 1.0)   425560.8 
    31     2    3P1 4P1             (1)1( 1.0)   448249.1 
    32     2    3P1 4P1             (3)2( 1.0)   451239.9 
    33     2    3P1 4P1             (3)2( 2.0)   451582.9 
    34     3    3P1 4P1             (3)2( 3.0)   452201.9 
    35     2    3P1 4P1             (3)1( 0.0)   455045.7 
    36     3    3P1 4P1             (3)1( 1.0)   455233.7 
    37     3    3P1 4P1             (3)1( 2.0)   455660.6 
    38     3    3P1 4P1             (3)0( 1.0)   457040.7 
    39     3    3P1 4P1             (1)2( 2.0)   462081.9 
    40     3    3P1 4P1             (1)0( 0.0)   471092.1 
    41     4    3D2                 (3)3( 2.0)   476873.5 
    42     4    3D2                 (3)3( 3.0)   476908.1 
    43     4    3D2                 (3)3( 4.0)   476954.1 
    44     1    3S1 6S1             (3)0( 1.0)   481400.7 
    45     1    3S1 6S1             (1)0( 0.0)   483112.3 
    46     1    3S1 6P1             (3)1( 0.0)   490077.5 
    47     1    3S1 6P1             (3)1( 1.0)   490099.4 
    48     1    3S1 6P1             (3)1( 2.0)   490146.2 
    49     1    3S1 6P1             (1)1( 1.0)   491087.6 
    50     4    3D2                 (3)1( 0.0)   491142.1 
    51     4    3D2                 (3)1( 1.0)   491156.2 
    52     4    3D2                 (3)1( 2.0)   491182.9 
    53     4    3D2                 (1)2( 2.0)   492500.9 
    54     4    3D2                 (1)4( 4.0)   492778.8 
    55     2    3P1 4D1             (1)2( 2.0)   497694.1 
    56     2    3P1 4D1             (3)2( 2.0)   499398.9 
    57     2    3P1 4D1             (3)2( 1.0)   499402.4 
    58     2    3P1 4D1             (3)2( 3.0)   499563.5 
    59     3    3P1 4D1             (3)3( 2.0)   500106.1 
    60     3    3P1 4D1             (3)3( 3.0)   500389.9 
    61     3    3P1 4D1             (3)3( 4.0)   500700.8 
    62     1    3S1 6D1             (3)2( 1.0)   502033.7 
    63     1    3S1 6D1             (3)2( 2.0)   502035.7 
    64     1    3S1 6D1             (3)2( 3.0)   502038.8 
    65     1    3S1 6D1             (1)2( 2.0)   503125.5 
    66     3    3P1 4D1             (3)1( 2.0)   503713.7 
    67     3    3P1 4D1             (3)1( 1.0)   503987.2 
    68     3    3P1 4D1             (3)1( 0.0)   504133.7 
    69     1    3S1 6F1             (3)3( 2.0)   505595.6 
