SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83038523.0   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    10157.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  85293139.8   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 2.0)  1360575.0 
     3     1    2S2 2P5 3S1         (3)1( 1.0)  1365261.9 
     4     2    2S2 2P5 3S1         (3)1( 0.0)  1370732.1 
     5     2    2S2 2P5 3S1         (1)1( 1.0)  1378344.7 
     6     1    2S2 2P5 3P1         (3)0( 1.0)  1458620.7 
     7     1    2S2 2P5 3P1         (3)2( 3.0)  1471204.3 
     8     1    2S2 2P5 3P1         (3)2( 2.0)  1472638.5 
     9     1    2S2 2P5 3P1         (3)2( 1.0)  1476049.7 
    10     1    2S2 2P5 3P1         (3)1( 2.0)  1480599.6 
    11     2    2S2 2P5 3P1         (1)1( 1.0)  1483955.8 
    12     1    2S2 2P5 3P1         (3)1( 0.0)  1486456.9 
    13     2    2S2 2P5 3P1         (1)2( 2.0)  1487510.9 
    14     2    2S2 2P5 3P1         (3)1( 1.0)  1488237.9 
    15     2    2S2 2P5 3P1         (1)0( 0.0)  1580445.1 
    16     1    2S2 2P5 3D1         (3)1( 0.0)  1617819.4 
    17     1    2S2 2P5 3D1         (3)1( 1.0)  1619023.3 
    18     1    2S2 2P5 3D1         (3)1( 2.0)  1621487.5 
    19     1    2S2 2P5 3D1         (3)3( 4.0)  1623208.8 
    20     1    2S2 2P5 3D1         (3)3( 3.0)  1624947.7 
    21     1    2S2 2P5 3D1         (3)3( 2.0)  1628137.5 
    22     1    2S2 2P5 3D1         (1)3( 3.0)  1630633.4 
    23     1    2S2 2P5 3D1         (3)2( 1.0)  1636814.2 
    24     2    2S2 2P5 3D1         (1)2( 2.0)  1637323.3 
    25     2    2S2 2P5 3D1         (3)2( 3.0)  1638582.7 
    26     2    2S2 2P5 3D1         (3)2( 2.0)  1639172.1 
    27     2    2S2 2P5 3D1         (1)1( 1.0)  1656357.5 
    28     1    2S2 2P5 4S1         (3)1( 2.0)  1807202.8 
    29     1    2S2 2P5 4S1         (3)1( 1.0)  1809417.2 
    30     2    2S2 2P5 4S1         (3)1( 0.0)  1817359.8 
    31     2    2S2 2P5 4S1         (1)1( 1.0)  1819005.1 
    32     1    2S2 2P5 4P1         (3)0( 1.0)  1844886.3 
    33     1    2S2 2P5 4P1         (3)2( 3.0)  1848475.2 
    34     1    2S2 2P5 4P1         (3)2( 2.0)  1849223.8 
    35     1    2S2 2P5 4P1         (1)1( 1.0)  1850751.8 
    36     1    2S2 2P5 4P1         (3)1( 2.0)  1851702.9 
    37     1    2S2 2P5 4P1         (3)1( 0.0)  1857440.1 
    38     2    2S2 2P5 4P1         (3)2( 1.0)  1858848.6 
    39     2    2S2 2P5 4P1         (3)1( 1.0)  1860234.7 
    40     2    2S2 2P5 4P1         (1)2( 2.0)  1860410.1 
    41     2    2S2 2P5 4P1         (1)0( 0.0)  1885022.2 
    42     1    2S2 2P5 4D1         (3)1( 0.0)  1900202.1 
    43     1    2S2 2P5 4D1         (3)1( 1.0)  1900970.7 
    44     1    2S2 2P5 4D1         (3)3( 4.0)  1902309.0 
    45     1    2S2 2P5 4D1         (3)1( 2.0)  1902370.5 
    46     1    2S2 2P5 4D1         (3)3( 3.0)  1903251.6 
    47     1    2S2 2P5 4D1         (1)2( 2.0)  1904767.6 
    48     1    2S2 2P5 4D1         (3)2( 3.0)  1905468.7 
    49     1    2S2 2P5 4D1         (3)2( 1.0)  1909520.5 
    50     2    2S2 2P5 4D1         (3)3( 2.0)  1913441.3 
    51     2    2S2 2P5 4D1         (3)2( 2.0)  1913990.4 
    52     2    2S2 2P5 4D1         (1)3( 3.0)  1914293.4 
    53     1    2S2 2P5 4F1         (3)2( 1.0)  1916992.9 
    54     1    2S2 2P5 4F1         (3)2( 2.0)  1917176.1 
    55     1    2S2 2P5 4F1         (3)4( 5.0)  1917597.0 
    56     1    2S2 2P5 4F1         (1)4( 4.0)  1917626.1 
    57     1    2S2 2P5 4F1         (3)2( 3.0)  1918124.2 
    58     1    2S2 2P5 4F1         (1)2( 2.0)  1918267.4 
    59     1    2S2 2P5 4F1         (1)3( 3.0)  1918726.0 
    60     1    2S2 2P5 4F1         (3)3( 4.0)  1918776.2 
    61     2    2S2 2P5 4D1         (1)1( 1.0)  1921136.2 
