SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83040407.2   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    10270.5 
     3          2S1 2P6             (2)0( 0.5)   522842.2*

   IC RESOLVED LEVEL INDEXING           BWNR=  85272245.4   NLVL= 331
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2S2 2P6             (1)0( 0.0)        0.0 
     2     2    2S2 2P5 3S1         (3)1( 0.0)  1353643.2 
     3     2    2S2 2P5 3S1         (1)1( 1.0)  1359549.3 
     4     2    2S2 2P5 3P1         (1)1( 1.0)  1465995.0 
     5     2    2S2 2P5 3P1         (1)2( 2.0)  1468956.6 
     6     2    2S2 2P5 3P1         (3)1( 1.0)  1470040.4 
     7     2    2S2 2P5 3P1         (1)0( 0.0)  1544065.7 
     8     2    2S2 2P5 3D1         (1)2( 2.0)  1614759.5 
     9     2    2S2 2P5 3D1         (3)2( 3.0)  1616127.5 
    10     2    2S2 2P5 3D1         (3)2( 2.0)  1616751.2 
    11     2    2S2 2P5 3D1         (1)1( 1.0)  1636951.3 
    12     1    2S2 2P5 4S1         (3)1( 2.0)  1785951.2 
    13     1    2S2 2P5 4S1         (1)1( 1.0)  1787934.7 
    14     2    2S2 2P5 4S1         (3)1( 0.0)  1796221.7 
    15     2    2S2 2P5 4S1         (3)1( 1.0)  1797617.9 
    16     1    2S2 2P5 4P1         (3)0( 1.0)  1823619.4 
    17     1    2S2 2P5 4P1         (3)2( 3.0)  1827041.2 
    18     1    2S2 2P5 4P1         (3)2( 2.0)  1827747.6 
    19     1    2S2 2P5 4P1         (1)1( 1.0)  1829270.6 
    20     1    2S2 2P5 4P1         (3)1( 2.0)  1830093.5 
    21     1    2S2 2P5 4P1         (3)1( 0.0)  1835843.2 
    22     2    2S2 2P5 4P1         (3)2( 1.0)  1837542.3 
    23     2    2S2 2P5 4P1         (3)1( 1.0)  1838832.5 
    24     2    2S2 2P5 4P1         (1)2( 2.0)  1838934.5 
    25     2    2S2 2P5 4P1         (1)0( 0.0)  1859590.7 
    26     3    2S1 2P6 3S1         (3)0( 1.0)  1868333.0 
    27     1    2S2 2P5 4D1         (3)1( 0.0)  1877263.2 
    28     1    2S2 2P5 4D1         (3)1( 1.0)  1878070.3 
    29     1    2S2 2P5 4D1         (3)3( 4.0)  1879520.3 
    30     1    2S2 2P5 4D1         (3)1( 2.0)  1879547.1 
    31     1    2S2 2P5 4D1         (3)3( 3.0)  1880538.3 
    32     1    2S2 2P5 4D1         (1)2( 2.0)  1882124.5 
    33     1    2S2 2P5 4D1         (3)2( 3.0)  1882926.2 
    34     1    2S2 2P5 4D1         (3)2( 1.0)  1887197.4 
    35     2    2S2 2P5 4D1         (3)3( 2.0)  1890847.4 
    36     2    2S2 2P5 4D1         (3)2( 2.0)  1891458.1 
    37     2    2S2 2P5 4D1         (1)3( 3.0)  1891790.4 
    38     1    2S2 2P5 4F1         (3)2( 1.0)  1894257.2 
    39     1    2S2 2P5 4F1         (3)2( 2.0)  1894438.2 
    40     3    2S1 2P6 3S1         (1)0( 0.0)  1894624.6 
    41     1    2S2 2P5 4F1         (3)4( 5.0)  1894858.2 
    42     1    2S2 2P5 4F1         (1)4( 4.0)  1894885.5 
    43     1    2S2 2P5 4F1         (3)2( 3.0)  1895384.0 
    44     1    2S2 2P5 4F1         (1)2( 2.0)  1895522.5 
    45     1    2S2 2P5 4F1         (1)3( 3.0)  1895980.4 
    46     1    2S2 2P5 4F1         (3)3( 4.0)  1896030.5 
    47     2    2S2 2P5 4D1         (1)1( 1.0)  1899636.3 
    48     2    2S2 2P5 4F1         (3)4( 3.0)  1905545.3 
    49     2    2S2 2P5 4F1         (3)4( 4.0)  1905617.8 
    50     2    2S2 2P5 4F1         (3)3( 3.0)  1905645.6 
    51     2    2S2 2P5 4F1         (3)3( 2.0)  1905730.5 
    52     1    2S2 2P5 5S1         (3)1( 2.0)  1963590.6 
    53     1    2S2 2P5 5S1         (1)1( 1.0)  1964556.6 
    54     2    2S2 2P5 5S1         (3)1( 0.0)  1973861.0 
    55     2    2S2 2P5 5S1         (3)1( 1.0)  1974423.4 
    56     3    2S1 2P6 3P1         (3)1( 0.0)  1979316.2 
    57     3    2S1 2P6 3P1         (3)1( 1.0)  1979715.5 
    58     3    2S1 2P6 3P1         (3)1( 2.0)  1980658.0 
    59     1    2S2 2P5 5P1         (3)0( 1.0)  1981849.7 
