  1     1 2s2.2p          2  1 P  0.5  2          0.000       0.000000          0.000       0.000000
  2     1 2s2.2p          2  1 P  1.5  4       6990.000       0.063698       6990.596       0.063703
  3     2 2s.2p2          4  1 P  0.5  2     161001.000       1.467149     161009.990       1.467231
  4     2 2s.2p2          4  1 P  1.5  4     163476.000       1.489703     163490.046       1.489831
  5     2 2s.2p2          4  1 P  2.5  6     167047.000       1.522244     167060.018       1.522363
  6     2 2s.2p2          2  2 D  1.5  4     287846.000       2.623046     287849.959       2.623082
  7     2 2s.2p2          2  2 D  2.5  6     287866.000       2.623228     287880.047       2.623356
  8     2 2s.2p2          2  0 S  0.5  2     367640.000       3.350182     367670.035       3.350456
  9     2 2s.2p2          2  1 P  0.5  2     390068.000       3.554561     390039.990       3.554306
 10     2 2s.2p2          2  1 P  1.5  4     394031.000       3.590675     394030.041       3.590666
 11     3 2p3             4  0 S  1.5  4     509314.000       4.641211     509330.035       4.641357
 12     3 2p3             2  2 D  1.5  4     575430.000       5.243704     575429.965       5.243704
 13     3 2p3             2  2 D  2.5  6     575457.000       5.243950     575450.058       5.243887
 14     3 2p3             2  1 P  0.5  2     646744.000       5.893565     646760.013       5.893711
 15     3 2p3             2  1 P  1.5  4     647381.000       5.899370     647390.028       5.899452
 16     4 2s2(1S).3s      2  0 S  0.5  2          0.000       0.000000    1810336.375      16.497000     G1 
 17     5 2s.2p(3P).3p    4  2 D  0.5  2          0.000       0.000000    2054381.250      18.720900     G2 
 18     5 2s.2p(3P).3p    2  1 P  0.5  2    2064590.000      18.813929    2058595.125      18.759300     G3 
 19     5 2s.2p(3P).3p    4  1 P  0.5  2          0.000       0.000000    2083450.625      18.985800     G4 
 20     5 2s.2p(3P).3p    2  0 S  0.5  2    2132600.000      19.433681    2123943.750      19.354799     G5 
 21     5 2s.2p(1P).3p    2  1 P  0.5  2          0.000       0.000000    2235886.750      20.374901     G6 
 22     5 2s.2p(1P).3p    2  0 S  0.5  2    2246300.000      20.469791    2258404.750      20.580099     G7 
 23     6 2p2(3P).3s      4  1 P  0.5  2          0.000       0.000000    2275754.250      20.738199     G8 
 24     6 2p2(3P).3s      2  1 P  0.5  2          0.000       0.000000    2318947.000      21.131800     G9 
 25     7 2p2(3P).3d      4  2 D  0.5  2          0.000       0.000000    2418116.500      22.035500     G10
 26     7 2p2(3P).3d      2  1 P  0.5  2          0.000       0.000000    2423340.000      22.083099     G11
 27     7 2p2(3P).3d      4  1 P  0.5  2          0.000       0.000000    2438538.750      22.221600     G12
 28     6 2p2(1S).3s      2  0 S  0.5  2          0.000       0.000000    2458126.750      22.400101     G13
 29     7 2p2(1D).3d      2  1 P  0.5  2          0.000       0.000000    2510175.250      22.874399     G14
 30     7 2p2(1D).3d      2  0 S  0.5  2          0.000       0.000000    2524583.750      23.005699     G15
 31     8 2s2.3d          2  2 D  1.5  4    1979260.000      18.036345    1969159.250      17.944300     H1 
 32     5 2s.2p(3P).3p    4  2 D  1.5  4          0.000       0.000000    2056532.125      18.740499     H2 
 33     5 2s.2p(3P).3p    2  1 P  1.5  4    2066750.000      18.833612    2059582.750      18.768299     H3 
 34     5 2s.2p(3P).3p    4  0 S  1.5  4          0.000       0.000000    2074649.750      18.905600     H4 
 35     5 2s.2p(3P).3p    4  1 P  1.5  4          0.000       0.000000    2085513.750      19.004601     H5 
 36     5 2s.2p(3P).3p    2  2 D  1.5  4    2105750.000      19.189007    2096289.875      19.102800     H6 
 37     5 2s.2p(1P).3p    2  1 P  1.5  4          0.000       0.000000    2236841.500      20.383600     H7 
 38     5 2s.2p(1P).3p    2  2 D  1.5  4          0.000       0.000000    2238235.250      20.396299     H8 
 39     6 2p2(3P).3s      4  1 P  1.5  4          0.000       0.000000    2278256.250      20.761000     H9 
 40     6 2p2(3P).3s      2  1 P  1.5  4          0.000       0.000000    2323128.000      21.169901     H10
 41     6 2p2(1D).3s      2  2 D  1.5  4          0.000       0.000000    2347895.750      21.395599     H11
 42     7 2p2(3P).3d      4  3 F  1.5  4          0.000       0.000000    2402885.000      21.896700     H12
 43     7 2p2(3P).3d      2  1 P  1.5  4          0.000       0.000000    2417150.750      22.026699     H13
 44     7 2p2(3P).3d      4  2 D  1.5  4          0.000       0.000000    2420486.750      22.057100     H14
 45     7 2p2(3P).3d      4  1 P  1.5  4    2446000.000      22.289593    2437649.750      22.213499     H15
 46     7 2p2(3P).3d      2  2 D  1.5  4          0.000       0.000000    2472689.000      22.532801     H16
 47     7 2p2(1D).3d      2  2 D  1.5  4          0.000       0.000000    2491552.750      22.704700     H17
