SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63496462.9   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      278.5 
     3          3S1 3P2             (4)1( 0.5)    40000.1 
     4          3S1 3P2             (4)1( 1.5)    40097.2 
     5          3S1 3P2             (4)1( 2.5)    40256.1 
     6          3S1 3P2             (2)2( 1.5)    55890.7 
     7          3S1 3P2             (2)2( 2.5)    55896.2 
     8          3S1 3P2             (2)0( 0.5)    73828.0 
     9          3S1 3P2             (2)1( 0.5)    80437.5 
    10          3S1 3P2             (2)1( 1.5)    80623.4 
    11          3S2 3D1             (2)2( 1.5)    95938.4*
    12          3S2 3D1             (2)2( 2.5)    95939.3*

   IC RESOLVED LEVEL INDEXING           BWNR=  63582539.0   NLVL=1812
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P2             (3)1( 0.0)        0.0 
     2  9999    3S2 3P2             (3)1( 1.0)       95.6 
     3  9999    3S2 3P2             (3)1( 2.0)      276.9 
     4  9999    3S2 3P2             (1)2( 2.0)     8238.1 
     5  9999    3S2 3P2             (1)0( 0.0)    17888.2 
     6  9999    3S1 3P3             (5)0( 2.0)    27247.1 
     7  9999    3S1 3P3             (3)2( 1.0)    45903.1 
     8  9999    3S1 3P3             (3)2( 2.0)    45908.4 
     9  9999    3S1 3P3             (3)2( 3.0)    45919.6 
    10  9999    3S1 3P3             (3)1( 2.0)    55386.4 
    11  9999    3S1 3P3             (3)1( 1.0)    55395.6 
    12  9999    3S1 3P3             (3)1( 0.0)    55399.5 
    13     1    3S2 3P1 4S1         (3)1( 0.0)    60726.1 
    14     1    3S2 3P1 4S1         (3)1( 1.0)    60813.8 
    15     2    3S2 3P1 4S1         (3)1( 2.0)    61004.3 
    16  9999    3S2 3P1 3D1         (1)2( 2.0)    61825.2 
    17     2    3S2 3P1 4S1         (1)1( 1.0)    64237.2 
    18     1    3S2 3P1 4P1         (1)1( 1.0)    68008.9 
    19     1    3S2 3P1 4P1         (3)2( 1.0)    69037.5 
    20     1    3S2 3P1 4P1         (3)2( 2.0)    69123.2 
    21     2    3S2 3P1 4P1         (3)2( 3.0)    69288.8 
    22     1    3S2 3P1 4P1         (3)1( 0.0)    69610.6 
    23     2    3S2 3P1 4P1         (3)1( 1.0)    69664.8 
    24     2    3S2 3P1 4P1         (3)1( 2.0)    69773.2 
    25     2    3S2 3P1 4P1         (3)0( 1.0)    70764.2 
    26     2    3S2 3P1 4P1         (1)2( 2.0)    71618.0 
    27     2    3S2 3P1 4P1         (1)0( 0.0)    74686.7 
    28     1    3S2 3P1 5S1         (3)1( 0.0)    74777.4 
    29     1    3S2 3P1 5S1         (3)1( 1.0)    74849.7 
    30     2    3S2 3P1 5S1         (3)1( 2.0)    75055.9 
    31     2    3S2 3P1 5S1         (1)1( 1.0)    75709.8 
    32  9999    3S2 3P1 3D1         (3)3( 2.0)    76986.7 
    33  9999    3S2 3P1 3D1         (3)3( 3.0)    77080.7 
    34  9999    3S2 3P1 3D1         (3)3( 4.0)    77207.4 
    35     1    3S2 3P1 5P1         (1)1( 1.0)    77248.5 
    36     1    3S2 3P1 5P1         (3)2( 1.0)    77505.9 
    37     1    3S2 3P1 5P1         (3)2( 2.0)    77557.1 
    38     1    3S2 3P1 4D1         (3)3( 2.0)    77652.4 
    39     1    3S2 3P1 5P1         (3)1( 0.0)    77718.1 
    40     2    3S2 3P1 5P1         (3)2( 3.0)    77739.2 
    41     2    3S2 3P1 5P1         (3)1( 1.0)    77780.0 
    42     1    3S2 3P1 4D1         (3)3( 3.0)    77789.2 
    43     1    3S2 3P1 4D1         (1)2( 2.0)    77858.5 
    44     2    3S2 3P1 5P1         (3)1( 2.0)    77890.8 
    45     2    3S2 3P1 4D1         (3)3( 4.0)    77921.5 
    46     2    3S2 3P1 5P1         (3)0( 1.0)    78142.6 
    47     2    3S2 3P1 5P1         (1)2( 2.0)    78434.7 
    48     2    3S2 3P1 4D1         (3)1( 2.0)    79111.5 
    49     1    3S2 3P1 4F1         (1)3( 3.0)    79151.4 
    50     1    3S2 3P1 4F1         (3)3( 2.0)    79156.5 
    51     1    3S2 3P1 4F1         (3)3( 3.0)    79171.1 
    52     1    3S2 3P1 4D1         (3)1( 1.0)    79174.3 
    53     1    3S2 3P1 4F1         (3)3( 4.0)    79178.7 
    54     2    3S2 3P1 4D1         (3)1( 0.0)    79300.5 
    55     2    3S2 3P1 4D1         (3)2( 1.0)    79341.6 
