SEQ='SI'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63529903.3   NPRNTI= 5   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      276.8 
     3          3S1 3P2             (4)1( 0.5)    35412.3 
     4          3S1 3P2             (4)1( 1.5)    35509.5 
     5          3S1 3P2             (4)1( 2.5)    35669.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63523229.5   NLVL= 298
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    3S2 3P1 4S1         (3)1( 0.0)        0.0*
     2     2    3S2 3P1 4S1         (3)1( 1.0)       90.2*     0.00E+00
     3     2    3S2 3P1 4S1         (3)1( 2.0)      302.8*     0.00E+00
     4     2    3S2 3P1 4S1         (1)1( 1.0)     1966.8*     0.00E+00
     5     2    3S2 3P1 4P1         (1)1( 1.0)     6847.4*     0.00E+00
     6     2    3S2 3P1 4P1         (3)2( 1.0)     7670.0*     0.00E+00
     7     2    3S2 3P1 4P1         (3)2( 2.0)     7766.6*     0.00E+00
     8     2    3S2 3P1 4P1         (3)2( 3.0)     7936.3*     0.00E+00
     9     2    3S2 3P1 4P1         (3)0( 1.0)     9019.2*     0.00E+00
    10     2    3S2 3P1 4P1         (3)1( 0.0)    12910.2*     0.00E+00
    11     2    3S2 3P1 4P1         (3)1( 1.0)    12975.2*     0.00E+00
    12     2    3S2 3P1 4P1         (3)1( 2.0)    13084.6*     0.00E+00
    13     2    3S2 3P1 4P1         (1)2( 2.0)    15639.8*     0.00E+00
    14     1    3S2 3P1 5S1         (3)1( 0.0)    18828.5*
    15     1    3S2 3P1 5S1         (3)1( 1.0)    18910.7*
    16     2    3S2 3P1 5S1         (3)1( 2.0)    19123.8*     0.00E+00
    17     2    3S2 3P1 4P1         (1)0( 0.0)    19273.0*     0.00E+00
    18     2    3S2 3P1 5S1         (1)1( 1.0)    20119.6*     0.00E+00
    19     1    3S2 3P1 5P1         (1)1( 1.0)    20258.4*
    20     1    3S2 3P1 5P1         (3)2( 1.0)    20706.2*
    21     1    3S2 3P1 5P1         (3)2( 2.0)    20781.8*
    22     2    3S2 3P1 5P1         (3)2( 3.0)    20952.4*     0.00E+00
    23     1    3S2 3P1 5P1         (3)1( 0.0)    21237.9*
    24     2    3S2 3P1 5P1         (3)1( 1.0)    21275.6*     0.00E+00
    25     2    3S2 3P1 5P1         (3)1( 2.0)    21408.2*     0.00E+00
    26     2    3S2 3P1 5P1         (3)0( 1.0)    21633.3*     0.00E+00
    27     1    3S2 3P1 6S1         (3)1( 0.0)    21995.9*
    28     1    3S2 3P1 6S1         (3)1( 1.0)    22050.6*
    29     2    3S2 3P1 6S1         (3)1( 2.0)    22291.2*     0.00E+00
    30     2    3S2 3P1 6S1         (1)1( 1.0)    22537.0*     0.00E+00
    31     1    3S2 3P1 5D1         (3)3( 2.0)    22625.7*
    32     1    3S2 3P1 5D1         (3)2( 2.0)    22636.2*
    33     1    3S2 3P1 5D1         (3)3( 3.0)    22643.0*
    34     1    3S2 3P1 5D1         (3)2( 1.0)    22645.1*
    35     2    3S2 3P1 5D1         (1)2( 2.0)    22900.0*     0.00E+00
    36     2    3S2 3P1 5D1         (3)2( 3.0)    22912.0*     0.00E+00
    37     2    3S2 3P1 5D1         (3)3( 4.0)    22936.1*     0.00E+00
    38     2    3S2 3P1 5D1         (3)1( 2.0)    22942.3*     0.00E+00
    39     2    3S2 3P1 5D1         (3)1( 1.0)    22952.8*     0.00E+00
    40     2    3S2 3P1 5D1         (1)3( 3.0)    22960.7*     0.00E+00
    41     2    3S2 3P1 5D1         (3)1( 0.0)    22978.1*     0.00E+00
    42     2    3S2 3P1 5D1         (1)1( 1.0)    22990.4*     0.00E+00
    43     1    3S2 3P1 6P1         (1)1( 1.0)    23058.8*
