SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    3S2 3P2             (3)1( 4.0)        0.0 
     2     1    3S2 3P2             (1)2( 2.0)     8048.7 
     3     1    3S2 3P2             (1)0( 0.0)    17697.0 
     4     2    3S1 3P3             (5)0( 2.0)    27053.6 
     5     1    3S1 3P3             (3)2( 7.0)    45615.5 
     6     1    3S1 3P3             (3)1( 4.0)    55190.3 
     7     1    3S2 3P1 4S1         (3)1( 4.0)    60695.5 
     8     1    3S2 3P1 3D1         (1)2( 2.0)    61390.2 
     9     1    3S2 3P1 4S1         (1)1( 1.0)    63159.2 
    10     1    3S2 3P1 4P1         (1)1( 1.0)    67805.0 
    11     1    3S2 3P1 4P1         (3)2( 7.0)    68986.9 
    12     1    3S2 3P1 4P1         (3)1( 4.0)    70086.9 
    13     1    3S2 3P1 4P1         (3)0( 1.0)    70565.7 
    14     1    3S2 3P1 4P1         (1)2( 2.0)    72144.2 
    15     1    3S2 3P1 5S1         (3)1( 4.0)    74721.8 
    16     1    3S2 3P1 5S1         (1)1( 1.0)    74996.4 
    17     1    3S2 3P1 4P1         (1)0( 0.0)    75305.6 
    18     1    3S2 3P1 3D1         (3)3(10.0)    76636.6 
    19     1    3S2 3P1 5P1         (1)1( 1.0)    77095.9 
    20     1    3S2 3P1 4D1         (1)2( 2.0)    77357.7 
    21     1    3S2 3P1 5P1         (3)2( 7.0)    77452.1 
    22     1    3S2 3P1 4D1         (3)2( 7.0)    77501.6 
    23     1    3S2 3P1 4D1         (3)3(10.0)    77583.3 
    24     1    3S2 3P1 4D1         (3)1( 4.0)    77651.6 
    25     1    3S2 3P1 4D1         (1)1( 1.0)    77689.5 
    26     1    3S2 3P1 4D1         (1)3( 3.0)    77703.6 
    27     1    3S2 3P1 5P1         (3)1( 4.0)    77728.8 
    28     1    3S2 3P1 5P1         (3)0( 1.0)    77921.0 
    29     1    3S2 3P1 5P1         (1)2( 2.0)    78347.3 
    30     1    3S2 3P1 4F1         (1)3( 3.0)    79046.3 
    31     1    3S2 3P1 4F1         (3)3(10.0)    79052.9 
    32     1    3S2 3P1 4F1         (3)4(13.0)    79241.3 
    33     1    3S2 3P1 4F1         (1)4( 4.0)    79267.3 
    34     1    3S2 3P1 5P1         (1)0( 0.0)    79308.7 
    35     1    3S2 3P1 4F1         (3)2( 7.0)    79320.4 
    36     1    3S2 3P1 4F1         (1)2( 2.0)    79340.0 
    37     1    3S2 3P1 6S1         (1)1( 1.0)    79491.4 
    38     1    3S2 3P1 6S1         (3)1( 4.0)    79596.7 
    39     1    3S2 3P1 5D1         (3)2( 7.0)    80184.8 
    40     1    3S2 3P1 5D1         (1)1( 1.0)    80242.6 
    41     1    3S2 3P1 5D1         (3)1( 4.0)    80251.3 
    42     1    3S2 3P1 5D1         (1)2( 2.0)    80255.4 
    43     1    3S2 3P1 5D1         (1)3( 3.0)    80350.9 
    44     1    3S1 3P3             (3)0( 1.0)    80432.2 
    45     1    3S2 3P1 6P1         (1)1( 1.0)    80685.8 
    46     1    3S2 3P1 6P1         (3)2( 7.0)    80841.0 
    47     1    3S2 3P1 6P1         (3)1( 4.0)    80958.4 
    48     1    3S2 3P1 6P1         (3)0( 1.0)    81044.0 
    49     1    3S2 3P1 5D1         (3)3(10.0)    81081.7 
    50     1    3S2 3P1 6P1         (1)2( 2.0)    81229.8 
    51     1    3S2 3P1 7S1         (1)1( 1.0)    81578.3 
    52     1    3S2 3P1 5F1         (1)3( 3.0)    81592.6 
    53     1    3S2 3P1 5F1         (3)3(10.0)    81597.9 
    54     1    3S2 3P1 5G1         (1)4( 4.0)    81649.4 
    55     1    3S2 3P1 5G1         (3)4(13.0)    81649.4 
    56     1    3S2 3P1 6P1         (1)0( 0.0)    81653.1 
    57     1    3S2 3P1 5F1         (3)4(13.0)    81691.0 
    58     1    3S2 3P1 5G1         (3)5(16.0)    81697.9 
    59     1    3S2 3P1 5G1         (1)5( 5.0)    81698.1 
    60     1    3S2 3P1 5G1         (1)3( 3.0)    81710.4 
