SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63075011.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)    70406.4 
     3          3P1                 (2)1( 1.5)    70856.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  63340735.0   NLVL= 446
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2                 (1)0( 0.0)        0.0 
     2  9999    3S1 3P1             (3)1( 0.0)    53185.5 
     3  9999    3S1 3P1             (3)1( 1.0)    53318.5 
     4  9999    3S1 3P1             (3)1( 2.0)    53588.0 
     5  9999    3S1 3P1             (1)1( 1.0)    83455.8 
     6  9999    3P2                 (1)2( 2.0)   123295.2 
     7  9999    3P2                 (3)1( 0.0)   130718.6 
     8  9999    3P2                 (3)1( 1.0)   130858.6 
     9  9999    3P2                 (3)1( 2.0)   131130.4 
    10  9999    3S1 3D1             (3)2( 1.0)   143755.6 
    11  9999    3S1 3D1             (3)2( 2.0)   143758.8 
    12  9999    3S1 3D1             (3)2( 3.0)   143763.6 
    13     1    3S1 4S1             (3)0( 1.0)   150508.6 
    14  9999    3P2                 (1)0( 0.0)   154560.2 
    15     1    3S1 4S1             (1)0( 0.0)   159722.1 
    16  9999    3S1 3D1             (1)2( 2.0)   166764.6 
    17     1    3S1 4P1             (3)1( 0.0)   172327.3 
    18     1    3S1 4P1             (3)1( 1.0)   172363.7 
    19     1    3S1 4P1             (3)1( 2.0)   172438.4 
    20     1    3S1 4P1             (1)1( 1.0)   176401.0 
    21     1    3S1 4D1             (3)2( 1.0)   198487.6 
    22     1    3S1 4D1             (3)2( 2.0)   198488.7 
    23     1    3S1 4D1             (3)2( 3.0)   198490.4 
    24  9999    3P1 3D1             (3)3( 2.0)   200306.9 
    25  9999    3P1 3D1             (3)3( 3.0)   200447.7 
    26  9999    3P1 3D1             (3)3( 4.0)   200634.4 
    27     1    3S1 4D1             (1)2( 2.0)   201317.1 
    28     1    3S1 5S1             (3)0( 1.0)   202465.0 
    29     1    3S1 4F1             (3)3( 2.0)   203442.8 
    30     1    3S1 4F1             (3)3( 3.0)   203443.2 
    31     1    3S1 4F1             (3)3( 4.0)   203443.7 
    32     1    3S1 4F1             (1)3( 3.0)   204161.1 
    33     1    3S1 5S1             (1)0( 0.0)   205334.2 
    34  9999    3P1 3D1             (1)2( 2.0)   206422.5 
    35     1    3S1 5P1             (3)1( 0.0)   211582.9 
    36     1    3S1 5P1             (3)1( 1.0)   211598.8 
    37     1    3S1 5P1             (3)1( 2.0)   211631.8 
    38     1    3S1 5P1             (1)1( 1.0)   213043.8 
    39  9999    3P1 3D1             (3)1( 2.0)   217634.9 
    40  9999    3P1 3D1             (3)1( 1.0)   217767.5 
    41  9999    3P1 3D1             (3)1( 0.0)   217845.8 
    42  9999    3P1 3D1             (3)2( 1.0)   218762.2 
    43  9999    3P1 3D1             (3)2( 2.0)   218819.1 
    44  9999    3P1 3D1             (3)2( 3.0)   218869.7 
    45     2    3P1 4S1             (3)1( 0.0)   222845.9 
    46     2    3P1 4S1             (3)1( 1.0)   222983.7 
    47     3    3P1 4S1             (3)1( 2.0)   223295.8 
    48     1    3S1 5D1             (3)2( 1.0)   223480.2 
    49     1    3S1 5D1             (3)2( 2.0)   223480.8 
    50     1    3S1 5D1             (3)2( 3.0)   223481.7 
    51     1    3S1 5D1             (1)2( 2.0)   224638.2 
    52     1    3S1 6S1             (3)0( 1.0)   225574.4 
    53     1    3S1 5F1             (3)3( 2.0)   225849.2 
    54     1    3S1 5F1             (3)3( 3.0)   225849.4 
    55     1    3S1 5F1             (3)3( 4.0)   225849.7 
    56     1    3S1 5G1             (1)*( 3.0)   225888.5 
    57     1    3S1 5G1             (1)*( 4.0)   225888.5 
    58     1    3S1 5G1             (1)*( 4.0)   225888.5 
    59     1    3S1 5G1             (1)*( 5.0)   225888.5 
    60     1    3S1 5F1             (1)3( 3.0)   226320.0 
    61     3    3P1 4S1             (1)1( 1.0)   226698.3 
    62     1    3S1 6S1             (1)0( 0.0)   226880.5 
    63     1    3S1 6P1             (3)1( 0.0)   230282.5 
    64     1    3S1 6P1             (3)1( 1.0)   230291.0 
    65     1    3S1 6P1             (3)1( 2.0)   230308.4 
    66     1    3S1 6P1             (1)1( 1.0)   230989.9 
    67     1    3S1 6D1             (3)2( 1.0)   236726.1 
    68     1    3S1 6D1             (3)2( 2.0)   236726.4 
    69     1    3S1 6D1             (3)2( 3.0)   236726.9 
    70  9999    3P1 3D1             (1)3( 3.0)   236819.9 
