SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63070713.4   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)    69579.9 
     3          3P1                 (2)1( 1.5)    69898.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63336716.2   NLVL= 440
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     2    3S2                 (1)0( 0.0)        0.0 
     2     1    3S1 3P1             (3)1( 0.0)    50218.5 
     3     1    3S1 3P1             (3)1( 1.0)    50322.5 
     4     1    3S1 3P1             (3)1( 2.0)    50532.5 
     5     1    3S1 3P1             (1)1( 1.0)    85247.5 
     6     1    3P2                 (1)2( 2.0)   118359.5 
     7     2    3P2                 (3)1( 0.0)   127324.9 
     8     2    3P2                 (3)1( 1.0)   127432.6 
     9     2    3P2                 (3)1( 2.0)   127643.8 
    10     1    3S1 3D1             (3)2( 1.0)   143778.7 
    11     1    3S1 3D1             (3)2( 2.0)   143782.8 
    12     1    3S1 3D1             (3)2( 3.0)   143788.9 
    13     3    3P2                 (1)0( 0.0)   156741.4 
    14     1    3S1 3D1             (1)2( 2.0)   178877.8 
    15     2    3P1 3D1             (3)3( 2.0)   198479.7 
    16     2    3P1 3D1             (3)3( 3.0)   198592.7 
    17     1    3S1 4D1             (3)2( 1.0)   198723.3 
    18     1    3S1 4D1             (3)2( 2.0)   198724.0 
    19     1    3S1 4D1             (3)2( 3.0)   198725.1 
    20     3    3P1 3D1             (3)3( 4.0)   198740.4 
    21     2    3P1 3D1             (1)2( 2.0)   201759.2 
    22     1    3S1 4F1             (1)3( 3.0)   201958.4 
    23     1    3S1 5S1             (3)0( 1.0)   203114.5 
    24     1    3S1 4D1             (1)2( 2.0)   205501.4 
    25     1    3S1 5S1             (1)0( 0.0)   205597.8 
    26     1    3S1 4F1             (3)3( 2.0)   206587.7 
    27     1    3S1 4F1             (3)3( 3.0)   206616.2 
    28     1    3S1 4F1             (3)3( 4.0)   206655.9 
    29     1    3S1 5P1             (3)1( 0.0)   211936.7 
    30     1    3S1 5P1             (3)1( 1.0)   211946.9 
    31     1    3S1 5P1             (3)1( 2.0)   211968.1 
    32     1    3S1 5P1             (1)1( 1.0)   213091.9 
    33     3    3P1 3D1             (3)1( 2.0)   216238.9 
    34     3    3P1 3D1             (3)1( 1.0)   216338.4 
    35     3    3P1 3D1             (3)1( 0.0)   216392.5 
    36     3    3P1 3D1             (3)2( 1.0)   217882.1 
    37     3    3P1 3D1             (3)2( 2.0)   217925.1 
    38     3    3P1 3D1             (3)2( 3.0)   217974.5 
    39     2    3P1 4S1             (3)1( 0.0)   222956.4 
    40     2    3P1 4S1             (3)1( 1.0)   223050.4 
    41     3    3P1 4S1             (3)1( 2.0)   223258.8 
    42     1    3S1 5F1             (1)3( 3.0)   223522.6 
    43     1    3S1 5D1             (3)2( 1.0)   223738.2 
    44     1    3S1 5D1             (3)2( 2.0)   223738.6 
    45     1    3S1 5D1             (3)2( 3.0)   223739.2 
    46     1    3S1 5D1             (1)2( 2.0)   225745.3 
    47     1    3S1 6S1             (3)0( 1.0)   226013.5 
    48     3    3P1 4S1             (1)1( 1.0)   226264.6 
    49     1    3S1 5G1             (3)4( 3.0)   226480.8 
    50     1    3S1 5G1             (3)4( 4.0)   226480.9 
    51     1    3S1 5G1             (3)4( 5.0)   226481.0 
    52     1    3S1 5G1             (1)4( 4.0)   226488.6 
    53     1    3S1 5F1             (3)3( 2.0)   226563.5 
    54     1    3S1 5F1             (3)3( 3.0)   226565.5 
    55     1    3S1 5F1             (3)3( 4.0)   226568.0 
    56     1    3S1 6S1             (1)0( 0.0)   227148.6 
    57     1    3S1 6P1             (3)1( 0.0)   230595.6 
    58     1    3S1 6P1             (3)1( 1.0)   230601.2 
    59     1    3S1 6P1             (3)1( 2.0)   230612.9 
    60     1    3S1 6P1             (1)1( 1.0)   231042.2 
    61     1    3S1 6F1             (1)3( 3.0)   234501.4 
    62     1    3S1 6D1             (3)2( 1.0)   236993.5 
    63     1    3S1 6D1             (3)2( 2.0)   236993.8 
    64     1    3S1 6D1             (3)2( 3.0)   236994.2 
    65     1    3S1 6D1             (1)2( 2.0)   237894.1 
    66     1    3S1 7S1             (3)0( 1.0)   238320.7 
    67     1    3S1 6F1             (3)3( 2.0)   238502.5 
    68     1    3S1 6F1             (3)3( 3.0)   238503.2 
    69     1    3S1 6F1             (3)3( 4.0)   238503.9 
