SEQ='NE'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  61388671.1   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)     5271.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  62717289.1   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 2.0)   822934.5 
     3     1    2S2 2P5 3S1         (3)1( 1.0)   825684.6 
     4     2    2S2 2P5 3S1         (3)1( 0.0)   828206.2 
     5     2    2S2 2P5 3S1         (1)1( 1.0)   834528.0 
     6     1    2S2 2P5 3P1         (3)0( 1.0)   892869.0 
     7     1    2S2 2P5 3P1         (3)2( 3.0)   901866.5 
     8     1    2S2 2P5 3P1         (3)2( 2.0)   903020.8 
     9     1    2S2 2P5 3P1         (3)2( 1.0)   904879.4 
    10     1    2S2 2P5 3P1         (3)1( 2.0)   908457.2 
    11     2    2S2 2P5 3P1         (1)1( 1.0)   909976.0 
    12     1    2S2 2P5 3P1         (3)1( 0.0)   911671.7 
    13     2    2S2 2P5 3P1         (1)2( 2.0)   911775.8 
    14     2    2S2 2P5 3P1         (3)1( 1.0)   912382.8 
    15     2    2S2 2P5 3P1         (1)0( 0.0)   983774.1 
    16     1    2S2 2P5 3D1         (3)1( 0.0)  1005480.6 
    17     1    2S2 2P5 3D1         (3)1( 1.0)  1006103.6 
    18     1    2S2 2P5 3D1         (3)1( 2.0)  1007404.4 
    19     1    2S2 2P5 3D1         (3)3( 4.0)  1008484.4 
    20     1    2S2 2P5 3D1         (3)3( 3.0)  1009395.0 
    21     1    2S2 2P5 3D1         (3)3( 2.0)  1011211.8 
    22     1    2S2 2P5 3D1         (1)3( 3.0)  1012408.4 
    23     1    2S2 2P5 3D1         (3)2( 1.0)  1015891.0 
    24     2    2S2 2P5 3D1         (1)2( 2.0)  1016181.9 
    25     2    2S2 2P5 3D1         (3)2( 3.0)  1016668.8 
    26     2    2S2 2P5 3D1         (3)2( 2.0)  1017168.6 
    27     2    2S2 2P5 3D1         (1)1( 1.0)  1024294.1 
    28     1    2S2 2P5 4S1         (3)1( 2.0)  1083505.3 
    29     1    2S2 2P5 4S1         (3)1( 1.0)  1084991.2 
    30     2    2S2 2P5 4S1         (3)1( 0.0)  1088776.9 
    31     2    2S2 2P5 4S1         (1)1( 1.0)  1090064.1 
    32     1    2S2 2P5 4P1         (3)0( 1.0)  1109323.3 
    33     1    2S2 2P5 4P1         (3)2( 3.0)  1111836.4 
    34     1    2S2 2P5 4P1         (3)2( 2.0)  1112472.6 
    35     1    2S2 2P5 4P1         (1)1( 1.0)  1113420.1 
    36     1    2S2 2P5 4P1         (3)1( 2.0)  1114051.8 
    37     1    2S2 2P5 4P1         (3)1( 0.0)  1117203.5 
    38     2    2S2 2P5 4P1         (3)2( 1.0)  1117461.8 
    39     2    2S2 2P5 4P1         (3)1( 1.0)  1118353.0 
    40     2    2S2 2P5 4P1         (1)2( 2.0)  1118387.7 
    41     2    2S2 2P5 4P1         (1)0( 0.0)  1138394.0 
    42     1    2S2 2P5 4D1         (3)1( 0.0)  1148281.7 
    43     1    2S2 2P5 4D1         (3)1( 1.0)  1148699.0 
    44     1    2S2 2P5 4D1         (3)1( 2.0)  1149484.4 
    45     1    2S2 2P5 4D1         (3)3( 4.0)  1149491.6 
    46     1    2S2 2P5 4D1         (3)3( 3.0)  1150007.5 
    47     1    2S2 2P5 4D1         (1)2( 2.0)  1150933.2 
    48     1    2S2 2P5 4D1         (3)2( 3.0)  1151279.2 
    49     1    2S2 2P5 4D1         (3)2( 1.0)  1153396.2 
    50     2    2S2 2P5 4D1         (3)3( 2.0)  1155386.6 
    51     2    2S2 2P5 4D1         (3)2( 2.0)  1155707.0 
    52     2    2S2 2P5 4D1         (1)3( 3.0)  1155788.1 
    53     1    2S2 2P5 4F1         (3)2( 1.0)  1156450.8 
    54     1    2S2 2P5 4F1         (3)2( 2.0)  1156516.9 
    55     1    2S2 2P5 4F1         (3)4( 5.0)  1156762.5 
    56     1    2S2 2P5 4F1         (1)4( 4.0)  1156774.1 
    57     1    2S2 2P5 4F1         (3)2( 3.0)  1157041.1 
    58     1    2S2 2P5 4F1         (1)2( 2.0)  1157089.2 
    59     1    2S2 2P5 4F1         (1)3( 3.0)  1157367.0 
    60     1    2S2 2P5 4F1         (3)3( 4.0)  1157383.1 
    61     2    2S2 2P5 4D1         (1)1( 1.0)  1159202.9 
