SEQ='NE'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  61388515.1   NPRNTI= 2   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)     5218.1 
     3          2S1 2P6             (2)0( 0.5)   426306.7*

   IC RESOLVED LEVEL INDEXING           BWNR=  62696859.1   NLVL= 331
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     1    2S2 2P6             (1)0( 0.0)        0.0 
     2     2    2S2 2P5 3S1         (3)1( 0.0)   811245.8 
     3     2    2S2 2P5 3S1         (1)1( 1.0)   816151.2 
     4     2    2S2 2P5 3P1         (1)1( 1.0)   892544.7 
     5     2    2S2 2P5 3P1         (1)2( 2.0)   893882.8 
     6     2    2S2 2P5 3P1         (3)1( 1.0)   894836.1 
     7     2    2S2 2P5 3P1         (1)0( 0.0)   950908.7 
     8     1    2S2 2P5 3D1         (3)1( 0.0)   984080.7 
     9     1    2S2 2P5 3D1         (3)1( 1.0)   984730.8 
    10     1    2S2 2P5 3D1         (3)1( 2.0)   986082.0 
    11     1    2S2 2P5 3D1         (3)3( 4.0)   987493.6 
    12     1    2S2 2P5 3D1         (3)3( 3.0)   988522.8 
    13     1    2S2 2P5 3D1         (3)3( 2.0)   990361.0 
    14     1    2S2 2P5 3D1         (1)3( 3.0)   991997.2 
    15     2    2S2 2P5 3D1         (1)2( 2.0)   995686.2 
    16     1    2S2 2P5 3D1         (3)2( 1.0)   995731.8 
    17     2    2S2 2P5 3D1         (3)2( 3.0)   996217.7 
    18     2    2S2 2P5 3D1         (3)2( 2.0)   996769.9 
    19     2    2S2 2P5 3D1         (1)1( 1.0)  1006454.0 
    20     1    2S2 2P5 4S1         (3)1( 2.0)  1064102.6 
    21     1    2S2 2P5 4S1         (3)1( 1.0)  1065424.3 
    22     2    2S2 2P5 4S1         (3)1( 0.0)  1069320.7 
    23     2    2S2 2P5 4S1         (1)1( 1.0)  1070386.5 
    24     1    2S2 2P5 4P1         (3)0( 1.0)  1089935.0 
    25     1    2S2 2P5 4P1         (3)2( 3.0)  1092338.5 
    26     1    2S2 2P5 4P1         (3)2( 2.0)  1092926.0 
    27     1    2S2 2P5 4P1         (1)1( 1.0)  1093883.3 
    28     1    2S2 2P5 4P1         (3)1( 2.0)  1094410.7 
    29     1    2S2 2P5 4P1         (3)1( 0.0)  1097557.7 
    30     2    2S2 2P5 4P1         (3)2( 1.0)  1097909.7 
    31     2    2S2 2P5 4P1         (1)2( 2.0)  1098700.8 
    32     2    2S2 2P5 4P1         (3)1( 1.0)  1098747.2 
    33     2    2S2 2P5 4P1         (1)0( 0.0)  1115256.0 
    34     1    2S2 2P5 4D1         (3)1( 0.0)  1127592.8 
    35     1    2S2 2P5 4D1         (3)1( 1.0)  1128039.8 
    36     1    2S2 2P5 4D1         (3)1( 2.0)  1128888.2 
    37     1    2S2 2P5 4D1         (3)3( 4.0)  1128956.8 
    38     1    2S2 2P5 4D1         (3)3( 3.0)  1129552.0 
    39     1    2S2 2P5 4D1         (1)2( 2.0)  1130544.3 
    40     1    2S2 2P5 4D1         (3)2( 3.0)  1130997.0 
    41     1    2S2 2P5 4D1         (3)2( 1.0)  1133315.4 
    42     2    2S2 2P5 4D1         (3)3( 2.0)  1134908.8 
    43     2    2S2 2P5 4D1         (3)2( 2.0)  1135297.6 
    44     2    2S2 2P5 4D1         (1)3( 3.0)  1135386.5 
    45     1    2S2 2P5 4F1         (3)2( 1.0)  1136180.2 
    46     1    2S2 2P5 4F1         (3)2( 2.0)  1136247.6 
    47     1    2S2 2P5 4F1         (3)4( 5.0)  1136495.1 
    48     1    2S2 2P5 4F1         (1)4( 4.0)  1136507.1 
    49     1    2S2 2P5 4F1         (3)2( 3.0)  1136775.2 
    50     1    2S2 2P5 4F1         (1)2( 2.0)  1136824.8 
    51     1    2S2 2P5 4F1         (1)3( 3.0)  1137105.1 
    52     1    2S2 2P5 4F1         (3)3( 4.0)  1137121.6 
    53     2    2S2 2P5 4D1         (1)1( 1.0)  1139850.3 
    54     2    2S2 2P5 4F1         (3)4( 3.0)  1141947.7 
    55     2    2S2 2P5 4F1         (3)4( 4.0)  1141971.9 
    56     2    2S2 2P5 4F1         (3)3( 3.0)  1141995.3 
    57     2    2S2 2P5 4F1         (3)3( 2.0)  1142027.1 
    58     1    2S2 2P5 5S1         (3)1( 2.0)  1163801.7 
    59     1    2S2 2P5 5S1         (1)1( 1.0)  1164457.8 
